index	rankInterval	needRMB	levelRangeId	levelRange	rewardItems	rankImg
排名索引	排名区间	最低消费神石	等级段ID	等级区段	奖励	是否显示
1	1,1	3000	1	[30,79]	[(28528,500),(26450,400),(27493,2),(28895,2),(28447,1),(26936,400),(29011,1)]	WZGC_TextDYM
2	2,2	3000	1	[30,79]	[(28528,420),(26450,350),(27493,1),(28895,1),(28254,1),(26936,350),(27620,1)]	WZGC_TextDRM
3	3,3	3000	1	[30,79]	[(28528,360),(26450,300),(27493,1),(28895,1),(28254,1),(26936,300),(27619,1)]	WZGC_TextDSM
4	4,4	3000	1	[30,79]	[(28528,320),(26450,250),(27493,1),(28895,1),(28254,1),(26936,250),(27619,1)]	WZGC_TextD4M
5	5,8	3000	1	[30,79]	[(28528,280),(26450,200),(27492,1),(27493,1),(28253,1),(26936,200),(27618,1)]	WZGC_Text5
6	9,10	3000	1	[30,79]	[(28528,240),(26450,180),(27492,1),(27493,1),(28253,1),(26936,180),(27618,1)]	WZGC_Text9
7	11,20	3000	1	[30,79]	[(28528,210),(26450,150),(27493,1),(28253,1),(26936,150),(27521,1)]	WZGC_Text11
8	21,31	3000	1	[30,79]	[(28528,180),(26450,120),(27492,1),(28253,1),(26936,120),(27521,1)]	WZGC_Text31
9	32,40	3000	1	[30,79]	[(28528,150),(26450,100),(27492,1),(28253,1),(26936,100),(27520,1)]	WZGC_Text32
10	41,50	3000	1	[30,79]	[(28528,120),(26450,80),(27492,1),(28253,1),(26936,80),(27520,1)]	WZGC_Text41
11	51,80	3000	1	[30,79]	[(28528,100),(26450,60),(27492,1),(26936,60),(27520,1)]	WZGC_Text80
12	81,100	3000	1	[30,79]	[(28528,80),(26450,50),(27492,1),(26936,50),(27520,1)]	WZGC_Text81
13	101,200	3000	1	[30,79]	[(28528,60),(26450,40),(27492,1),(26936,40),(27519,1)]	WZGC_Text101
14	201,300	3000	1	[30,79]	[(28528,40),(26450,30),(26936,30),(27519,1)]	WZGC_Text201
15	301,400	3000	1	[30,79]	[(28528,30),(26450,25),(26936,25),(27519,1)]	WZGC_Text301
16	401,500	3000	1	[30,79]	[(28528,20),(26450,20),(26936,20),(27518,1)]	WZGC_Text401
1	1,1	3000	2	[80,84]	[(28528,500),(26450,400),(27493,2),(28895,2),(28447,1),(26934,200),(27627,2)]	WZGC_TextDYM
2	2,2	3000	2	[80,84]	[(28528,420),(26450,350),(27493,1),(28895,1),(28254,1),(26934,175),(27627,1)]	WZGC_TextDRM
3	3,3	3000	2	[80,84]	[(28528,360),(26450,300),(27493,1),(28895,1),(28254,1),(26934,150),(27626,1)]	WZGC_TextDSM
4	4,4	3000	2	[80,84]	[(28528,320),(26450,250),(27493,1),(28895,1),(28254,1),(26934,125),(27626,1)]	WZGC_TextD4M
5	5,8	3000	2	[80,84]	[(28528,280),(26450,200),(27492,1),(27493,1),(28253,1),(26934,100),(27625,1)]	WZGC_Text5
6	9,10	3000	2	[80,84]	[(28528,240),(26450,180),(27492,1),(27493,1),(28253,1),(26934,90),(27625,1)]	WZGC_Text9
7	11,20	3000	2	[80,84]	[(28528,210),(26450,150),(27493,1),(28253,1),(26934,75),(27624,1)]	WZGC_Text11
8	21,31	3000	2	[80,84]	[(28528,180),(26450,120),(27492,1),(28253,1),(26934,60),(27624,1)]	WZGC_Text31
9	32,40	3000	2	[80,84]	[(28528,150),(26450,100),(27492,1),(28253,1),(26934,50),(27623,1)]	WZGC_Text32
10	41,50	3000	2	[80,84]	[(28528,120),(26450,80),(27492,1),(28253,1),(26934,40),(27623,1)]	WZGC_Text41
11	51,80	3000	2	[80,84]	[(28528,100),(26450,60),(27492,1),(26934,30),(27623,1)]	WZGC_Text80
12	81,100	3000	2	[80,84]	[(28528,80),(26450,50),(27492,1),(26934,25),(27623,1)]	WZGC_Text81
13	101,200	3000	2	[80,84]	[(28528,60),(26450,40),(27492,1),(26934,20),(27622,1)]	WZGC_Text101
14	201,300	3000	2	[80,84]	[(28528,40),(26450,30),(26934,15),(27622,1)]	WZGC_Text201
15	301,400	3000	2	[80,84]	[(28528,30),(26450,25),(26934,12),(27622,1)]	WZGC_Text301
16	401,500	3000	2	[80,84]	[(28528,20),(26450,20),(26934,10),(27621,1)]	WZGC_Text401
