index	actId	actTitle	actRes	actContent	smallIconname
标签顺序	活动ID(不变)	活动名	活动图片	活动内容	小图标名字
1	1	JQQY_TextZNYL_US	US_huoyue1	活动期间，每日必做达到100分可以领取每日礼包，累计完成天数还可领取更多奖励。	
2	2	JQQY_TextJLLFB	wangzhe2	1、活动期间,每日完成任务可以领取奖励；#H2、每天都会开启不同日常活动的奖励翻倍，当天参加对应的日常活动奖励是平时的2倍。	
4	3	JQQY_TextCZFL	US_chongzhi1	活动期间，每日累计充值神石达到条件即可领取对应档次的奖励	
4	4	JQQY_TextCZPM	US_paihangbang1	1.活动期间每日充值达到3000神石可领取固定奖励。#H2.充值达到3000神石的玩家有资格进入充值排行榜，跨服排行榜每半个小时更新一次，本服排行榜实时更新。#H3.每日23：58结算当日玩家充值排名。#H4.每日00：00以邮件方式发放排行奖励，跨服前500名、本服前10名的玩家可获得丰厚奖励。#H5.玩家可通过下方按钮查看跨服和本服的今日排名和昨日排名。	
4	5	JQQY_TextXFFL	US_xiaofei1	活动期间，每日累计消耗的充值神石达到条件即可领取对应档次的奖励	
6	6	JQQY_TextXSDH	US_duihuanshangdian1	1、活动期间可使用七月币兑换道具；#H2、七月币在充值返利和消费返利中获得；#H3、兑换道具每日0点自动刷新，也可消耗神石手动刷新，刷新消耗神石与每日刷新次数有关。当日首次刷新免费。	Pub_IcomQYB
6	7	JQQY_TextTHSP	US_tehuishangdian1	活动期间可购买或赠送好友稀有时装	
4	8	JQQY_TextQYMC	US_shuaxinshangdian1	1、活动期间七月卖场将打折出售各种商品；#H2、商品每日0点自动刷新，也可消耗神石手动刷新，刷新消耗神石与每日刷新次数有关。当日首次刷新免费。	
1	9	JQQY_TextZXYL	JQQY_ZXYL	活动期间，每在线1小时可获得一次翻牌机会。每天最多获得2次翻牌机会。翻牌次数可累计。	
5	10	JQQY_TextXYZP	JQQY_XYZP	1、活动期间可使用喜鹊翎毛转取奖励；#H2、喜鹊翎毛在充值返利和消费返利中获得；#H3、可消耗一定数量的喜鹊翎毛将转盘奖励全部领取。#H4、花费200神石可换转盘奖励。	
1	20	PAY2015_TextQDJL	GEJ2015_1	1、每天在指定时间段内即可领取对应奖励，错过时间将无法领取	
2	21	PAY2015_TextJFDH	GEJ2015_2	1、活动期间每充值10神石即可获得1充值积分，兑换道具需消耗充值积分，充值积分在活动期间不清零；#H2、活动结束后积分将被清零，请及时兑换。	
3	22	SDJ2015_TextMRSC	SSR2015_5	1、每天累积充值200神石即可领取当日奖励；#H2、每日充值后可花费200充值神石购买超值物品，每次仅限1次。#H3、累计完成天数还可领取额外奖励。	
5	23	SDJ2015_TextMYSY	GEJ2015_6	1、活动期间，同一商品每购买二件即可获得额外一件的赠送；	
5	24	SDJ2015_TextJJYFK	GEJ2015_7	1、活动期间每消耗100充值神石可获得一个兑奖码；#H2、兑奖码激活后会自动参与当次开奖，开奖后可在兑奖码界面中查看自己的中奖情况，每个兑奖码只能参与一次开奖；#H3、活动期间每天12:00、18:00、23:50各开奖一次，请及时激活兑奖码；#H4、活动结束后，未领取的奖励将通过邮件发送；每个未激活的兑奖码将返还10奖励神石，通过邮件发送。	
