Level	showItem1	showItem2
角色等级	普通boss奖励预览	精英boss奖励预览
30	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
31	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
32	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
33	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
34	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
35	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
36	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
37	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
38	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
39	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
40	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
41	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
42	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
43	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
44	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
45	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
46	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
47	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
48	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
49	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
