index	minLevel	maxLevel	need_score	tili	tili_fcm	items	items_fcm	bindRMB	bindRMB_fcm	money	money_fcm	union_exp	union_exp_fcm	union_contribution	union_contribution_fcm	jlb	feastWheelNomalTimes	christmasStockings	holidayWishCnt	newYearFreeTimes	huoYueDaLiSteps
奖励索引	最小等级	最大等级	需要积分	体力	体力	物品	物品	魔晶	魔晶	银币	银币	公会经验	公会经验	公会贡献	公会贡献	金龙币	盛宴摩天轮增加普通抽奖次数	圣诞许愿树袜子	元旦金币祈福	新年冲冲冲免费抽奖次数	中秋活跃大礼前进步数
1	32	59	10	5	3	[(25600,2)]	[(25600,1)]									0	0	0	0	0	0
1	60	89	10	5	3	[(25600,2)]	[(25600,1)]									0	0	0	0	0	0
1	90	179	10	5	3	[(25600,2)]	[(25600,1)]									0	0	0	0	0	0
2	32	59	30	10	5			10	5							0	0	0	0	0	0
2	60	89	30	10	5			10	5							0	0	0	0	0	0
2	90	179	30	10	5			10	5							0	0	0	0	0	0
3	32	59	50	15	8	[(25600,5),(28784,1)]	[(25600,3),(28784,1)]			100000	50000					0	0	0	0	0	0
3	60	89	50	15	8	[(25600,5),(28784,1)]	[(25600,3),(28784,1)]			100000	50000					0	0	0	0	0	0
3	90	179	50	15	8	[(25600,5),(28784,1)]	[(25600,3),(28784,1)]			100000	50000					0	0	0	0	0	0
4	32	59	70	30	15	[(28784,1)]	[(28784,1)]									0	0	0	0	0	0
4	60	89	70	30	15	[(28784,1)]	[(28784,1)]									0	0	0	0	0	0
4	90	179	70	30	15	[(28784,1)]	[(28784,1)]									0	0	0	0	0	0
5	32	59	100	30	15	[(28784,1)]	[(28784,1)]	20	10			500	250	500	250	0	0	0	0	0	1
5	60	89	100	30	15	[(28784,1)]	[(28784,1)]	20	10			500	250	500	250	0	0	0	0	0	1
5	90	179	100	30	15	[(28784,1)]	[(28784,1)]	20	10			500	250	500	250	0	0	0	0	0	1
6	32	59	125	0	0	[(26032,5),(28785,1)]	[(26032,3),(28785,1)]	100	50							1	1	1	3	1	1
6	60	89	135	0	0	[(26032,5),(28785,1)]	[(26032,3),(28785,1)]	100	50							1	1	1	3	1	1
6	90	179	140	0	0	[(26032,5),(28785,1)]	[(26032,3),(28785,1)]	100	50							1	1	1	3	1	1
