itemCoding	needCoding	needItemCnt	needLevel	needWorldLevel	isItem	isLimit	limitCnt
物品coding	兑换需要物品coding	兑换需要物品数量	兑换需要角色等级	兑换需要世界等级	是否是物品(0-命魂，1-物品，2-天赋卡）	是否限购(0-不限, 1-限购)	限购个数
2	26157	50	80	80	2	0	0
102	26157	280	80	80	2	0	0
8	26157	50	80	80	2	0	0
108	26157	280	80	80	2	0	0
36012	26157	120	80	80	1	1	1
36013	26157	65	80	80	1	1	1
36014	26157	65	80	80	1	1	1
36015	26157	65	80	80	1	1	1
36016	26157	80	80	80	1	1	1
36017	26157	80	80	80	1	1	1
35818	26157	40	80	80	1	1	1
35819	26157	40	80	80	1	1	1
35820	26157	40	80	80	1	1	1
35821	26157	40	80	80	1	1	1
35822	26157	40	80	80	1	1	1
35823	26157	40	80	80	1	1	1
35654	26157	70	60	60	1	1	1
35655	26157	40	60	60	1	1	1
35656	26157	40	60	60	1	1	1
35657	26157	40	60	60	1	1	1
35658	26157	50	60	60	1	1	1
35659	26157	50	60	60	1	1	1
26849	26157	50	45	45	1	1	1
26850	26157	50	45	45	1	1	1
26851	26157	50	45	45	1	1	1
26852	26157	50	45	45	1	1	1
26853	26157	50	45	45	1	1	1
26854	26157	50	45	45	1	1	1
27323	26157	8	60	60	1	1	1
27324	26157	8	60	60	1	1	1
27325	26157	8	60	60	1	1	1
27326	26157	8	60	60	1	1	1
27327	26157	8	60	60	1	1	1
27328	26157	8	60	60	1	1	1
27678	26157	40	100	100	1	1	1
27680	26157	30	100	100	1	1	1
27681	26157	30	100	100	1	1	1
27682	26157	30	100	100	1	1	1
27683	26157	30	100	100	1	1	1
27679	26157	45	100	100	1	1	1
27684	26157	32	100	100	1	1	1
27685	26157	32	100	100	1	1	1
27686	26157	32	100	100	1	1	1
27687	26157	32	100	100	1	1	1
30	26157	30	50	50	0	1	1
31	26157	30	50	50	0	1	1
32	26157	30	50	50	0	1	1
33	26157	30	50	50	0	1	1
34	26157	30	50	50	0	1	1
35	26157	30	60	55	0	1	1
36	26157	30	60	55	0	1	1
37	26157	30	60	55	0	1	1
38	26157	30	60	55	0	1	1
25997	26157	5	50	45	1	1	1
25998	26157	5	50	45	1	1	1
25999	26157	5	50	45	1	1	1
26000	26157	5	50	45	1	1	1
26001	26157	5	50	45	1	1	1
26002	26157	5	60	55	1	1	1
26003	26157	5	60	55	1	1	1
26004	26157	5	60	55	1	1	1
26005	26157	5	60	55	1	1	1
