rewardId	needLevel	dayGettimes	mountEvolve	mountGrade	needFillRMB_D	needConsumeRMB	needItem	needPetStarNum	needPetGrade	wingLevel	dragonGrade	washCnt	zhanHunStar	StationSoulLevel	HallowsCnt	desc	StarGirlStar	rewardItems	rewardItemShow	money	bindRMB	rewardTarot	TempBless	activityScore
奖励ID	需要的等级	每日可以领取的次数，只试用与每日清理的奖励	需要坐骑的阶数	需要坐骑的进化数	需要充值的可扣神石数	要消费的充值神石	需要指定道具的数量(coding, cnt)	需要宠物星数	需要宠物的阶数	需要的翅膀等级	需要神龙品阶	需要装备洗练次数	需要战魂星级	需要的战灵等级	需要圣器洗练次数	奖励描述	需要星灵的星数	奖励的道具(服务端奖励）	奖励的道具(客户端奖励）	金币	魔晶	命魂奖励	星灵临时祝福值	活跃度
1	0	1	32	0	0	0		0	0	0	0	0	0	0	0	3阶1星领取	0	[(28398,10)]	[(28398,10)]	0	0	0		0
2	0	1	36	0	0	0		0	0	0	0	0	0	0	0	3阶5星领取	0	[(28398,12)]	[(28398,12)]	0	0	0		0
3	0	1	40	0	0	0		0	0	0	0	0	0	0	0	3阶9星领取	0	[(28398,15)]	[(28398,15)]	0	0	0		0
4	0	1	42	0	0	0		0	0	0	0	0	0	0	0	4阶1星领取	0	[(28398,30)]	[(28398,30)]	0	0	0		0
5	0	1	44	0	0	0		0	0	0	0	0	0	0	0	4阶3星领取	0	[(28398,30)]	[(28398,30)]	0	0	0		0
6	0	1	46	0	0	0		0	0	0	0	0	0	0	0	4阶5星领取	0	[(28398,30)]	[(28398,30)]	0	0	0		0
7	0	1	48	0	0	0		0	0	0	0	0	0	0	0	4阶7星领取	0	[(28398,30)]	[(28398,30)]	0	0	0		0
8	0	1	50	0	0	0		0	0	0	0	0	0	0	0	4阶9星领取	0	[(28398,30)]	[(28398,30)]	0	0	0		0
9	0	1	52	0	0	0		0	0	0	0	0	0	0	0	5阶1星领取	0	[(28398,30)]	[(28398,30)]	0	0	0		0
10	0	1	54	0	0	0		0	0	0	0	0	0	0	0	5阶3星领取	0	[(28398,30)]	[(28398,30)]	0	0	0		0
11	0	1	56	0	0	0		0	0	0	0	0	0	0	0	5阶5星领取	0	[(28398,30)]	[(28398,30)]	0	0	0		0
12	0	1	58	0	0	0		0	0	0	0	0	0	0	0	5阶7星领取	0	[(28398,30)]	[(28398,30)]	0	0	0		0
13	0	1	60	0	0	0		0	0	0	0	0	0	0	0	5阶9星领取	0	[(28398,30)]	[(28398,30)]	0	0	0		0
14	0	1	61	0	0	0		0	0	0	0	0	0	0	0	6阶0星领取	0	[(28398,30)]	[(28398,30)]	0	0	0		0
15	0	1	62	0	0	0		0	0	0	0	0	0	0	0	6阶1星领取	0	[(28398,30)]	[(28398,30)]	0	0	0		0
16	0	1	63	0	0	0		0	0	0	0	0	0	0	0	6阶2星领取	0	[(28398,30)]	[(28398,30)]	0	0	0		0
17	0	1	64	0	0	0		0	0	0	0	0	0	0	0	6阶3星领取	0	[(28398,31)]	[(28398,31)]	0	0	0		0
18	0	1	65	0	0	0		0	0	0	0	0	0	0	0	6阶4星领取	0	[(28398,32)]	[(28398,32)]	0	0	0		0
19	0	1	66	0	0	0		0	0	0	0	0	0	0	0	6阶5星领取	0	[(28398,33)]	[(28398,33)]	0	0	0		0
20	0	1	67	0	0	0		0	0	0	0	0	0	0	0	6阶6星领取	0	[(28398,34)]	[(28398,34)]	0	0	0		0
21	0	1	68	0	0	0		0	0	0	0	0	0	0	0	6阶7星领取	0	[(28398,35)]	[(28398,35)]	0	0	0		0
22	0	1	69	0	0	0		0	0	0	0	0	0	0	0	6阶8星领取	0	[(28398,35)]	[(28398,35)]	0	0	0		0
23	0	1	70	0	0	0		0	0	0	0	0	0	0	0	6阶9星领取	0	[(28398,36)]	[(28398,36)]	0	0	0		0
24	0	1	71	0	0	0		0	0	0	0	0	0	0	0	7阶0星领取	0	[(28398,39)]	[(28398,39)]	0	0	0		0
25	0	1	72	0	0	0		0	0	0	0	0	0	0	0	7阶1星领取	0	[(28398,40)]	[(28398,40)]	0	0	0		0
26	0	1	73	0	0	0		0	0	0	0	0	0	0	0	7阶2星领取	0	[(28398,41)]	[(28398,41)]	0	0	0		0
27	0	1	74	0	0	0		0	0	0	0	0	0	0	0	7阶3星领取	0	[(28398,42)]	[(28398,42)]	0	0	0		0
28	0	1	75	0	0	0		0	0	0	0	0	0	0	0	7阶4星领取	0	[(28398,43)]	[(28398,43)]	0	0	0		0
29	0	1	76	0	0	0		0	0	0	0	0	0	0	0	7阶5星领取	0	[(28398,45)]	[(28398,45)]	0	0	0		0
30	0	1	77	0	0	0		0	0	0	0	0	0	0	0	7阶6星领取	0	[(28398,46)]	[(28398,46)]	0	0	0		0
31	0	1	78	0	0	0		0	0	0	0	0	0	0	0	7阶7星领取	0	[(28398,47)]	[(28398,47)]	0	0	0		0
32	0	1	79	0	0	0		0	0	0	0	0	0	0	0	7阶8星领取	0	[(28398,47)]	[(28398,47)]	0	0	0		0
33	0	1	80	0	0	0		0	0	0	0	0	0	0	0	7阶9星领取	0	[(28398,48)]	[(28398,48)]	0	0	0		0
34	0	1	81	0	0	0		0	0	0	0	0	0	0	0	8阶0星领取	0	[(28398,100)]	[(28398,100)]	0	0	0		0
35	0	1	82	0	0	0		0	0	0	0	0	0	0	0	8阶1星领取	0	[(28398,105)]	[(28398,105)]	0	0	0		0
36	0	1	83	0	0	0		0	0	0	0	0	0	0	0	8阶2星领取	0	[(28398,110)]	[(28398,110)]	0	0	0		0
37	0	1	84	0	0	0		0	0	0	0	0	0	0	0	8阶3星领取	0	[(28398,120)]	[(28398,120)]	0	0	0		0
38	0	1	85	0	0	0		0	0	0	0	0	0	0	0	8阶4星领取	0	[(28398,125)]	[(28398,125)]	0	0	0		0
39	0	1	86	0	0	0		0	0	0	0	0	0	0	0	8阶5星领取	0	[(28398,132)]	[(28398,132)]	0	0	0		0
40	0	1	87	0	0	0		0	0	0	0	0	0	0	0	8阶6星领取	0	[(28398,138)]	[(28398,138)]	0	0	0		0
41	0	1	88	0	0	0		0	0	0	0	0	0	0	0	8阶7星领取	0	[(28398,145)]	[(28398,145)]	0	0	0		0
42	0	1	89	0	0	0		0	0	0	0	0	0	0	0	8阶8星领取	0	[(28398,150)]	[(28398,150)]	0	0	0		0
43	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度80领取	0	[(26266,1),(25837,3)]	[(25828,500000),(26266,1),(25837,3)]	500000	0	0		80
44	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度140领取	0	[(26119,1),(25837,10)]	[(25828,600000),(26119,1),(25837,10)]	600000	0	0		140
45	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度210领取	0	[(26267,1),(27368,1)]	[(25828,600000),(25829,50),(26267,1),(27368,1)]	600000	50	0		210
46	0	1	0	2	0	0		0	0	0	0	0	0	0	0	当前拥有坐骑最低品质为<font color='#00FF00'>精良</font>	0	[(28400,5)]	[(28400,5)]	0	0	0		0
47	0	1	0	3	0	0		0	0	0	0	0	0	0	0	当前拥有坐骑最低品质为<font color='#00FF00'>史诗</font>	0	[(28400,15)]	[(28400,15)]	0	0	0		0
48	0	1	0	4	0	0		0	0	0	0	0	0	0	0	当前拥有坐骑最低品质为<font color='#00FF00'>传说</font>	0	[(28400,45)]	[(28400,45)]	0	0	0		0
49	0	1	0	0	0	0	(28468,10)	0	0	0	0	0	0	0	0	一星豪礼	0	[(28468,11),(28398,40)]	[(28468,11,1),(28398,40,1)]	0	0	0		0
50	0	1	0	0	0	0	(28468,18)	0	0	0	0	0	0	0	0	二星豪礼	0	[(28468,19),(28398,50)]	[(28468,19,1),(28398,50,1)]	0	0	0		0
51	0	1	0	0	0	0	(28468,28)	0	0	0	0	0	0	0	0	三星豪礼	0	[(28398,50),(26638,1)]	[(28398,50,1),(26638,1,1)]	0	0	0		0
52	0	2	0	0	100	0		0	0	0	0	0	0	0	0		0	[(26450,1),(28709,1)]	[(25829,30,0),(26450,1,0),(28709,1,0)]	0	30	0		0
53	0	1	0	0	300	0		0	0	0	0	0	0	0	0		0	[(26450,1),(28709,1)]	[(25829,30,0),(26450,1,0),(28709,1,0)]	0	30	0		0
54	0	3	0	0	500	0		0	0	0	0	0	0	0	0		0	[(26450,2),(28709,2),(28468,2)]	[(25829,50,0),(26450,2,0),(28709,2,0),(28468,2,1)]	0	50	0		0
55	0	2	0	0	1000	0		0	0	0	0	0	0	0	0		0	[(26450,3),(28709,3)]	[(25829,100,0),(26450,3,0),(28709,3,0)]	0	100	0		0
56	0	2	0	0	1500	0		0	0	0	0	0	0	0	0		0	[(26450,3),(28709,3)]	[(25829,100,0),(26450,3,0),(28709,3,0)]	0	100	0		0
57	0	1	0	0	2000	0		0	0	0	0	0	0	0	0		0	[(26450,3),(28709,3),(28468,4)]	[(25829,100,0),(26450,3,0),(28709,3,0),(28468,4,1)]	0	100	0		0
58	0	2	0	0	3000	0		0	0	0	0	0	0	0	0		0	[(26450,6),(28709,6)]	[(25829,200,0),(26450,6,0),(28709,6,0)]	0	200	0		0
59	0	2	0	0	4000	0		0	0	0	0	0	0	0	0		0	[(26450,10),(28709,10)]	[(25829,300,0),(26450,10,0),(28709,10,0)]	0	300	0		0
60	0	2	0	0	5000	0		0	0	0	0	0	0	0	0		0	[(26450,10),(28709,10),(28468,8)]	[(25829,300,0),(26450,10,0),(28709,10,0),(28468,8,1)]	0	300	0		0
61	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度80领取	0	[(26032,1),(25600,3)]	[(25828,100000),(26032,1),(25600,3)]	100000	0	0		80
62	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度120领取	0	[(26033,1),(25600,10)]	[(25828,200000),(26033,1),(25600,10)]	200000	0	0		120
63	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度180领取	0	[(26044,1),(27368,1)]	[(25828,200000),(25829,50),(26044,1),(27368,1)]	200000	50	0		180
64	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度240领取	0	[(26044,1),(26344,10)]	[(25828,300000),(25829,50),(26044,1),(26344,10)]	300000	50	0		240
65	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度600领取	0	[(27488,1),(26223,1),(26342,10)]	[(25828,400000),(27488,1),(26223,1),(26342,10)]	400000	0	0		600
66	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度900领取	0	[(27566,2),(26343,10)]	[(25828,500000),(25829,100),(27566,2),(26343,10)]	500000	100	0		900
67	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度1200领取	0	[(27489,1),(27566,3),(26223,1)]	[(25828,600000),(27489,1),(27566,3),(26223,1)]	600000	0	0		1200
68	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度1500领取	0	[(27490,1),(26224,1),(27566,5)]	[(25828,1000000),(25829,500),(27490,1),(26224,1),(27566,5)]	1000000	500	0		1500
69	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度80领取	0	[(26032,1),(26485,1)]	[(25828,300000),(26032,1),(26485,1)]	300000	0	0		80
70	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度140领取	0	[(26033,1),(26485,4)]	[(25828,400000),(26033,1),(26485,4)]	400000	0	0		140
71	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度210领取	0	[(26044,1),(27368,1)]	[(25828,400000),(25829,50),(26044,1),(27368,1)]	400000	50	0		210
72	0	1	0	0	0	0	(28500,10)	0	0	0	0	0	0	0	0	一星豪礼	0	[(28500,11),(28400,20)]	[(28500,11,1),(28400,20,1)]	0	0	0		0
73	0	1	0	0	0	0	(28500,21)	0	0	0	0	0	0	0	0	二星豪礼	0	[(28500,22),(28400,25)]	[(28500,22,1),(28400,25,1)]	0	0	0		0
74	0	1	0	0	0	0	(28500,28)	0	0	0	0	0	0	0	0	三星豪礼	0	[(28400,25),(26638,1)]	[(28400,25,1),(26638,1,1)]	0	0	0		0
75	0	1	0	0	100	0		0	0	0	0	0	0	0	0		0	[(28711,1)]	[(25829,30,0),(28711,1,0)]	0	30	0		0
76	0	1	0	0	300	0		0	0	0	0	0	0	0	0		0	[(28711,1)]	[(25829,50,0),(28711,1,0)]	0	50	0		0
77	0	3	0	0	500	0		0	0	0	0	0	0	0	0		0	[(28711,1),(28500,2)]	[(25829,50,0),(28711,1,0),(28500,2,1)]	0	50	0		0
78	0	2	0	0	1000	0		0	0	0	0	0	0	0	0		0	[(26450,1),(28711,1)]	[(25829,50,0),(26450,1,0),(28711,1,0)]	0	50	0		0
79	0	2	0	0	1500	0		0	0	0	0	0	0	0	0		0	[(26450,1),(28711,1)]	[(25829,50,0),(26450,1,0),(28711,1,0)]	0	50	0		0
80	0	2	0	0	2000	0		0	0	0	0	0	0	0	0		0	[(26450,1),(28711,1),(28500,4)]	[(25829,50,0),(26450,1,0),(28711,1,0),(28500,4,1)]	0	50	0		0
81	0	2	0	0	3000	0		0	0	0	0	0	0	0	0		0	[(26450,2),(28711,1)]	[(25829,100,0),(26450,2,0),(28711,1,0)]	0	100	0		0
82	0	2	0	0	100	0		0	0	0	0	0	0	0	0		0	[(26450,1),(28607,1)]	[(25829,30,0),(26450,1,0),(28607,1,0)]	0	30	0		0
83	0	1	0	0	300	0		0	0	0	0	0	0	0	0		0	[(26450,1),(28607,1)]	[(25829,30,0),(26450,1,0),(28607,1,0)]	0	30	0		0
84	0	3	0	0	500	0		0	0	0	0	0	0	0	0		0	[(26450,2),(28607,2),(28472,2)]	[(25829,50,0),(26450,2,0),(28607,2,0),(28472,2,1)]	0	50	0		0
85	0	2	0	0	1000	0		0	0	0	0	0	0	0	0		0	[(26450,3),(28607,3)]	[(25829,100,0),(26450,3,0),(28607,3,0)]	0	100	0		0
86	0	2	0	0	1500	0		0	0	0	0	0	0	0	0		0	[(26450,3),(28607,3)]	[(25829,100,0),(26450,3,0),(28607,3,0)]	0	100	0		0
87	0	1	0	0	2000	0		0	0	0	0	0	0	0	0		0	[(26450,3),(28607,3),(28472,4)]	[(25829,100,0),(26450,3,0),(28607,3,0),(28472,4,1)]	0	100	0		0
88	0	2	0	0	3000	0		0	0	0	0	0	0	0	0		0	[(26450,6),(28607,6)]	[(25829,200,0),(26450,6,0),(28607,6,0)]	0	200	0		0
89	0	2	0	0	4000	0		0	0	0	0	0	0	0	0		0	[(26450,10),(28607,10)]	[(25829,300,0),(26450,10,0),(28607,10,0)]	0	300	0		0
90	0	2	0	0	5000	0		0	0	0	0	0	0	0	0		0	[(26450,10),(28607,10),(28472,8)]	[(25829,300,0),(26450,10,0),(28607,10,0),(28472,8,1)]	0	300	0		0
91	0	1	0	0	0	0	(28472,10)	0	0	0	0	0	0	0	0	一星豪礼	0	[(28472,11),(26144,80)]	[(28472,11,1),(26144,80,1)]	0	0	0		0
92	0	1	0	0	0	0	(28472,18)	0	0	0	0	0	0	0	0	二星豪礼	0	[(28472,19),(26144,100)]	[(28472,19,1),(26144,100,1)]	0	0	0		0
93	0	1	0	0	0	0	(28472,28)	0	0	0	0	0	0	0	0	三星豪礼	0	[(26144,120),(26449,12)]	[(26144,120,1),(26449,12,1)]	0	0	0		0
94	0	1	0	0	100	0		0	0	0	0	0	0	0	0		0	[(26450,1),(28713,1)]	[(25829,30,0),(26450,1,0),(28713,1,0)]	0	30	0		0
95	0	1	0	0	300	0		0	0	0	0	0	0	0	0		0	[(26450,1),(28713,1)]	[(25829,50,0),(26450,1,0),(28713,1,0)]	0	50	0		0
96	0	3	0	0	500	0		0	0	0	0	0	0	0	0		0	[(26450,1),(28713,1),(28470,2)]	[(25829,50,0),(26450,1,0),(28713,1,0),(28470,2,1)]	0	50	0		0
97	0	2	0	0	1000	0		0	0	0	0	0	0	0	0		0	[(26450,3),(28713,3)]	[(25829,100,0),(26450,3,0),(28713,3,0)]	0	100	0		0
98	0	2	0	0	1500	0		0	0	0	0	0	0	0	0		0	[(26450,3),(28713,3)]	[(25829,100,0),(26450,3,0),(28713,3,0)]	0	100	0		0
99	0	2	0	0	2000	0		0	0	0	0	0	0	0	0		0	[(26450,3),(28713,3),(28470,4)]	[(25829,100,0),(26450,3,0),(28713,3,0),(28470,4,1)]	0	100	0		0
100	0	2	0	0	3000	0		0	0	0	0	0	0	0	0		0	[(26450,5),(28713,5)]	[(25829,200,0),(26450,5,0),(28713,5,0)]	0	200	0		0
101	0	1	0	0	0	0	(28470,10)	0	0	0	0	0	0	0	0	一星豪礼	0	[(28470,11),(26144,80)]	[(28470,11,1),(26144,80,1)]	0	0	0		0
102	0	1	0	0	0	0	(28470,21)	0	0	0	0	0	0	0	0	二星豪礼	0	[(28470,22),(26144,100)]	[(28470,22,1),(26144,100,1)]	0	0	0		0
103	0	1	0	0	0	0	(28470,28)	0	0	0	0	0	0	0	0	三星豪礼	0	[(26144,120),(26449,12)]	[(26144,120,1),(26449,12,1)]	0	0	0		0
104	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	当前拥有一只<font color='#00FF00'>1星</font>宠物	0	[(28408,1)]	[(28408,1)]	0	0	0		0
105	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	当前拥有一只<font color='#00FF00'>2星</font>宠物	0	[(28410,1)]	[(28410,1)]	0	0	0		0
106	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	当前拥有一只<font color='#00FF00'>3星</font>宠物	0	[(28412,1)]	[(28412,1)]	0	0	0		0
107	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	当前拥有一只<font color='#00FF00'>4星</font>宠物	0	[(28414,1)]	[(28414,1)]	0	0	0		0
108	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	当前拥有一只<font color='#00FF00'>5星</font>宠物	0	[(28426,1)]	[(28426,1)]	0	0	0		0
109	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	当前拥有一只<font color='#00FF00'>2阶</font>宠物	0	[(28418,10)]	[(28418,10)]	0	0	0		0
110	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	当前拥有一只<font color='#00FF00'>3阶</font>宠物	0	[(28420,15)]	[(28420,15)]	0	0	0		0
111	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	当前拥有一只<font color='#00FF00'>4阶</font>宠物	0	[(28422,25)]	[(28422,25)]	0	0	0		0
112	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度270领取	0	[(26267,1),(26144,10)]	[(25828,700000),(25829,50),(26267,1),(26144,10)]	700000	50	0		270
113	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度600领取	0	[(27488,1),(26227,1),(26144,10)]	[(25828,800000),(27488,1),(26227,1),(26144,10)]	800000	0	0		600
114	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度900领取	0	[(27566,2),(26934,5)]	[(25828,900000),(25829,100),(27566,2),(26934,5)]	900000	100	0		900
115	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度1200领取	0	[(27489,1),(27566,3),(26227,1)]	[(25828,1000000),(27489,1),(27566,3),(26227,1)]	1000000	0	0		1200
116	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度1500领取	0	[(27490,1),(26228,1),(27167,5)]	[(25828,2000000),(25829,500),(27490,1),(26228,1),(27167,5)]	2000000	500	0		1500
117	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度270领取	0	[(26044,1),(26934,4)]	[(25828,500000),(25829,50),(26044,1),(26934,4)]	500000	50	0		270
118	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度600领取	0	[(27488,1),(26223,1),(26484,5)]	[(25828,600000),(27488,1),(26223,1),(26484,5)]	600000	0	0		600
119	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度900领取	0	[(27566,2),(26936,10)]	[(25828,700000),(25829,100),(27566,2),(26936,10)]	700000	100	0		900
120	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度1200领取	0	[(27489,1),(27566,3),(26223,1)]	[(25828,800000),(27489,1),(27566,3),(26223,1)]	800000	0	0		1200
121	0	1	0	0	0	0		0	0	0	0	0	0	0	0	活跃度1500领取	0	[(27490,1),(26224,1),(27566,5)]	[(25828,1000000),(25829,500),(27490,1),(26224,1),(27566,5)]	1000000	500	0		1500
122	0	1	0	0	0	0		0	0	0	0	0	0	0	0	星灵星级达到<font color='#00FF00'>2星</font>	2		[(27476,12)]	0	0	0	(12,86400)	0
123	0	1	0	0	0	0		0	0	0	0	0	0	0	0	星灵星级达到<font color='#00FF00'>3星</font>	3		[(27476,24)]	0	0	0	(24,86400)	0
124	0	1	0	0	0	0		0	0	0	0	0	0	0	0	星灵星级达到<font color='#00FF00'>4星</font>	4		[(27476,35)]	0	0	0	(35,86400)	0
125	0	1	0	0	0	0		0	0	0	0	0	0	0	0	星灵星级达到<font color='#00FF00'>5星</font>	5		[(27476,60)]	0	0	0	(60,86400)	0
126	0	1	0	0	0	0		0	0	0	0	0	0	0	0	星灵星级达到<font color='#00FF00'>6星</font>	6		[(27476,134)]	0	0	0	(134,86400)	0
127	0	1	0	0	0	0		0	0	0	0	0	0	0	0	星灵星级达到<font color='#00FF00'>7星</font>	7		[(27476,184)]	0	0	0	(184,86400)	0
128	0	1	0	0	0	0		0	0	0	0	0	0	0	0	星灵星级达到<font color='#00FF00'>8星</font>	8		[(27476,220)]	0	0	0	(220,86400)	0
129	0	1	0	0	0	0		0	0	0	0	0	0	0	0	星灵星级达到<font color='#00FF00'>9星</font>	9		[(27476,283)]	0	0	0	(283,86400)	0
130	0	1	0	0	0	0		0	0	0	0	0	0	0	0	星灵星级达到<font color='#00FF00'>10星</font>	10		[(27476,427)]	0	0	0	(427,86400)	0
131	0	1	0	0	0	0		0	0	0	0	0	0	0	0	星灵星级达到<font color='#00FF00'>11星</font>	11		[(27476,628)]	0	0	0	(628,86400)	0
132	0	1	0	0	0	0		0	0	0	0	0	0	0	0	星灵星级达到<font color='#00FF00'>12星</font>	12		[(27476,860)]	0	0	0	(860,86400)	0
133	0	1	0	0	0	0		0	0	0	0	0	0	0	0	星灵星级达到<font color='#00FF00'>13星</font>	13		[(27476,1160)]	0	0	0	(1160,86400)	0
134	0	1	0	0	0	0		0	0	0	0	0	0	0	0	星灵星级达到<font color='#00FF00'>14星</font>	14		[(27476,1520)]	0	0	0	(1520,86400)	0
135	0	1	0	0	0	0		0	0	0	0	0	0	0	0	星灵星级达到<font color='#00FF00'>15星</font>	15		[(27476,1962)]	0	0	0	(1962,86400)	0
136	0	1	0	0	0	0		0	0	0	0	0	0	0	0	星灵星级达到<font color='#00FF00'>16星</font>	16		[(27476,2539)]	0	0	0	(2539,86400)	0
137	0	1	0	0	0	0		0	0	0	0	0	0	0	0	星灵星级达到<font color='#00FF00'>17星</font>	17		[(27476,3131)]	0	0	0	(3131,86400)	0
138	0	1	0	0	0	0		0	0	0	0	0	0	0	0	星灵星级达到<font color='#00FF00'>18星</font>	18		[(27476,3936)]	0	0	0	(3936,86400)	0
139	0	1	0	0	0	0		0	0	0	0	0	0	0	0	星灵星级达到<font color='#00FF00'>19星</font>	19		[(27476,4743)]	0	0	0	(4743,86400)	0
140	0	1	0	0	0	0		0	0	0	0	0	0	0	0	星灵星级达到<font color='#00FF00'>20星</font>	20			0	0	55		0
141	0	1	0	0	0	0		0	0	1	0	0	0	0	0	当前拥有羽翼最低等级为<font color='#00FF00'>1级</font>	0	[(28439,8)]	[(28439,8)]	0	0	0		0
142	0	1	0	0	0	0		0	0	2	0	0	0	0	0	当前拥有羽翼最低等级为<font color='#00FF00'>2级</font>	0	[(28439,8)]	[(28439,8)]	0	0	0		0
143	0	1	0	0	0	0		0	0	3	0	0	0	0	0	当前拥有羽翼最低等级为<font color='#00FF00'>3级</font>	0	[(28439,15)]	[(28439,15)]	0	0	0		0
144	0	1	0	0	0	0		0	0	4	0	0	0	0	0	当前拥有羽翼最低等级为<font color='#00FF00'>4级</font>	0	[(28439,20)]	[(28439,20)]	0	0	0		0
145	0	1	0	0	0	0		0	0	5	0	0	0	0	0	当前拥有羽翼最低等级为<font color='#00FF00'>5级</font>	0	[(28439,25)]	[(28439,25)]	0	0	0		0
146	0	1	0	0	0	0		0	0	6	0	0	0	0	0	当前拥有羽翼最低等级为<font color='#00FF00'>6级</font>	0	[(28439,25)]	[(28439,25)]	0	0	0		0
147	0	1	0	0	0	0		0	0	7	0	0	0	0	0	当前拥有羽翼最低等级为<font color='#00FF00'>7级</font>	0	[(28439,30)]	[(28439,30)]	0	0	0		0
148	0	1	0	0	0	0		0	0	8	0	0	0	0	0	当前拥有羽翼最低等级为<font color='#00FF00'>8级</font>	0	[(28439,30)]	[(28439,30)]	0	0	0		0
149	0	1	0	0	0	0		0	0	9	0	0	0	0	0	当前拥有羽翼最低等级为<font color='#00FF00'>9级</font>	0	[(28439,35)]	[(28439,35)]	0	0	0		0
150	0	1	0	0	0	0		0	0	10	0	0	0	0	0	当前拥有羽翼最低等级为<font color='#00FF00'>10级</font>	0	[(28439,40)]	[(28439,40)]	0	0	0		0
151	0	1	0	0	0	0		0	0	11	0	0	0	0	0	当前拥有羽翼最低等级为<font color='#00FF00'>11级</font>	0	[(28439,45)]	[(28439,45)]	0	0	0		0
