id	item	des	minDiscount	maxDiscount
预览id	物品(coding,cnt)	备注	最低折扣	最高折扣
1	(27895,1)	喜气洋洋	2	2
2	(26459,1)	射手座女神（橙）	3	3
3	(26458,1)	射手座女神（紫）	3	3
4	(37007,1)	恶魔之翼	5	5
5	(37001,1)	天使·圣洁之心	4	6
6	(37002,1)	天使·圣洁之风	4	6
7	(37004,1)	天使·圣洁之光	4	6
8	(37011,1)	青衣之恋	3	6
9	(37013,1)	紫陌倾城	3	6
10	(25794,1)	九级法攻宝石	4	7
11	(25797,1)	九级暴击宝石	4	7
12	(25793,1)	九级物攻宝石	4	7
13	(25798,5)	九级免暴宝石	4	7
14	(25950,4)	九级信仰符文	5	8
15	(25948,1)	九级英勇符文	5	8
16	(26226,1)	七级宝石礼盒	3	5
17	(26230,1)	七级符文礼盒	4	6
18	(26298,5)	圣器附魔石	4	8
19	(27648,1)	春节大礼包	4	4
20	(26676,1)	时装之魄	4	8
