serverType	rank	needScore	rankPreview	rankImg	rewardItems	money	bindRMB	rewardItemsPreview
	排名	需要积分	排名预览	是否显示	奖励	金币奖励	魔晶	奖励道具预览（客户端用）
1	1	10000	1	SDJNH_TextDYM	[(27868,300),(26344,200),(26450,100),(25802,1),(27619,1)]	0	0	[(27868,300),(26344,200),(26450,100),(25802,1),(27619,1)]
1	2	10000	2	SDJNH_TextDRM	[(27868,250),(26344,150),(26450,75),(25793,1),(27618,1)]	0	0	[(27868,250),(26344,150),(26450,75),(25793,1),(27618,1)]
1	3	10000	3	SDJNH_TextDSM	[(27868,200),(26344,120),(26450,60),(25784,1),(27521,1)]	0	0	[(27868,200),(26344,120),(26450,60),(25784,1),(27521,1)]
1	4	10000	4	SDJNH_TextD4M	[(27868,150),(26344,100),(26450,50),(25775,1),(27520,1)]	0	0	[(27868,150),(26344,100),(26450,50),(25775,1),(27520,1)]
1	5	10000	5	SDJNH_TextD5M	[(27868,120),(26344,80),(26450,40),(25775,1),(27520,1)]	0	0	[(27868,120),(26344,80),(26450,40),(25775,1),(27520,1)]
1	6	8000	6	SDJNH_Text6	[(27868,100),(26344,60),(26450,30),(25766,1)]	0	0	[(27868,100),(26344,60),(26450,30),(25766,1)]
1	7	8000	0	0	[(27868,100),(26344,60),(26450,30),(25766,1)]	0	0	[(27868,100),(26344,60),(26450,30),(25766,1)]
1	8	8000	0	0	[(27868,100),(26344,60),(26450,30),(25766,1)]	0	0	[(27868,100),(26344,60),(26450,30),(25766,1)]
1	9	8000	0	0	[(27868,100),(26344,60),(26450,30),(25766,1)]	0	0	[(27868,100),(26344,60),(26450,30),(25766,1)]
1	10	8000	0	0	[(27868,100),(26344,60),(26450,30),(25766,1)]	0	0	[(27868,100),(26344,60),(26450,30),(25766,1)]
1	11	6000	7	SDJNH_Text11	[(27868,80),(26344,40),(26450,20),(25766,1)]	0	0	[(27868,80),(26344,40),(26450,20),(25766,1)]
1	12	6000	0	0	[(27868,80),(26344,40),(26450,20),(25766,1)]	0	0	[(27868,80),(26344,40),(26450,20),(25766,1)]
1	13	6000	0	0	[(27868,80),(26344,40),(26450,20),(25766,1)]	0	0	[(27868,80),(26344,40),(26450,20),(25766,1)]
1	14	6000	0	0	[(27868,80),(26344,40),(26450,20),(25766,1)]	0	0	[(27868,80),(26344,40),(26450,20),(25766,1)]
1	15	6000	0	0	[(27868,80),(26344,40),(26450,20),(25766,1)]	0	0	[(27868,80),(26344,40),(26450,20),(25766,1)]
1	16	6000	0	0	[(27868,80),(26344,40),(26450,20),(25766,1)]	0	0	[(27868,80),(26344,40),(26450,20),(25766,1)]
1	17	6000	0	0	[(27868,80),(26344,40),(26450,20),(25766,1)]	0	0	[(27868,80),(26344,40),(26450,20),(25766,1)]
1	18	6000	0	0	[(27868,80),(26344,40),(26450,20),(25766,1)]	0	0	[(27868,80),(26344,40),(26450,20),(25766,1)]
1	19	6000	0	0	[(27868,80),(26344,40),(26450,20),(25766,1)]	0	0	[(27868,80),(26344,40),(26450,20),(25766,1)]
1	20	6000	0	0	[(27868,80),(26344,40),(26450,20),(25766,1)]	0	0	[(27868,80),(26344,40),(26450,20),(25766,1)]
1	21	4000	8	SDJNH_Text21	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	22	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	23	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	24	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	25	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	26	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	27	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	28	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	29	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	30	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	31	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	32	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	33	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	34	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	35	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	36	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	37	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
