AwaIndex	Height	Reward	Level	RewardShow
奖励索引	高度区间	奖励	等级区间	前端奖励展示
1	[0,19]	[]	[30,179]	[]
2	[20,74]	[(26450,1,1000),(27566,1,500),(25837,2,1000),(26144,2,1000),(26925,1,1000),(26924,1,1000)]	[30,179]	[(26450,1),(27566,1),(25837,2),(26144,2),(26925,1),(26924,1)]
3	[75,149]	[(26450,5,1000),(26934,5,1000),(26933,5,1000),(27518,1,1000),(27621,1,1000),(28035,1,1000)]	[30,179]	[(26450,5),(26934,5),(26933,5),(27518,1),(27621,1),(28035,1)]
4	[150,299]	[(26450,5,1000),(26042,1,1000),(26934,5,1000),(27518,1,1000),(27621,1,1000),(28035,1,1000)]	[30,179]	[(26450,5),(26042,1),(26934,5),(27518,1),(27621,1),(28035,1)]
5	[300,599]	[(26450,10,1000),(26479,20,1000),(27566,5,600),(27519,1,1000),(27622,1,1000),(28030,1,1000)]	[30,179]	[(26450,10),(26479,20),(27566,5),(27519,1),(27622,1),(28030,1)]
6	[600,899]	[(26450,20,1000),(25837,40,1000),(26144,40,1000),(28563,10,1000),(27520,1,1000),(27623,1,1000)]	[30,179]	[(26450,20),(25837,40),(26144,40),(28563,10),(27520,1),(27623,1)]
7	[900,1199]	[(26450,20,1000),(26677,20,1000),(26298,8,1000),(28563,10,1000),(27520,1,1000),(27709,1,1000)]	[30,179]	[(26450,20),(26677,20),(26298,8),(28563,10),(27520,1),(27709,1)]
8	[1200,1499]	[(26450,20,1000),(25837,40,1000),(28571,10,1000),(28563,10,1000),(27623,1,1000),(27709,1,1000)]	[30,179]	[(26450,20),(25837,40),(28571,10),(28563,10),(27623,1),(27709,1)]
9	[1500,1899]	[(26450,20,1000),(26144,40,1000),(28571,10,1000),(28563,10,1000),(28891,1,1000),(27709,1,1000)]	[30,179]	[(26450,20),(26144,40),(28571,10),(28563,10),(28891,1),(27709,1)]
10	[1900,2399]	[(26450,20,1000),(26677,20,1000),(28571,10,1000),(28563,10,1000),(28031,1,1000),(27709,1,1000)]	[30,179]	[(26450,20),(26677,20),(28571,10),(28563,10),(28031,1),(27709,1)]
11	[2400,2799]	[(26298,10,1000),(27167,5,1000),(27520,1,1000),(27623,1,1000),(28032,1,1000),(27709,1,1000)]	[30,179]	[(26298,10),(27167,5),(27520,1),(27623,1),(28032,1),(27709,1)]
12	[2800,3299]	[(26676,2,1000),(27566,12,1000),(27520,1,1000),(27623,1,1000),(28032,1,1000),(27709,1,1000)]	[30,179]	[(26676,2),(27566,12),(27520,1),(27623,1),(28032,1),(27709,1)]
13	[3300,3799]	[(27167,5,1000),(26676,2,1000),(27520,1,1000),(27623,1,1000),(28032,1,1000),(27709,1,1000)]	[30,179]	[(27167,5),(26676,2),(27520,1),(27623,1),(28032,1),(27709,1)]
14	[3800,4299]	[(28844,2,1000),(27167,5,1000),(27520,1,1000),(27623,1,1000),(28032,1,1000),(27709,1,1000)]	[30,179]	[(28844,2),(27167,5),(27520,1),(27623,1),(28032,1),(27709,1)]
15	[4300,4799]	[(28844,2,1000),(26676,2,1000),(27520,1,1000),(27623,1,1000),(28032,1,1000),(27709,1,1000)]	[30,179]	[(28844,2),(26676,2),(27520,1),(27623,1),(28032,1),(27709,1)]
16	[4800,5599]	[(28253,1,210),(27492,1,210),(27520,1,1000),(27623,1,1000),(28032,1,1000),(27709,1,1000)]	[30,179]	[(28253,1),(27492,1),(27520,1),(27623,1),(28032,1),(27709,1)]
17	[5600,6399]	[(28253,1,210),(27492,1,210),(27521,1,1000),(27624,1,1000),(28032,1,1000),(27710,1,1000)]	[30,179]	[(28253,1),(27492,1),(27521,1),(27624,1),(28032,1),(27710,1)]
18	[6400,7199]	[(28253,1,210),(27492,1,210),(27521,1,1000),(27624,1,1000),(28032,1,1000),(27710,1,1000)]	[30,179]	[(28253,1),(27492,1),(27521,1),(27624,1),(28032,1),(27710,1)]
19	[7200,7999]	[(28254,1,60),(27493,1,100),(27521,1,1000),(29234,1,600),(28032,1,1000),(27710,1,1000)]	[30,179]	[(28254,1),(27493,1),(27521,1),(29234,1),(28032,1),(27710,1)]
20	[8000,10000]	[(28447,1,37),(28895,1,80),(27521,1,1000),(29234,1,600),(28032,1,1000),(27710,1,1000)]	[30,179]	[(28447,1),(28895,1),(27521,1),(29234,1),(28032,1),(27710,1)]
