index	BigType	SmallType	DayClear	desc	value	Description	pic	title	Content
类型	事件大类	事件小类	是否每天重置	客户端文字描述	结算值	分享说明	图片	标题	内容
1	1	1	1	今日分享	0	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我在玩《龙骑士传》	#龙骑士传#神魔之战，人神魔的斗争，带你进入《龙骑士传》，体验不一样的屠龙之路。
2	2	1	0	人物等级达到30级	30	#龙骑士传#情侣的陪伴，神器的守护，拉风的坐骑，尽在《龙骑士传》。	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	我又升级了	#龙骑士传#哇噻！！凶器凶器！！穿成这样打怪真的不会走光么？
3	2	2	0	人物等级达到40级	40	#龙骑士传#还在单身吗？在这里，屌丝告别单身不是梦。最完美的情人任你挑选！	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	我又升级了	#龙骑士传#别烦我，让我在游戏里做个安静的美男子吧！！
4	2	3	0	人物等级达到50级	50	#龙骑士传#情侣的陪伴，神器的守护，拉风的坐骑，尽在《龙骑士传》。	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	我又升级了	#龙骑士传#冰桶挑战，湿身诱惑！！！
5	2	4	0	人物等级达到60级	60	#龙骑士传#还在单身吗？在这里，屌丝告别单身不是梦。最完美的情人任你挑选！	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	我又升级了	#龙骑士传#你们这样对女神真的好么？考虑过女神的感受么!!!
6	2	5	0	人物等级达到70级	70	#龙骑士传#情侣的陪伴，神器的守护，拉风的坐骑，尽在《龙骑士传》。	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	我又升级了	#龙骑士传#龙骑士传,带你装逼带你飞~~~
7	2	6	0	人物等级达到80级	80	#龙骑士传#还在单身吗？在这里，屌丝告别单身不是梦。最完美的情人任你挑选！	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	我又升级了	#龙骑士传#哇噻！！凶器凶器！！穿成这样打怪真的不会走光么？
8	2	7	0	人物等级达到90级	90	#龙骑士传#情侣的陪伴，神器的守护，拉风的坐骑，尽在《龙骑士传》。	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	我又升级了	#龙骑士传#别烦我，让我在游戏里做个安静的美男子吧！！
9	2	8	0	人物等级达到100级	100	#龙骑士传#还在单身吗？在这里，屌丝告别单身不是梦。最完美的情人任你挑选！	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	我又升级了	#龙骑士传#冰桶挑战，湿身诱惑！！！
10	3	1	0	获得英雄天空射手	3	#龙骑士传#情侣的陪伴，神器的守护，拉风的坐骑，尽在《龙骑士传》。	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#你们这样对女神真的好么？考虑过女神的感受么!!!
11	3	2	0	获得英雄冠军骑士	4	#龙骑士传#还在单身吗？在这里，屌丝告别单身不是梦。最完美的情人任你挑选！	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#龙骑士传,带你装逼带你飞~~~
12	3	3	0	获得英雄女祭司	5	#龙骑士传#情侣的陪伴，神器的守护，拉风的坐骑，尽在《龙骑士传》。	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#哇噻！！凶器凶器！！穿成这样打怪真的不会走光么？
13	3	4	0	获得英雄死神	6	#龙骑士传#还在单身吗？在这里，屌丝告别单身不是梦。最完美的情人任你挑选！	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#别烦我，让我在游戏里做个安静的美男子吧！！
14	3	5	0	获得英雄雷神	7	#龙骑士传#情侣的陪伴，神器的守护，拉风的坐骑，尽在《龙骑士传》。	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#冰桶挑战，湿身诱惑！！！
15	3	6	0	获得英雄红袍女巫	8	#龙骑士传#还在单身吗？在这里，屌丝告别单身不是梦。最完美的情人任你挑选！	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#你们这样对女神真的好么？考虑过女神的感受么!!!
16	3	7	0	获得英雄血族剑姬	9	#龙骑士传#情侣的陪伴，神器的守护，拉风的坐骑，尽在《龙骑士传》。	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#龙骑士传,带你装逼带你飞~~~
17	3	8	0	获得英雄战争之王	10	#龙骑士传#还在单身吗？在这里，屌丝告别单身不是梦。最完美的情人任你挑选！	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#哇噻！！凶器凶器！！穿成这样打怪真的不会走光么？
18	3	9	0	获得英雄幻术妖姬	11	#龙骑士传#情侣的陪伴，神器的守护，拉风的坐骑，尽在《龙骑士传》。	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#别烦我，让我在游戏里做个安静的美男子吧！！
19	3	10	0	获得英雄众神之王	12	#龙骑士传#还在单身吗？在这里，屌丝告别单身不是梦。最完美的情人任你挑选！	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#冰桶挑战，湿身诱惑！！！
20	3	11	0	获得英雄大法师	13	#龙骑士传#情侣的陪伴，神器的守护，拉风的坐骑，尽在《龙骑士传》。	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#你们这样对女神真的好么？考虑过女神的感受么!!!
21	3	12	0	获得英雄太阳神	17	#龙骑士传#还在单身吗？在这里，屌丝告别单身不是梦。最完美的情人任你挑选！	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#龙骑士传,带你装逼带你飞~~~
22	4	1	0	成为贵族1	1	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我成为贵族1了	#龙骑士传#成为《龙骑士传》里面的贵族1了，我是土豪，快跟我做朋友吧。
23	4	2	0	成为贵族2	2	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我成为贵族2了	#龙骑士传#成为《龙骑士传》里面的贵族2了，我是土豪，快跟我做朋友吧。
24	4	3	0	成为贵族3	3	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我成为贵族3了	#龙骑士传#成为《龙骑士传》里面的贵族3了，我是土豪，快跟我做朋友吧。
25	4	4	0	成为贵族4	4	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我成为贵族4了	#龙骑士传#成为《龙骑士传》里面的贵族4了，我是土豪，快跟我做朋友吧。
26	4	5	0	成为贵族5	5	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我成为贵族5了	#龙骑士传#成为《龙骑士传》里面的贵族5了，我是土豪，快跟我做朋友吧。
27	4	6	0	成为贵族6	6	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我成为贵族6了	#龙骑士传#成为《龙骑士传》里面的贵族6了，我是土豪，快跟我做朋友吧。
28	4	7	0	成为贵族7	7	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我成为贵族6了	#龙骑士传#成为《龙骑士传》里面的贵族7了，我是土豪，快跟我做朋友吧。
29	4	8	0	成为贵族8	8	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我成为贵族6了	#龙骑士传#成为《龙骑士传》里面的贵族8了，我是土豪，快跟我做朋友吧。
30	4	9	0	成为贵族9	9	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我成为贵族6了	#龙骑士传#成为《龙骑士传》里面的贵族9了，我是土豪，快跟我做朋友吧。
31	4	10	0	成为贵族10	10	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我成为贵族6了	#龙骑士传#成为《龙骑士传》里面的贵族10了，我是土豪，快跟我做朋友吧。
