rewardId	item	rateValue	isPrecious
奖励ID	奖励物品(coding,cnt)	抽奖概率	是否珍贵物品(0-否 1-是)
1	(26925,1)	900	0
2	(26924,1)	900	0
3	(27701,1)	60	0
4	(29397,1)	1200	0
5	(29419,1)	1	1
6	(29398,1)	500	0
7	(28253,1)	5	1
8	(29399,1)	500	0
9	(27618,1)	10	0
10	(27566,1)	191	0
11	(27625,1)	8	0
12	(29335,1)	1000	0
13	(27521,1)	20	0
14	(27518,1)	300	0
15	(27624,1)	16	0
16	(27621,1)	300	0
17	(27712,1)	5	1
18	(29330,1)	2000	0
19	(27709,1)	40	0
20	(29331,1)	2000	0
21	(28353,1)	20	0
22	(26221,20)	500	0
23	(27701,1)	60	0
24	(29397,1)	500	0
25	(29419,1)	1	1
26	(29332,1)	1100	0
27	(28253,1)	5	1
28	(27167,1)	150	0
29	(29326,1)	1	1
30	(29329,1)	1500	0
31	(27706,1)	1	1
32	(28035,1)	300	0
33	(27705,1)	4	1
34	(27518,1)	300	0
35	(29333,1)	1413	0
36	(27621,1)	300	0
37	(27712,1)	5	1
38	(29330,1)	1775	0
39	(27709,1)	40	0
40	(29331,1)	1775	0
41	(28572,1)	200	0
42	(28563,1)	1541	0
43	(27701,1)	60	0
44	(28571,1)	1542	0
45	(29419,1)	1	1
46	(29332,1)	1100	0
47	(28253,1)	5	1
48	(27167,1)	150	0
49	(29326,1)	1	1
50	(29329,1)	2000	0
51	(27706,1)	1	1
52	(28035,1)	300	0
53	(27705,1)	4	1
54	(27518,1)	300	0
55	(27712,1)	5	1
56	(27621,1)	300	0
57	(27709,1)	40	0
58	(29330,1)	1000	0
59	(28564,1)	200	0
60	(29331,1)	1000	0
