cardGrade	level	levelUpExp	eatLevelExp
品阶	等级	升级经验	吞噬等级经验
1	1	0	0
1	2	0	0
1	3	0	0
1	4	0	0
1	5	0	0
1	6	0	0
1	7	0	0
1	8	0	0
1	9	0	0
1	10	0	0
2	1	30	0
2	2	60	30
2	3	120	90
2	4	240	210
2	5	480	450
2	6	960	930
2	7	1920	1890
2	8	3840	3810
2	9	7680	7650
2	10	0	15330
3	1	60	0
3	2	120	60
3	3	240	180
3	4	480	420
3	5	960	900
3	6	1920	1860
3	7	3840	3780
3	8	7680	7620
3	9	15360	15300
3	10	0	30660
4	1	120	0
4	2	240	120
4	3	480	360
4	4	960	840
4	5	1920	1800
4	6	3840	3720
4	7	7680	7560
4	8	15360	15240
4	9	30720	30600
4	10	0	61320
5	1	240	0
5	2	480	240
5	3	960	720
5	4	1920	1680
5	5	3840	3600
5	6	7680	7440
5	7	15360	15120
5	8	30720	30480
5	9	61440	61200
5	10	0	122640
6	1	360	0
6	2	720	360
6	3	1440	1080
6	4	2880	2520
6	5	5760	5400
6	6	11520	11160
6	7	23040	22680
6	8	46080	45720
6	9	92160	91800
6	10	0	183960
0	1	2000	0
0	2	4000	2000
0	3	8000	6000
0	4	16000	14000
0	5	32000	30000
0	6	64000	62000
0	7	128000	126000
0	8	256000	254000
0	9	512000	510000
0	10	0	1022000
