rewardType	items	weight	show	isRumor
奖励类型(1:普通奖励，2:高级奖励，3:珍惜奖励)	物品	抽奖权重	是否展示物品(1:展示，0:不展示)	是否广播（广播的都记录）
3	(37063,1)	1750	1	1
3	(37064,1)	1750	1	1
3	(37065,1)	2000	1	1
3	(37066,1)	1500	1	1
3	(26676,1)	3500	1	1
3	(27167,3)	3500	1	1
2	(27570,10)	1000	0	0
2	(26677,3)	1000	0	0
2	(26677,5)	1000	0	0
2	(26677,7)	500	0	0
2	(26677,10)	200	0	0
2	(26676,1)	50	0	1
2	(25837,10)	1000	0	0
2	(25837,15)	500	0	0
2	(25837,20)	200	0	0
2	(27167,1)	600	0	0
2	(27167,2)	100	0	0
2	(29417,1)	600	0	0
2	(27621,1)	1000	0	0
2	(27622,1)	200	1	0
2	(27624,1)	20	1	0
2	(37063,1)	20	0	1
2	(37064,1)	20	0	1
2	(37065,1)	25	0	1
2	(37066,1)	15	0	1
2	(29443,1)	120	1	1
1	(27570,2)	1000	0	0
1	(26677,1)	1000	0	0
1	(25837,2)	1000	0	0
1	(26144,2)	1000	0	0
1	(27516,1)	1200	0	0
1	(29416,1)	1200	0	0
1	(27517,1)	400	1	0
1	(29417,1)	400	0	0
1	(26344,5)	1200	0	0
1	(26342,2)	1000	0	0
1	(26343,2)	1000	0	0
1	(26933,1)	1000	0	0
1	(26934,1)	1000	0	0
1	(26936,5)	1200	0	0
1	(26485,1)	1000	0	0
1	(26479,2)	1000	0	0
