rewardId	bindRMB	money	HZrewards	HZYearsRMB	HZYearsRewards	HZrewardsClient	HZYearsRewardsClient	LZrewards	LZYearsRewards	LZHHReward	LZrewardsClient
每日礼包奖励ID	魔晶	金币	黄钻每日奖励	(繁体版独有)其余版本无视这一列	黄钻年钻额外奖励	每日奖励客户端显示	年钻奖励k客户端显示	蓝钻每日奖励	蓝钻年钻额外奖励	豪华蓝钻额外奖励	每日奖励客户端显示
1	1	0	[(25661,1),(25600,1),(25681,1)]	5	[(25600,1)]	[(25829,1),(25661,1),(25600,1),(25681,1)]	[(25600,1)]	[(25666,1),(25600,1),(25681,1)]	[(25600,1),(25681,1)]	[(25600,1)]	[(25829,1),(25666,1),(25600,1),(25681,1)]
2	2	0	[(25661,1),(25600,1),(25681,1)]	5	[(25600,1)]	[(25829,2),(25661,1),(25600,1),(25681,1)]	[(25600,1)]	[(25666,1),(25600,1),(25681,1)]	[(25600,1),(25681,1)]	[(25600,1)]	[(25829,2),(25666,1),(25600,1),(25681,1)]
3	3	0	[(25661,1),(25600,1),(25681,1)]	5	[(25600,1)]	[(25829,3),(25661,1),(25600,1),(25681,1)]	[(25600,1)]	[(25666,1),(25600,1),(25681,1)]	[(25600,1),(25681,1)]	[(25600,1)]	[(25829,3),(25666,1),(25600,1),(25681,1)]
4	4	0	[(25661,1),(25600,1),(25681,1)]	5	[(25600,1)]	[(25829,4),(25661,1),(25600,1),(25681,1)]	[(25600,1)]	[(25666,1),(25600,1),(25681,1)]	[(25600,1),(25681,1)]	[(25600,1)]	[(25829,4),(25666,1),(25600,1),(25681,1)]
5	5	0	[(25661,1),(25600,1),(25681,1)]	5	[(25600,1)]	[(25829,5),(25661,1),(25600,1),(25681,1)]	[(25600,1)]	[(25666,1),(25600,1),(25681,1)]	[(25600,1),(25681,1)]	[(25600,1)]	[(25829,5),(25666,1),(25600,1),(25681,1)]
6	6	0	[(25661,1),(25600,1),(25681,1)]	5	[(25600,1)]	[(25829,6),(25661,1),(25600,1),(25681,1)]	[(25600,1)]	[(25666,1),(25600,1),(25681,1)]	[(25600,1),(25681,1)]	[(25600,1)]	[(25829,6),(25666,1),(25600,1),(25681,1)]
7	7	0	[(25661,1),(25600,1),(25681,1)]	5	[(25600,1)]	[(25829,7),(25661,1),(25600,1),(25681,1)]	[(25600,1)]	[(25666,1),(25600,1),(25681,1)]	[(25600,1),(25681,1)]	[(25600,1)]	[(25829,7),(25666,1),(25600,1),(25681,1)]
8	8	0	[(25661,1),(25600,1),(25681,1)]	5	[(25600,1)]	[(25829,8),(25661,1),(25600,1),(25681,1)]	[(25600,1)]	[(25666,1),(25600,1),(25681,1)]	[(25600,1),(25681,1)]	[(25600,1)]	[(25829,8),(25666,1),(25600,1),(25681,1)]
9	1	0	[(25661,1),(25600,1),(25682,1)]	5	[(25600,1)]	[(25829,1),(25661,1),(25600,1),(25682,1)]	[(25600,1)]	[(25666,1),(25600,1),(25682,1)]	[(25600,1),(25682,1)]	[(25600,1)]	[(25829,1),(25666,1),(25600,1),(25682,1)]
10	2	0	[(25661,1),(25600,1),(25682,1)]	5	[(25600,1)]	[(25829,2),(25661,1),(25600,1),(25682,1)]	[(25600,1)]	[(25666,1),(25600,1),(25682,1)]	[(25600,1),(25682,1)]	[(25600,1)]	[(25829,2),(25666,1),(25600,1),(25682,1)]
11	3	0	[(25661,1),(25600,1),(25682,1)]	5	[(25600,1)]	[(25829,3),(25661,1),(25600,1),(25682,1)]	[(25600,1)]	[(25666,1),(25600,1),(25682,1)]	[(25600,1),(25682,1)]	[(25600,1)]	[(25829,3),(25666,1),(25600,1),(25682,1)]
12	4	0	[(25661,1),(25600,1),(25682,1)]	5	[(25600,1)]	[(25829,4),(25661,1),(25600,1),(25682,1)]	[(25600,1)]	[(25666,1),(25600,1),(25682,1)]	[(25600,1),(25682,1)]	[(25600,1)]	[(25829,4),(25666,1),(25600,1),(25682,1)]
13	5	0	[(25661,1),(25600,1),(25682,1)]	5	[(25600,1)]	[(25829,5),(25661,1),(25600,1),(25682,1)]	[(25600,1)]	[(25666,1),(25600,1),(25682,1)]	[(25600,1),(25682,1)]	[(25600,1)]	[(25829,5),(25666,1),(25600,1),(25682,1)]
14	6	0	[(25661,1),(25600,1),(25682,1)]	5	[(25600,1)]	[(25829,6),(25661,1),(25600,1),(25682,1)]	[(25600,1)]	[(25666,1),(25600,1),(25682,1)]	[(25600,1),(25682,1)]	[(25600,1)]	[(25829,6),(25666,1),(25600,1),(25682,1)]
15	7	0	[(25661,1),(25600,1),(25682,1)]	5	[(25600,1)]	[(25829,7),(25661,1),(25600,1),(25682,1)]	[(25600,1)]	[(25666,1),(25600,1),(25682,1)]	[(25600,1),(25682,1)]	[(25600,1)]	[(25829,7),(25666,1),(25600,1),(25682,1)]
16	8	0	[(25661,1),(25600,1),(25682,1)]	5	[(25600,1)]	[(25829,8),(25661,1),(25600,1),(25682,1)]	[(25600,1)]	[(25666,1),(25600,1),(25682,1)]	[(25600,1),(25682,1)]	[(25600,1)]	[(25829,8),(25666,1),(25600,1),(25682,1)]
17	1	0	[(25662,1),(25600,1),(25683,1)]	5	[(25600,1)]	[(25829,1),(25662,1),(25600,1),(25683,1)]	[(25600,1)]	[(25667,1),(25600,1),(25683,1)]	[(25600,1),(25683,1)]	[(25600,1)]	[(25829,1),(25667,1),(25600,1),(25683,1)]
18	2	0	[(25662,1),(25600,1),(25683,1)]	5	[(25600,1)]	[(25829,2),(25662,1),(25600,1),(25683,1)]	[(25600,1)]	[(25667,1),(25600,1),(25683,1)]	[(25600,1),(25683,1)]	[(25600,1)]	[(25829,2),(25667,1),(25600,1),(25683,1)]
19	3	0	[(25662,1),(25600,1),(25683,1)]	5	[(25600,1)]	[(25829,3),(25662,1),(25600,1),(25683,1)]	[(25600,1)]	[(25667,1),(25600,1),(25683,1)]	[(25600,1),(25683,1)]	[(25600,1)]	[(25829,3),(25667,1),(25600,1),(25683,1)]
