rewardId	bindRMB	money	HZrewards	HZYearsRMB	HZYearsRewards	HZrewardsClient	HZYearsRewardsClient	LZrewards	LZYearsRewards	LZHHReward	LZrewardsClient
每日礼包奖励ID	魔晶	金币	黄钻每日奖励	黄钻年钻额外魔晶	黄钻年钻额外奖励	每日奖励客户端显示	年钻奖励k客户端显示	蓝钻每日奖励	蓝钻年钻额外奖励	豪华蓝钻额外奖励	每日奖励客户端显示
1	10	0	[(25661,2),(25600,2),(25681,5)]	5	[(25600,3)]	[(25829,10),(25661,2),(25600,2),(25681,5)]	[(25829,5),(25600,3)]	[(25666,1),(25600,1),(25681,1)]	[(25600,1),(25681,1)]	[(25600,1)]	[(25829,1),(25666,1),(25600,1),(25681,1)]
2	10	0	[(25661,2),(25600,2),(25681,5)]	5	[(25600,3)]	[(25829,10),(25661,2),(25600,2),(25681,5)]	[(25829,5),(25600,3)]	[(25666,1),(25600,1),(25681,1)]	[(25600,1),(25681,1)]	[(25600,1)]	[(25829,2),(25666,1),(25600,1),(25681,1)]
3	10	0	[(25661,2),(25600,2),(25681,5)]	5	[(25600,3)]	[(25829,10),(25661,2),(25600,2),(25681,5)]	[(25829,5),(25600,3)]	[(25666,1),(25600,1),(25681,1)]	[(25600,1),(25681,1)]	[(25600,1)]	[(25829,3),(25666,1),(25600,1),(25681,1)]
4	10	0	[(25661,2),(25600,2),(25681,5)]	5	[(25600,3)]	[(25829,10),(25661,2),(25600,2),(25681,5)]	[(25829,5),(25600,3)]	[(25666,1),(25600,1),(25681,1)]	[(25600,1),(25681,1)]	[(25600,1)]	[(25829,4),(25666,1),(25600,1),(25681,1)]
5	10	0	[(25661,2),(25600,2),(25681,5)]	5	[(25600,3)]	[(25829,10),(25661,2),(25600,2),(25681,5)]	[(25829,5),(25600,3)]	[(25666,1),(25600,1),(25681,1)]	[(25600,1),(25681,1)]	[(25600,1)]	[(25829,5),(25666,1),(25600,1),(25681,1)]
6	10	0	[(25661,2),(25600,2),(25681,5)]	5	[(25600,3)]	[(25829,10),(25661,2),(25600,2),(25681,5)]	[(25829,5),(25600,3)]	[(25666,1),(25600,1),(25681,1)]	[(25600,1),(25681,1)]	[(25600,1)]	[(25829,6),(25666,1),(25600,1),(25681,1)]
7	10	0	[(25661,2),(25600,2),(25681,5)]	5	[(25600,3)]	[(25829,10),(25661,2),(25600,2),(25681,5)]	[(25829,5),(25600,3)]	[(25666,1),(25600,1),(25681,1)]	[(25600,1),(25681,1)]	[(25600,1)]	[(25829,7),(25666,1),(25600,1),(25681,1)]
8	10	0	[(25661,2),(25600,2),(25681,5)]	5	[(25600,3)]	[(25829,10),(25661,2),(25600,2),(25681,5)]	[(25829,5),(25600,3)]	[(25666,1),(25600,1),(25681,1)]	[(25600,1),(25681,1)]	[(25600,1)]	[(25829,8),(25666,1),(25600,1),(25681,1)]
9	10	0	[(25661,2),(25600,2),(25682,5)]	5	[(25600,3)]	[(25829,10),(25661,2),(25600,2),(25682,5)]	[(25829,5),(25600,3)]	[(25666,1),(25600,1),(25682,1)]	[(25600,1),(25682,1)]	[(25600,1)]	[(25829,1),(25666,1),(25600,1),(25682,1)]
10	10	0	[(25661,2),(25600,2),(25682,5)]	5	[(25600,3)]	[(25829,10),(25661,2),(25600,2),(25682,5)]	[(25829,5),(25600,3)]	[(25666,1),(25600,1),(25682,1)]	[(25600,1),(25682,1)]	[(25600,1)]	[(25829,2),(25666,1),(25600,1),(25682,1)]
11	10	0	[(25661,2),(25600,2),(25682,5)]	5	[(25600,3)]	[(25829,10),(25661,2),(25600,2),(25682,5)]	[(25829,5),(25600,3)]	[(25666,1),(25600,1),(25682,1)]	[(25600,1),(25682,1)]	[(25600,1)]	[(25829,3),(25666,1),(25600,1),(25682,1)]
12	10	0	[(25661,2),(25600,2),(25682,5)]	5	[(25600,3)]	[(25829,10),(25661,2),(25600,2),(25682,5)]	[(25829,5),(25600,3)]	[(25666,1),(25600,1),(25682,1)]	[(25600,1),(25682,1)]	[(25600,1)]	[(25829,4),(25666,1),(25600,1),(25682,1)]
