index	title	answer1	answer2	answer
题目索引	题目	答案A	答案B	答案
1	感恩节是定在每年11月的第几个星期四？	第四个	第六个	1
2	感恩节的传统主菜是什么？	经验果	火鸡	2
3	感恩节的原意是为了感谢什么人？	印第安人	火星人	1
4	感恩节最初是哪个国家创造的？	中国	美国	2
5	感恩节是为什么创立的？	感恩	吃大餐	1
6	火鸡会着火吗？	会	不会	2
7	烤火鸡之前，人们习惯往火鸡肚子里塞什么呢？	面包	报纸	1
8	感恩节又被称为什么节？	火鸡节	南瓜节	1
9	在感恩节当天，人们的餐桌上除了火鸡还有些什么食物呢？	三明治	南瓜馅饼	2
10	在感恩节当天，人们会对家人说一句什么话？	谢谢	来玩龙骑士传吧	1
11	每年一度的感恩节美国总统都会参加一个什么仪式？	放火鸡仪式	入教仪式	1
12	节日购物是感恩节的习俗吗？	是	不是	1
13	在感恩节宴会后，人们一般喜欢玩些什么游戏？	龙骑士传	蔓越桔竞赛	2
14	主角多少级学习第一个技能	30级	2级	2
15	在龙骑士传里，男性角色能和男性角色结婚吗？	不能	能	1
16	英雄竞技每天有多少次免费次数？	15次	30次	1
17	没有公会的玩家能参与城主轮值活动吗？	不能	能	1
18	巨龙宝藏的攻略要在哪里看？	活动界面查看攻略按钮	上网搜索	1
19	骑乘坐骑后，我们会怎么样？	变成神	加快移动速度	2
20	参加心魔炼狱活动会获得什么？	感恩节火鸡	装备材料和龙晶	2
21	命魂要怎么获得？	占卜	去商城购买	1
22	在龙骑士传里，要怎样才能查看地图呢？	按alt+F4	游戏右上角的世界按钮	2
23	情缘副本能和不是伴侣的好友组队参加吗？	不能	能	1
24	怎么快速提升自己的战斗力？	点击战斗力评分	大喊十次提升战斗力	1
25	升级星灵需要什么道具？	经验果	星灵之羽	2
26	完成日常任务除了能获得金币和体力外还能获得什么？	日常惊喜礼包	神石奖励礼包	1
27	金条有什么用处？	收藏	卖出赚钱	2
28	如何增加副本可挑战次数？	消耗魔晶或神石购买	消耗金币购买	1
29	如何提升公会等级？	贡献神石和完成每日必做	让会长提升	1
30	相同的英雄可以一起出阵吗？	不能	能	1
