score	level	reward_money	reward_reputation	reward_items
分数	等级	奖励金币	奖励声望	奖励物品
0	30	300000	1000	[(25661, 20)]
0	60	600000	2000	[(25662, 20)]
0	80	900000	4000	[(25663, 20)]
0	100	1500000	6000	[(25664, 20)]
0	120	1800000	12000	[(25665,20)]
0	140	2200000	15000	[(27048,20)]
0	160	2400000	18000	[(27904,20)]
600	30	340000	1200	[(25661, 35)]
600	60	680000	2400	[(25662, 35)]
600	80	1020000	4800	[(25663, 35)]
600	100	1700000	7200	[(25664, 35)]
600	120	2040000	14400	[(25665,35)]
600	140	2480000	18000	[(27048,35)]
600	160	2700000	21600	[(27904,35)]
1200	30	380080	1400	[(25661, 50)]
1200	60	760160	2800	[(25662, 50)]
1200	80	1140240	5600	[(25663, 50)]
1200	100	1900400	8400	[(25664, 50)]
1200	120	2280480	16800	[(25665,50)]
1200	140	2760480	21000	[(27048,50)]
1200	160	3000480	25200	[(27904,50)]
1800	30	420410	1600	[(25661, 65)]
1800	60	840820	3200	[(25662, 65)]
1800	80	1261230	6400	[(25663, 65)]
1800	100	2102050	9600	[(25664, 65)]
1800	120	2522460	19200	[(25665,65)]
1800	140	3042460	24000	[(27048,65)]
1800	160	3302460	27600	[(27904,65)]
2400	30	461240	1800	[(25661, 80), (25666, 20)]
2400	60	922480	3600	[(25662, 80), (25667, 20)]
2400	80	1383720	7200	[(25663, 80), (25668, 20)]
2400	100	2306200	10800	[(25664, 80), (25669, 20)]
2400	120	2767440	21600	[(25665,80),(25670,20)]
2400	140	3327440	27000	[(27048,80),(27049,20)]
2400	160	3607440	32400	[(27904,80),(27905,20)]
3000	30	502820	2000	[(25661, 95), (25666, 28)]
3000	60	1005640	4000	[(25662, 95), (25667, 28)]
3000	80	1508460	8000	[(25663, 95), (25668, 28)]
3000	100	2514100	12000	[(25664, 95), (25669, 28)]
3000	120	3016920	24000	[(25665,95),(25670,28)]
3000	140	3616920	30000	[(27048,95),(27049,28)]
3000	160	3916920	36000	[(27904,95),(27905,28)]
3600	30	545600	2200	[(25661, 110), (25666, 36)]
3600	60	1091200	4400	[(25662, 110), (25667, 36)]
3600	80	1636800	8800	[(25663, 110), (25668, 36)]
3600	100	2728000	13200	[(25664, 110), (25669, 36)]
