level	exp_f_exp	exp_f_items	qna_f_money	qna_f_items	df_f_exp	df_f_money	hw_f_money	hw_f_reputation	hw_f_items	jjc_f_reputation	jjc_f_items	daytask_f_exp	daytask_f_money	daytask_f_items	dl_f_exp	cfb_f_items
角色等级	经验找回每次经验值	经验找回每次物品	答题找回金币	答题找回物品列表	魔兽入侵找回经验	魔兽入侵找回金币	荣耀之战找回金币	荣耀之战找回声望	荣耀之战找回物品	英雄竞技找回声望	英雄竞技找回物品	日常任务经验	日常任务找回金币	日常任务找回物品	勇者试练场经验	情缘副本物品
30	73500	[(25636,30)]	69990		49200	68800	375000	1700	[(25661, 20)]	1000	[(25681,30)]	45000	105000	[(26105,15)]	32400	[(26344,5),(25681,10)]
31	73500	[(25636,30)]	75990		49200	68800	375000	1700	[(25661, 20)]	1000	[(25681,30)]	45000	105000	[(26105,15)]	39600	[(26344,5),(25681,10)]
32	73500	[(25636,30)]	81990		49200	68800	375000	1700	[(25661, 20)]	1000	[(25681,30)]	45000	105000	[(26105,15)]	39600	[(26344,5),(25681,10)]
33	73500	[(25636,30)]	87990		49200	68800	375000	1700	[(25661, 20)]	1000	[(25681,30)]	45000	105000	[(26105,15)]	57600	[(26344,5),(25681,10)]
34	73500	[(25636,30)]	93990		49200	68800	375000	1700	[(25661, 20)]	1000	[(25681,30)]	45000	105000	[(26105,15)]	57600	[(26344,5),(25681,10)]
35	73500	[(25636,30)]	105990		49200	68800	375000	1700	[(25661, 20)]	1000	[(25681,30)]	45000	105000	[(26105,15)]	57600	[(26344,5),(25681,10)]
36	73500	[(25636,30)]	111990		49200	68800	375000	1700	[(25661, 20)]	1000	[(25681,30)]	45000	105000	[(26105,15)]	57600	[(26344,5),(25681,10)]
37	73500	[(25636,30)]	117990		49200	68800	375000	1700	[(25661, 20)]	1000	[(25681,30)]	45000	105000	[(26105,15)]	57600	[(26344,5),(25681,10)]
38	73500	[(25636,30)]	123990		49200	68800	375000	1700	[(25661, 20)]	1000	[(25681,30)]	45000	105000	[(26105,15)]	57600	[(26344,5),(25681,10)]
39	73500	[(25636,30)]	129990		49200	68800	375000	1700	[(25661, 20)]	1000	[(25681,30)]	45000	105000	[(26105,15)]	57600	[(26344,5),(25681,10)]
40	156000	[(25638,45)]	140610		68900	93400	375000	1700	[(25661, 20)]	1000	[(25682,30)]	75000	150000	[(26106,15)]	66000	[(26344,5),(25682,10)]
41	156000	[(25638,45)]	142170		68900	93400	375000	1700	[(25661, 20)]	1000	[(25682,30)]	75000	150000	[(26106,15)]	70800	[(26344,5),(25682,10)]
42	156000	[(25638,45)]	143730		68900	93400	375000	1700	[(25661, 20)]	1000	[(25682,30)]	75000	150000	[(26106,15)]	79200	[(26344,5),(25682,10)]
43	156000	[(25638,45)]	145290		68900	93400	375000	1700	[(25661, 20)]	1000	[(25682,30)]	75000	150000	[(26106,15)]	85200	[(26344,5),(25682,10)]
44	156000	[(25638,45)]	146850		68900	93400	375000	1700	[(25661, 20)]	1000	[(25682,30)]	75000	150000	[(26106,15)]	85200	[(26344,5),(25682,10)]
