htIndex	vipType	time_reward_money	time_reward_items	bindrmb_reward_money	bindrmb_reward_items	rmb_reward_money	rmb_reward_items	money_reward_money	money_reward_items
英灵神殿Index	vip类型	时间找回金币	时间找回物品	魔晶找回金币	魔晶找回物品	神石找回金币	神石找回物品	金币找回金币	金币找回物品
1	1	787500	[(25641,25)]	1102500	[(25641,35)]	1417500	[(25641,45)]	787500	[(25641,25)]
2	1	821250	[(25641,25)]	1149750	[(25641,35)]	1478250	[(25641,45)]	821250	[(25641,25)]
3	1	855000	[(25641,28)]	1197000	[(25641,39)]	1539000	[(25641,51)]	855000	[(25641,28)]
4	1	888750	[(25641,28)]	1244250	[(25641,39)]	1599750	[(25641,51)]	888750	[(25641,28)]
5	1	922500	[(25641,28)]	1291500	[(25641,39)]	1660500	[(25641,51)]	922500	[(25641,28)]
6	1	956250	[(25641,30)]	1338750	[(25641,42)]	1721250	[(25641,54)]	956250	[(25641,30)]
7	1	990000	[(25641,30)]	1386000	[(25641,42)]	1782000	[(25641,54)]	990000	[(25641,30)]
8	1	1023750	[(25641,33)]	1433250	[(25641,46)]	1842750	[(25641,60)]	1023750	[(25641,33)]
9	1	1057500	[(25641,33)]	1480500	[(25641,46)]	1903500	[(25641,60)]	1057500	[(25641,33)]
10	1	1091250	[(25641,33)]	1527750	[(25641,46)]	1964250	[(25641,60)]	1091250	[(25641,33)]
11	1	1158750	[(25641,35)]	1622250	[(25641,49)]	2085750	[(25641,64)]	1158750	[(25641,35)]
12	1	1192500	[(25641,35)]	1669500	[(25641,49)]	2146500	[(25641,64)]	1192500	[(25641,35)]
13	1	1226250	[(25641,38)]	1716750	[(25641,53)]	2207250	[(25641,69)]	1226250	[(25641,38)]
14	1	1260000	[(25641,38)]	1764000	[(25641,53)]	2268000	[(25641,69)]	1260000	[(25641,38)]
15	1	1293750	[(25641,40)]	1811250	[(25641,56)]	2328750	[(25641,73)]	1293750	[(25641,40)]
16	1	1327500	[(25641,40)]	1858500	[(25641,56)]	2389500	[(25641,73)]	1327500	[(25641,40)]
17	1	1361250	[(25641,40)]	1905750	[(25641,56)]	2450250	[(25641,73)]	1361250	[(25641,40)]
18	1	1395000	[(25641,43)]	1953000	[(25641,60)]	2511000	[(25641,78)]	1395000	[(25641,43)]
19	1	1428750	[(25641,43)]	2000250	[(25641,60)]	2571750	[(25641,78)]	1428750	[(25641,43)]
20	1	1462500	[(25641,45)]	2047500	[(25641,63)]	2632500	[(25641,82)]	1462500	[(25641,45)]
21	1	1496250	[(25641,45)]	2094750	[(25641,63)]	2693250	[(25641,82)]	1496250	[(25641,45)]
22	1	1530000	[(25641,45)]	2142000	[(25641,63)]	2754000	[(25641,82)]	1530000	[(25641,45)]
23	1	1563750	[(25641,48)]	2189250	[(25641,67)]	2814750	[(25641,87)]	1563750	[(25641,48)]
24	1	1597500	[(25641,48)]	2236500	[(25641,67)]	2875500	[(25641,87)]	1597500	[(25641,48)]
25	1	1631250	[(25641,50)]	2283750	[(25641,70)]	2936250	[(25641,91)]	1631250	[(25641,50)]
26	1	1665000	[(25641,50)]	2331000	[(25641,70)]	2997000	[(25641,91)]	1665000	[(25641,50)]
27	1	1698750	[(25641,50)]	2378250	[(25641,70)]	3057750	[(25641,91)]	1698750	[(25641,50)]
28	1	1732500	[(25641,53)]	2425500	[(25641,74)]	3118500	[(25641,96)]	1732500	[(25641,53)]
29	1	1766250	[(25641,53)]	2472750	[(25641,74)]	3179250	[(25641,96)]	1766250	[(25641,53)]
30	1	1800000	[(25641,55)]	2520000	[(25641,77)]	3240000	[(25641,100)]	1800000	[(25641,55)]
31	1	1920733	[(25641,55)]	2689026	[(25641,77)]	3457319	[(25641,100)]	1920733	[(25641,55)]
32	1	1955358	[(25641,55)]	2737501	[(25641,77)]	3519644	[(25641,100)]	1955358	[(25641,55)]
33	1	1988373	[(25641,55)]	2783722	[(25641,77)]	3579071	[(25641,100)]	1988373	[(25641,55)]
34	1	2019888	[(25641,55)]	2827843	[(25641,77)]	3635798	[(25641,100)]	2019888	[(25641,55)]
35	1	2050000	[(25641,63)]	2870000	[(25641,88)]	3690000	[(25641,114)]	2050000	[(25641,63)]
36	1	2078805	[(25641,63)]	2910327	[(25641,88)]	3741849	[(25641,114)]	2078805	[(25641,63)]
37	1	2106385	[(25641,63)]	2948939	[(25641,88)]	3791493	[(25641,114)]	2106385	[(25641,63)]
38	1	2132813	[(25641,63)]	2985938	[(25641,88)]	3839063	[(25641,114)]	2132813	[(25641,63)]
39	1	2158165	[(25641,63)]	3021431	[(25641,88)]	3884697	[(25641,114)]	2158165	[(25641,63)]
40	1	2182500	[(25641,70)]	3055500	[(25641,98)]	3928500	[(25641,127)]	2182500	[(25641,70)]
41	1	2272060	[(25641,70)]	3180884	[(25641,98)]	4089708	[(25641,127)]	2272060	[(25641,70)]
42	1	2293270	[(25641,70)]	3210578	[(25641,98)]	4127886	[(25641,127)]	2293270	[(25641,70)]
43	1	2313680	[(25641,70)]	3239152	[(25641,98)]	4164624	[(25641,127)]	2313680	[(25641,70)]
44	1	2333335	[(25641,70)]	3266669	[(25641,98)]	4200003	[(25641,127)]	2333335	[(25641,70)]
45	1	2352275	[(25641,80)]	3293185	[(25641,112)]	4234095	[(25641,145)]	2352275	[(25641,80)]
46	1	2370538	[(25641,80)]	3318753	[(25641,112)]	4266968	[(25641,145)]	2370538	[(25641,80)]
47	1	2388160	[(25641,80)]	3343424	[(25641,112)]	4298688	[(25641,145)]	2388160	[(25641,80)]
48	1	2405173	[(25641,80)]	3367242	[(25641,112)]	4329311	[(25641,145)]	2405173	[(25641,80)]
49	1	2421613	[(25641,80)]	3390258	[(25641,112)]	4358903	[(25641,145)]	2421613	[(25641,80)]
50	1	2437500	[(25641,80)]	3412500	[(25641,112)]	4387500	[(25641,145)]	2437500	[(25641,80)]
51	1	2458335	[(25641,83)]	3441669	[(25641,116)]	4425003	[(25641,151)]	2458335	[(25641,83)]
52	1	2459018	[(25641,83)]	3442625	[(25641,116)]	4426232	[(25641,151)]	2459018	[(25641,83)]
53	1	2459678	[(25641,83)]	3443549	[(25641,116)]	4427420	[(25641,151)]	2459678	[(25641,83)]
54	1	2460318	[(25641,83)]	3444445	[(25641,116)]	4428572	[(25641,151)]	2460318	[(25641,83)]
55	1	2460938	[(25641,83)]	3445313	[(25641,116)]	4429688	[(25641,151)]	2460938	[(25641,83)]
56	1	2461540	[(25641,85)]	3446156	[(25641,119)]	4430772	[(25641,154)]	2461540	[(25641,85)]
57	1	2462123	[(25641,85)]	3446972	[(25641,119)]	4431821	[(25641,154)]	2462123	[(25641,85)]
58	1	2462688	[(25641,85)]	3447763	[(25641,119)]	4432838	[(25641,154)]	2462688	[(25641,85)]
59	1	2463238	[(25641,85)]	3448533	[(25641,119)]	4433828	[(25641,154)]	2463238	[(25641,85)]
