suitId	suitGradeP	isMax	suitName	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce	pt1	pv1	pt2	pv2	pt3	pv3	pt4	pv4
图鉴组id	图鉴组品阶	是否满品质	图鉴组名字	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤	加成万分比类型1	加成万分比值1	加成万分比类型2	加成万分比值2	加成万分比类型3	加成万分比值3	加成万分比类型4	加成万分比值4
1	1	0	魔法甜心	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	30	0	0	0	0	0	0
1	2	1	魔法甜心	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	60	0	0	0	0	0	0
2	1	0	混沌之力	0	0	0	100	0	100	0	0	0	0	0	0	0	0	0	4	30	6	30	0	0	0	0
2	2	0	混沌之力	0	0	0	200	0	200	0	0	0	0	0	0	0	0	0	4	60	6	60	0	0	0	0
2	3	0	混沌之力	0	0	0	300	0	300	0	0	0	0	0	0	0	0	0	4	100	6	100	0	0	0	0
2	4	0	混沌之力	0	0	0	400	0	400	0	0	0	0	0	0	0	0	0	4	150	6	150	0	0	0	0
2	5	1	混沌之力	0	0	0	500	0	500	0	0	0	0	0	0	0	0	0	4	200	6	200	0	0	0	0
3	1	0	巨龙守护	0	0	0	100	0	100	0	0	0	0	0	0	0	0	0	4	30	6	30	0	0	0	0
3	2	0	巨龙守护	0	0	0	200	0	200	0	0	0	0	0	0	0	0	0	4	60	6	60	0	0	0	0
3	3	0	巨龙守护	0	0	0	300	0	300	0	0	0	0	0	0	0	0	0	4	100	6	100	0	0	0	0
3	4	0	巨龙守护	0	0	0	400	0	400	0	0	0	0	0	0	0	0	0	4	150	6	150	0	0	0	0
3	5	1	巨龙守护	0	0	0	500	0	500	0	0	0	0	0	0	0	0	0	4	200	6	200	0	0	0	0
4	1	0	正义之盾	0	0	0	100	0	100	0	0	0	0	0	0	0	0	0	4	30	6	30	0	0	0	0
4	2	0	正义之盾	0	0	0	200	0	200	0	0	0	0	0	0	0	0	0	4	60	6	60	0	0	0	0
4	3	0	正义之盾	0	0	0	300	0	300	0	0	0	0	0	0	0	0	0	4	100	6	100	0	0	0	0
4	4	0	正义之盾	0	0	0	400	0	400	0	0	0	0	0	0	0	0	0	4	150	6	150	0	0	0	0
4	5	1	正义之盾	0	0	0	500	0	500	0	0	0	0	0	0	0	0	0	4	200	6	200	0	0	0	0
