atlasId	atlasGrade	atlasName	atlasDsc	atlasDsc1	atlasImg	actNeedCard	belongSuit	upGradeNeedCard	nextGrade	addCoef	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
图鉴id	图鉴品阶	图鉴名字	图鉴未激活描述	图鉴描述后描述	人物图资源	激活需要卡牌	属于卡牌组	升阶需要卡牌	下一阶（没有下一阶配-1）	加成系数（万分比）	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
1	1	绝美艳后	获得绿色绝美艳后卡牌可激活图鉴，该卡牌可在天天消龙珠中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在天天消龙珠中获得	MFTX_1	1	1	2	2	10000	45	0	0	0	15	0	0	0	0	0	0	0	0	0	0
1	2	绝美艳后	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在天天消龙珠中获得	MFTX_1	0	1	0	-1	15000	90	0	0	0	30	0	0	0	0	0	0	0	0	0	0
2	1	圣光祭司	获得绿色圣光祭司卡牌可激活图鉴，该卡牌可在天天消龙珠中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在天天消龙珠中获得	MFTX_2	6	1	7	2	10000	45	0	0	0	0	0	15	0	0	0	0	0	0	0	0
2	2	圣光祭司	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在天天消龙珠中获得	MFTX_2	0	1	0	-1	15000	90	0	0	0	0	0	30	0	0	0	0	0	0	0	0
3	1	红袍女巫	获得绿色红袍女巫卡牌可激活图鉴，该卡牌可在天天消龙珠中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在天天消龙珠中获得	MFTX_3	11	1	12	2	10000	0	0	0	15	15	15	0	0	0	0	0	0	0	0	0
3	2	红袍女巫	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在天天消龙珠中获得	MFTX_3	0	1	0	-1	15000	0	0	0	30	30	30	0	0	0	0	0	0	0	0	0
4	1	诡术妖姬	获得绿色诡术妖姬卡牌可激活图鉴，该卡牌可在天天消龙珠中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在天天消龙珠中获得	MFTX_4	16	1	17	2	10000	0	0	0	15	0	15	15	0	0	0	0	0	0	0	0
4	2	诡术妖姬	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在天天消龙珠中获得	MFTX_4	0	1	0	-1	15000	0	0	0	30	0	30	30	0	0	0	0	0	0	0	0
5	1	天空射手	获得绿色天空射手卡牌可激活图鉴，该卡牌可在单人副本中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_1	21	2	22	2	10000	45	0	0	0	15	0	0	0	0	0	0	0	0	0	0
5	2	天空射手	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_1	0	2	23	3	15000	90	0	0	0	30	0	0	0	0	0	0	0	0	0	0
5	3	天空射手	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_1	0	2	24	4	20000	135	0	0	0	45	0	0	50	0	0	0	0	0	0	0
5	4	天空射手	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_1	0	2	25	5	25000	180	0	0	0	60	0	0	75	0	0	0	0	0	0	0
5	5	天空射手	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_1	0	2	0	-1	30000	225	0	0	0	75	0	0	75	0	0	0	75	0	0	0
6	1	死神	获得绿色死神卡牌可激活图鉴，该卡牌可在单人副本中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_2	26	2	27	2	10000	45	0	0	0	0	0	15	0	0	0	0	0	0	0	0
6	2	死神	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_2	0	2	28	3	15000	90	0	0	0	0	0	30	0	0	0	0	0	0	0	0
6	3	死神	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_2	0	2	29	4	20000	135	0	0	0	0	0	45	0	50	0	0	0	0	0	0
