SealId	SealType	gradeLevel	starLevel	needLiLianAmount	needSealAmounts	nextSSId	skillState	attack_pt	attack_mt	maxhp_t	crit_t	critpress_t	parry_t	puncture_t	antibroken_t	notbroken_t	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
圣印ID(Id不能为0)	圣印类型	阶级	星级	需要历练值数	需要圣印纹章数量	下一等级圣印ID	技能等级[(skillLevel)]	物攻万分比属性	法攻万分比属性	生命万分比属性	暴击万分比属性	免暴万分比属性	格挡万分比属性	破挡万分比属性	破防万分比属性	免破万分比属性	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
1001	1	1	0	0	3	1002	0	0	0	0	0	0	0	0	0	0	400	0	0	100	100	100	100	100	100	0	0	100	100	0	0
1002	1	1	1	200	0	1003	0	0	0	0	0	0	0	0	0	0	480	0	0	100	100	100	100	100	100	0	0	100	100	0	0
1003	1	1	2	200	0	1004	0	0	0	0	0	0	0	0	0	0	480	0	0	120	100	120	100	100	100	0	0	100	100	0	0
1004	1	1	3	200	0	1005	0	0	0	0	0	0	0	0	0	0	480	0	0	120	120	120	100	100	100	0	0	100	100	0	0
1005	1	1	4	200	0	1006	0	0	0	0	0	0	0	0	0	0	480	0	0	120	120	120	120	100	100	0	0	100	100	0	0
1006	1	1	5	200	0	1007	0	0	0	0	0	0	0	0	0	0	480	0	0	120	120	120	120	120	100	0	0	100	100	0	0
1007	1	1	6	200	0	1008	0	0	0	0	0	0	0	0	0	0	480	0	0	120	120	120	120	120	120	0	0	100	100	0	0
1008	1	1	7	200	0	1009	0	0	0	0	0	0	0	0	0	0	480	0	0	120	120	120	120	120	120	0	0	120	100	0	0
1009	1	2	0	300	0	1010	0	0	0	0	0	0	0	0	0	0	480	0	0	120	120	120	120	120	120	0	0	120	120	0	0
1010	1	2	1	300	0	1011	0	0	0	0	0	0	0	0	0	0	560	0	0	120	120	120	120	120	120	0	0	120	120	0	0
1011	1	2	2	300	0	1012	0	0	0	0	0	0	0	0	0	0	560	0	0	140	120	140	120	120	120	0	0	120	120	0	0
1012	1	2	3	300	0	1013	0	0	0	0	0	0	0	0	0	0	560	0	0	140	140	140	120	120	120	0	0	120	120	0	0
1013	1	2	4	300	0	1014	0	0	0	0	0	0	0	0	0	0	560	0	0	140	140	140	140	120	120	0	0	120	120	0	0
1014	1	2	5	300	0	1015	0	0	0	0	0	0	0	0	0	0	560	0	0	140	140	140	140	140	120	0	0	120	120	0	0
1015	1	2	6	300	0	1016	0	0	0	0	0	0	0	0	0	0	560	0	0	140	140	140	140	140	140	0	0	120	120	0	0
1016	1	2	7	300	0	1017	0	0	0	0	0	0	0	0	0	0	560	0	0	140	140	140	140	140	140	0	0	140	120	0	0
1017	1	3	0	400	0	1018	0	0	0	0	0	0	0	0	0	0	560	0	0	140	140	140	140	140	140	0	0	140	140	0	0
1018	1	3	1	400	0	1019	0	0	0	0	0	0	0	0	0	0	640	0	0	140	140	140	140	140	140	0	0	140	140	0	0
1019	1	3	2	400	0	1020	0	0	0	0	0	0	0	0	0	0	640	0	0	160	140	160	140	140	140	0	0	140	140	0	0
1020	1	3	3	400	0	1021	0	0	0	0	0	0	0	0	0	0	640	0	0	160	160	160	140	140	140	0	0	140	140	0	0
1021	1	3	4	400	0	1022	0	0	0	0	0	0	0	0	0	0	640	0	0	160	160	160	160	140	140	0	0	140	140	0	0
1022	1	3	5	400	0	1023	0	0	0	0	0	0	0	0	0	0	640	0	0	160	160	160	160	160	140	0	0	140	140	0	0
1023	1	3	6	400	0	1024	0	0	0	0	0	0	0	0	0	0	640	0	0	160	160	160	160	160	160	0	0	140	140	0	0
1024	1	3	7	400	0	1025	0	0	0	0	0	0	0	0	0	0	640	0	0	160	160	160	160	160	160	0	0	160	140	0	0
1025	1	4	0	500	0	1026	0	0	0	0	0	0	0	0	0	0	640	0	0	160	160	160	160	160	160	0	0	160	160	0	0
1026	1	4	1	500	0	1027	0	0	0	0	0	0	0	0	0	0	720	0	0	160	160	160	160	160	160	0	0	160	160	0	0
1027	1	4	2	500	0	1028	0	0	0	0	0	0	0	0	0	0	720	0	0	180	160	180	160	160	160	0	0	160	160	0	0
