roleType	career	sex	grade	star	colorCode	color	floorShadow	nextGrade	upgradeNeedLv	upgradeNeedItem	getSkillPoint	ResId	CompareHero	bigIcon	smallIcon	attack_Plus	attack_Coe	maxhp_Plus	maxhp_Coe	speedGrow	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce	CuiLianShiCnt
主角类型	职业	性别	品阶	星阶	颜色编码	颜色	底图背景色	下一等阶	升阶需要等级	升阶需要物品	获得技能点	外观资源	比较英雄	英雄大头像	英雄小头像	攻击成长	攻击系数	生命成长	生命系数	速度成长	基础生命值	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤	使用淬炼石的最大个数
1	1	1	1	1	1	白色	0	2	1	25676, 1	20	10002	2	10002	10002	7000	10	3500	30	极快	1500000	90000	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	3
2	1	1	2	1	2	绿色	icoBg1	3	1	25676, 5	30	10002	3	10002	10002	14000	10	7000	30	极快	1500000	90000	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	6
3	1	1	3	1	3	蓝色	icoBg2	4	1	25676, 25	40	10002	4	10002	10002	22000	10	11000	30	极快	1500000	90000	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	9
4	1	1	4	1	4	紫色	icoBg3	7	40	25676, 30	45	10003	5	10003	10003	30000	10	15000	30	极快	1500000	90000	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	12
5	1	1	7	2	1	白色	0	8	40	25677, 1	50	10002	6	10002	10002	35000	10	17500	30	极快	1500000	90100	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	15
6	1	1	8	2	2	绿色	icoBg1	9	40	25677, 5	55	10002	7	10002	10002	40000	10	20000	30	极快	1500000	90100	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	18
7	1	1	9	2	3	蓝色	icoBg2	10	40	25677, 25	60	10002	8	10002	10002	45000	10	22500	30	极快	1500000	90100	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	21
8	1	1	10	2	4	紫色	icoBg3	13	60	25677, 30	65	10003	9	10003	10003	50000	10	25000	30	极快	1500000	90100	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	24
9	1	1	13	3	1	白色	0	14	60	25678, 1	70	10002	10	10002	10002	55000	10	27500	30	极快	1500000	90200	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	30
10	1	1	14	3	2	绿色	icoBg1	15	60	25678, 5	75	10002	11	10002	10002	60000	10	30000	30	极快	1500000	90200	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	36
11	1	1	15	3	3	蓝色	icoBg2	16	60	25678, 25	80	10002	12	10002	10002	65000	10	32500	30	极快	1500000	90200	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	42
12	1	1	16	3	4	紫色	icoBg3	19	80	25678, 30	85	10003	13	10003	10003	70000	10	35000	30	极快	1500000	90200	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	48
13	1	1	19	4	1	白色	0	20	80	25679, 1	70	10002	14	10002	10002	72000	10	36000	30	极快	1500000	90300	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	54
14	1	1	20	4	2	绿色	icoBg1	21	80	25679, 5	75	10002	15	10002	10002	74000	10	37000	30	极快	1500000	90300	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	60
15	1	1	21	4	3	蓝色	icoBg2	22	80	25679, 25	80	10002	16	10002	10002	77000	10	38500	30	极快	1500000	90300	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	66
16	1	1	22	4	4	紫色	icoBg3	23	80	25679, 50	85	10003	17	10003	10003	80000	10	40000	30	极快	1500000	90300	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	72
17	1	1	23	4	5	橙色	icoBg5	25	100	25679, 30	90	10003	18	10003	10003	110000	10	55000	30	极快	1500000	90300	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	84
18	1	1	25	5	1	白色	0	26	100	25680, 1	70	10002	19	10002	10002	112000	10	56000	30	极快	1500000	90400	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	92
19	1	1	26	5	2	绿色	icoBg1	27	100	25680, 5	75	10002	20	10002	10002	114000	10	57000	30	极快	1500000	90400	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	100
20	1	1	27	5	3	蓝色	icoBg2	28	100	25680, 25	80	10002	21	10002	10002	117000	10	58500	30	极快	1500000	90400	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	108
21	1	1	28	5	4	紫色	icoBg3	29	100	25680, 50	85	10003	22	10003	10003	120000	10	60000	30	极快	1500000	90400	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	116
22	1	1	29	5	5	橙色	icoBg5	31	120	25680, 30	90	10003	89	10003	10003	125000	10	62500	30	极快	1500000	90400	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	132
23	2	1	1	1	1	白色	0	2	1	25676, 1	20	10014	24	10014	10014	7000	10	3500	30	极快	1500000	90000	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	3
24	2	1	2	1	2	绿色	icoBg1	3	1	25676, 5	30	10014	25	10014	10014	14000	10	7000	30	极快	1500000	90000	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	6
25	2	1	3	1	3	蓝色	icoBg2	4	1	25676, 25	40	10014	26	10014	10014	22000	10	11000	30	极快	1500000	90000	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	9
26	2	1	4	1	4	紫色	icoBg3	7	40	25676, 30	45	10015	27	10015	10015	30000	10	15000	30	极快	1500000	90000	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	12
27	2	1	7	2	1	白色	0	8	40	25677, 1	50	10014	28	10014	10014	35000	10	17500	30	极快	1500000	90100	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	15
28	2	1	8	2	2	绿色	icoBg1	9	40	25677, 5	55	10014	29	10014	10014	40000	10	20000	30	极快	1500000	90100	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	18
29	2	1	9	2	3	蓝色	icoBg2	10	40	25677, 25	60	10014	30	10014	10014	45000	10	22500	30	极快	1500000	90100	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	21
30	2	1	10	2	4	紫色	icoBg3	13	60	25677, 30	65	10015	31	10015	10015	50000	10	25000	30	极快	1500000	90100	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	24
31	2	1	13	3	1	白色	0	14	60	25678, 1	70	10014	32	10014	10014	55000	10	27500	30	极快	1500000	90200	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	30
32	2	1	14	3	2	绿色	icoBg1	15	60	25678, 5	75	10014	33	10014	10014	60000	10	30000	30	极快	1500000	90200	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	36
33	2	1	15	3	3	蓝色	icoBg2	16	60	25678, 25	80	10014	34	10014	10014	65000	10	32500	30	极快	1500000	90200	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	42
34	2	1	16	3	4	紫色	icoBg3	19	80	25678, 30	85	10015	35	10015	10015	70000	10	35000	30	极快	1500000	90200	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	48
35	2	1	19	4	1	白色	0	20	80	25679, 1	70	10014	36	10014	10014	72000	10	36000	30	极快	1500000	90300	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	54
36	2	1	20	4	2	绿色	icoBg1	21	80	25679, 5	75	10014	37	10014	10014	74000	10	37000	30	极快	1500000	90300	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	60
37	2	1	21	4	3	蓝色	icoBg2	22	80	25679, 25	80	10014	38	10014	10014	77000	10	38500	30	极快	1500000	90300	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	66
38	2	1	22	4	4	紫色	icoBg3	23	80	25679, 50	85	10015	39	10015	10015	80000	10	40000	30	极快	1500000	90300	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	72
39	2	1	23	4	5	橙色	icoBg5	25	100	25679, 30	90	10015	40	10015	10015	110000	10	55000	30	极快	1500000	90300	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	84
40	2	1	25	5	1	白色	0	26	100	25680, 1	70	10014	41	10014	10014	112000	10	56000	30	极快	1500000	90400	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	92
41	2	1	26	5	2	绿色	icoBg1	27	100	25680, 5	75	10014	42	10014	10014	114000	10	57000	30	极快	1500000	90400	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	100
42	2	1	27	5	3	蓝色	icoBg2	28	100	25680, 25	80	10014	43	10014	10014	117000	10	58500	30	极快	1500000	90400	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	108
43	2	1	28	5	4	紫色	icoBg3	29	100	25680, 50	85	10015	44	10015	10015	120000	10	60000	30	极快	1500000	90400	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	116
44	2	1	29	5	5	橙色	icoBg5	31	120	25680, 30	90	10015	94	10015	10015	125000	10	62500	30	极快	1500000	90400	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	132
45	1	2	1	1	1	白色	0	2	1	25676, 1	20	10008	46	10008	10008	7000	10	3500	30	极快	1500000	90000	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	3
46	1	2	2	1	2	绿色	icoBg1	3	1	25676, 5	30	10008	47	10008	10008	14000	10	7000	30	极快	1500000	90000	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	6
47	1	2	3	1	3	蓝色	icoBg2	4	1	25676, 25	40	10008	48	10008	10008	22000	10	11000	30	极快	1500000	90000	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	9
48	1	2	4	1	4	紫色	icoBg3	7	40	25676, 30	45	10009	49	10009	10009	30000	10	15000	30	极快	1500000	90000	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	12
49	1	2	7	2	1	白色	0	8	40	25677, 1	50	10008	50	10008	10008	35000	10	17500	30	极快	1500000	90100	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	15
50	1	2	8	2	2	绿色	icoBg1	9	40	25677, 5	55	10008	51	10008	10008	40000	10	20000	30	极快	1500000	90100	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	18
51	1	2	9	2	3	蓝色	icoBg2	10	40	25677, 25	60	10008	52	10008	10008	45000	10	22500	30	极快	1500000	90100	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	21
52	1	2	10	2	4	紫色	icoBg3	13	60	25677, 30	65	10009	53	10009	10009	50000	10	25000	30	极快	1500000	90100	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	24
53	1	2	13	3	1	白色	0	14	60	25678, 1	70	10008	54	10008	10008	55000	10	27500	30	极快	1500000	90200	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	30
54	1	2	14	3	2	绿色	icoBg1	15	60	25678, 5	75	10008	55	10008	10008	60000	10	30000	30	极快	1500000	90200	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	36
55	1	2	15	3	3	蓝色	icoBg2	16	60	25678, 25	80	10008	56	10008	10008	65000	10	32500	30	极快	1500000	90200	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	42
56	1	2	16	3	4	紫色	icoBg3	19	80	25678, 30	85	10009	57	10009	10009	70000	10	35000	30	极快	1500000	90200	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	48
57	1	2	19	4	1	白色	0	20	80	25679, 1	70	10008	58	10008	10008	72000	10	36000	30	极快	1500000	90300	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	54
58	1	2	20	4	2	绿色	icoBg1	21	80	25679, 5	75	10008	59	10008	10008	74000	10	37000	30	极快	1500000	90300	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	60
59	1	2	21	4	3	蓝色	icoBg2	22	80	25679, 25	80	10008	60	10008	10008	77000	10	38500	30	极快	1500000	90300	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	66
60	1	2	22	4	4	紫色	icoBg3	23	80	25679, 50	85	10009	61	10009	10009	80000	10	40000	30	极快	1500000	90300	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	72
61	1	2	23	4	5	橙色	icoBg5	25	100	25679, 30	90	10009	62	10009	10009	110000	10	55000	30	极快	1500000	90300	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	84
62	1	2	25	5	1	白色	0	26	100	25680, 1	70	10008	63	10008	10008	112000	10	56000	30	极快	1500000	90400	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	92
63	1	2	26	5	2	绿色	icoBg1	27	100	25680, 5	75	10008	64	10008	10008	114000	10	57000	30	极快	1500000	90400	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	100
64	1	2	27	5	3	蓝色	icoBg2	28	100	25680, 25	80	10008	65	10008	10008	117000	10	58500	30	极快	1500000	90400	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	108
65	1	2	28	5	4	紫色	icoBg3	29	100	25680, 50	85	10009	66	10009	10009	120000	10	60000	30	极快	1500000	90400	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	116
66	1	2	29	5	5	橙色	icoBg5	31	120	25680, 30	90	10009	99	10009	10009	125000	10	62500	30	极快	1500000	90400	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	132
67	2	2	1	1	1	白色	0	2	1	25676, 1	20	10020	68	10020	10020	7000	10	3500	30	极快	1500000	90000	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	3
68	2	2	2	1	2	绿色	icoBg1	3	1	25676, 5	30	10020	69	10020	10020	14000	10	7000	30	极快	1500000	90000	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	6
