level	exp	Desc
等级	新当前等级最大经验(超过就升级)	描述
1	500	
2	1000	
3	1500	
4	2000	
5	3000	#S(16)#C(#FF8614)恭喜你升到5级，接下来，你将面对极其强大的敌人。
6	4000	
7	5000	
8	6000	
9	7000	
10	8000	#S(16)#C(#FF8614)恭喜你升到10级，接下来，你将学会强大的技能，拥有击败黑龙的力量。
11	9000	
12	10000	
13	11000	
14	12000	
15	14000	
16	17000	
17	19000	
18	21000	
19	23000	
20	25000	#S(16)#C(#FF8614)恭喜你升到20级，接下来，你将获得强大的坐骑，不仅移动速度变快，还能提高战斗属性。
21	27000	
22	29000	
23	31000	
24	33000	
25	35000	#S(16)#C(#FF8614)恭喜你升到25级，接下来，你将获得更高阶的装备，战斗力大幅度提升。
26	38000	
27	50000	
28	60000	
29	120000	
30	105000	#S(16)#C(#FF8614)恭喜你升到30级，接下来，你将招募到空中单位，你的队伍会更加强大。
31	110000	#S(16)#C(#FF8614)恭喜你升到31级。
32	120000	#S(16)#C(#FF8614)恭喜你升到32级。
33	145000	#S(16)#C(#FF8614)恭喜你升到33级。
34	175000	#S(16)#C(#FF8614)恭喜你升到34级。
35	215000	#S(16)#C(#FF8614)恭喜你升到35级。
36	235000	#S(16)#C(#FF8614)恭喜你升到36级。
37	255000	#S(16)#C(#FF8614)恭喜你升到37级。
38	275000	#S(16)#C(#FF8614)恭喜你升到38级。
39	305000	#S(16)#C(#FF8614)恭喜你升到39级。
40	330000	#S(16)#C(#FF8614)恭喜你升到40级。
41	352000	#S(16)#C(#FF8614)恭喜你升到41级。
42	368000	#S(16)#C(#FF8614)恭喜你升到42级。
43	388000	#S(16)#C(#FF8614)恭喜你升到43级。
44	425000	#S(16)#C(#FF8614)恭喜你升到44级。
45	465000	#S(16)#C(#FF8614)恭喜你升到45级。
46	481000	#S(16)#C(#FF8614)恭喜你升到46级。
47	502000	#S(16)#C(#FF8614)恭喜你升到47级。
48	523000	#S(16)#C(#FF8614)恭喜你升到48级。
49	544000	#S(16)#C(#FF8614)恭喜你升到49级。
50	555000	#S(16)#C(#FF8614)恭喜你升到50级。
51	566000	#S(16)#C(#FF8614)恭喜你升到51级。
52	577000	#S(16)#C(#FF8614)恭喜你升到52级。
53	588000	#S(16)#C(#FF8614)恭喜你升到53级。
54	599000	#S(16)#C(#FF8614)恭喜你升到54级。
55	610000	#S(16)#C(#FF8614)恭喜你升到55级。
56	621000	#S(16)#C(#FF8614)恭喜你升到56级。
57	632000	#S(16)#C(#FF8614)恭喜你升到57级。
58	643000	#S(16)#C(#FF8614)恭喜你升到58级。
59	654000	#S(16)#C(#FF8614)恭喜你升到59级。
60	850000	#S(16)#C(#FF8614)恭喜你升到60级。
61	975000	#S(16)#C(#FF8614)恭喜你升到61级。
62	1100000	#S(16)#C(#FF8614)恭喜你升到62级。
63	1225000	#S(16)#C(#FF8614)恭喜你升到63级。
64	1350000	#S(16)#C(#FF8614)恭喜你升到64级。
65	1475000	#S(16)#C(#FF8614)恭喜你升到65级。
66	1600000	#S(16)#C(#FF8614)恭喜你升到66级。
67	1725000	#S(16)#C(#FF8614)恭喜你升到67级。
68	1850000	#S(16)#C(#FF8614)恭喜你升到68级。
69	1975000	#S(16)#C(#FF8614)恭喜你升到69级。
70	2100000	#S(16)#C(#FF8614)恭喜你升到70级。
71	2225000	#S(16)#C(#FF8614)恭喜你升到71级。
72	2350000	#S(16)#C(#FF8614)恭喜你升到72级。
73	2475000	#S(16)#C(#FF8614)恭喜你升到73级。
74	2600000	#S(16)#C(#FF8614)恭喜你升到74级。
75	2725000	#S(16)#C(#FF8614)恭喜你升到75级。
76	2850000	#S(16)#C(#FF8614)恭喜你升到76级。
77	2975000	#S(16)#C(#FF8614)恭喜你升到77级。
78	3100000	#S(16)#C(#FF8614)恭喜你升到78级。
79	3225000	#S(16)#C(#FF8614)恭喜你升到79级。
80	4500000	#S(16)#C(#FF8614)恭喜你升到80级。
81	4700000	#S(16)#C(#FF8614)恭喜你升到81级。
82	4900000	#S(16)#C(#FF8614)恭喜你升到82级。
83	5100000	#S(16)#C(#FF8614)恭喜你升到83级。
84	5300000	#S(16)#C(#FF8614)恭喜你升到84级。
85	5500000	#S(16)#C(#FF8614)恭喜你升到85级。
86	5700000	#S(16)#C(#FF8614)恭喜你升到86级。
87	5900000	#S(16)#C(#FF8614)恭喜你升到87级。
88	6100000	#S(16)#C(#FF8614)恭喜你升到88级。
89	6300000	#S(16)#C(#FF8614)恭喜你升到89级。
90	6500000	#S(16)#C(#FF8614)恭喜你升到90级。
91	6700000	#S(16)#C(#FF8614)恭喜你升到91级。
92	6900000	#S(16)#C(#FF8614)恭喜你升到92级。
93	7100000	#S(16)#C(#FF8614)恭喜你升到93级。
94	7300000	#S(16)#C(#FF8614)恭喜你升到94级。
95	7500000	#S(16)#C(#FF8614)恭喜你升到95级。
96	7700000	#S(16)#C(#FF8614)恭喜你升到96级。
97	7900000	#S(16)#C(#FF8614)恭喜你升到97级。
98	8100000	#S(16)#C(#FF8614)恭喜你升到98级。
99	8300000	#S(16)#C(#FF8614)恭喜你升到99级。
100	10000000	#S(16)#C(#FF8614)恭喜你升到100级。
101	10400000	#S(16)#C(#FF8614)恭喜你升到101级。
102	10800000	#S(16)#C(#FF8614)恭喜你升到102级。
103	11200000	#S(16)#C(#FF8614)恭喜你升到103级。
104	11600000	#S(16)#C(#FF8614)恭喜你升到104级。
105	12000000	#S(16)#C(#FF8614)恭喜你升到105级。
106	12400000	#S(16)#C(#FF8614)恭喜你升到106级。
107	12800000	#S(16)#C(#FF8614)恭喜你升到107级。
108	13200000	#S(16)#C(#FF8614)恭喜你升到108级。
109	13600000	#S(16)#C(#FF8614)恭喜你升到109级。
110	14000000	#S(16)#C(#FF8614)恭喜你升到110级。
111	14400000	#S(16)#C(#FF8614)恭喜你升到111级。
112	14800000	#S(16)#C(#FF8614)恭喜你升到112级。
113	15200000	#S(16)#C(#FF8614)恭喜你升到113级。
114	15600000	#S(16)#C(#FF8614)恭喜你升到114级。
115	16000000	#S(16)#C(#FF8614)恭喜你升到115级。
116	16400000	#S(16)#C(#FF8614)恭喜你升到116级。
117	16800000	#S(16)#C(#FF8614)恭喜你升到117级。
118	17200000	#S(16)#C(#FF8614)恭喜你升到118级。
119	17600000	#S(16)#C(#FF8614)恭喜你升到119级。
120	19000000	#S(16)#C(#FF8614)恭喜你升到120级。
121	20350000	#S(16)#C(#FF8614)恭喜你升到121级。
122	21700000	#S(16)#C(#FF8614)恭喜你升到122级。
123	23050000	#S(16)#C(#FF8614)恭喜你升到123级。
124	24400000	#S(16)#C(#FF8614)恭喜你升到124级。
125	25750000	#S(16)#C(#FF8614)恭喜你升到125级。
126	27100000	#S(16)#C(#FF8614)恭喜你升到126级。
127	28450000	#S(16)#C(#FF8614)恭喜你升到127级。
128	29800000	#S(16)#C(#FF8614)恭喜你升到128级。
129	31150000	#S(16)#C(#FF8614)恭喜你升到129级。
130	32500000	#S(16)#C(#FF8614)恭喜你升到130级。
131	33850000	#S(16)#C(#FF8614)恭喜你升到131级。
132	35200000	#S(16)#C(#FF8614)恭喜你升到132级。
133	36550000	#S(16)#C(#FF8614)恭喜你升到133级。
134	37900000	#S(16)#C(#FF8614)恭喜你升到134级。
135	39250000	#S(16)#C(#FF8614)恭喜你升到135级。
136	40600000	#S(16)#C(#FF8614)恭喜你升到136级。
137	41950000	#S(16)#C(#FF8614)恭喜你升到137级。
138	43300000	#S(16)#C(#FF8614)恭喜你升到138级。
139	44650000	#S(16)#C(#FF8614)恭喜你升到139级。
140	45050000	#S(16)#C(#FF8614)恭喜你升到140级。
141	45450000	#S(16)#C(#FF8614)恭喜你升到141级。
142	45850000	#S(16)#C(#FF8614)恭喜你升到142级。
143	46250000	#S(16)#C(#FF8614)恭喜你升到143级。
144	46650000	#S(16)#C(#FF8614)恭喜你升到144级。
