id	title	shuoming
序列	標題	更新說明
1	3/8/2016	#B#C(#472C08)#S(14)İçerik#n#n#n#H#S(14)#C(#472C08)
2		Yeni Özellik- Çiçek Sistemi#H
3		Gereksinim:Rol Seviyesi: >= Seviye 30#H
4		Gönderme Methodu: #H
5		1.Çantanızda çiçeğe çift tıklayın, sonrasında çiçek gönderme arayüzüne geçeceksiniz.#H
6		2. Oyuncu ismine tıklayabilirsiniz ve [Gönderilen Çiçek] i seçin üye listesinden, sıralamadan, arkadaş listesinden sonra çiçek gönderme arayüzünü gelir.#H
7		Çiçek göndermek istediğiniz oyuncu#H
8		1. Kendiniz hariç, gerekli seviyeye ulaşmış, çevrim içi olan ve kendi sunucunuzda bulunan oyunculara çiçek gönderebilirsiniz.#H
9		2. Sunucunuzdaki gerekli seviyeye ulaşmış çevrim içi oyuncular çiçek gönderebilirler.#H#H
10		Çiçek Eşyaları#H
11		Çiçek Eşyaları: 1 Çiçek, 9 Çiçek, Bir Buket Çiçek, Çiçek Sepeti#H
12		1. 1 Çiçek gönderdikten sonra her iki tarafa da bir cazibe eklenir. Eğer evlenirseniz ekstra 20 samimiyet kazanırsınız.#H
13		2. 9 Çiçek gönderdikten sonra her iki tarafa da 10 cazibe eklenir. Eğer evlenirseniz ekstra 180 samimiyet kazanırsınız.#H
14		3. Bir Buket Çiçek gönderdikten sonra her iki tarafa da 120 cazibe eklenir. Eğer evlenirseniz ekstra 2000 samimiyet kazanırsınız.#H
15		4. Çiçek sepeti gönderdikten sonra her iki tarafa da 1320 cazibe eklenir. Eğer evlenirseniz ekstra 20000 samimiyet kazanırsınız.#H
16		9 Çiçek, Bir buket Çiçek, Çiçek Sepeti satın alabilirsiniz.#H#H
17		Çiçek Özel Efekti:#H
18		 1.1 Çiçek gönderdikten sonra sistem bu uyarıyı sizin için yayınlayacak.#H
19		2. 9 Çiçek gönderdikten sonra sistem bu uyarıyı sizin için yayınlayacak ve çiçeği alan oyuncunun ekranında dans eden çiçek efekti çıkacaktır.#H
20		3. Bir Buket Çiçek gönderildikten sonra sistem bu uyarıyı sizin için yayınlayacak ve gönderenin ekranında dans eden çiçek efekti çıkacaktır.#H
21		4. Çiçek Sepeti gönderildikten sonra sistem bu uyarıyı sizin için yayınlayacak ve her iki tarafın ekranında da dans eden çiçek efekti çıkacaktır.#H#H
22		Bu Sunucu Sıralaması#H
23		Sıralama: Çiçek Sıralaması ve Gardiyan Çiçek Sıralaması#H
24		Gardiyan Çiçek Sıralaması: Haftalık erkek oyuncu cazibe sıralaması, sıralama ödülleri gönderildikten sonra cazibe temizlenecek. (Her Pazartesi 00.00 da sayılacak)#H
25		Çiçek Sıralaması: Haftalık bayan oyuncu cazibe sıralaması, sıralama ödülleri gönderildikten sonra cazibe temizlenecek. (Her Pazar 00.00 da sayılacak)#H
26		Gardiyan Çiçek Sıralamasındaki bir kişi 7 gün geçerli olacak “Süper Aşık” ünvanı alabilecek.#H
27		Çiçek Sıralamasında bir kişi 7 gün geçerli olacak “Süper Bebek” ünvanı alabilecek.#H
28		Oyun sıralamasındaki çiçek gönderme butonu arayüzü değişecektir,özelliği aynıdır. #H
29		Oyun sıralaması arayüzündeki “Çiçek” “Adak” olarak değişecektir.#H
30		“Çiçekleri” “Onun Adak Adeti” olarak değişecek.#H
31		“Gönderme Adeti” “Adak Adeti” olarak değişecek.#H
32		“Çiçek Gönderme” butonu “Adak” butonu olarak değişecek.#H#H
