srcType	desType	needLevel	itemType1	cnt1	itemType2	cnt2	itemType3	cnt3	itemType4	cnt4	srcTypename	desTypename
旧装备类型	新装备类型	需要角色等级	需要材料1	数量1	需要材料2	数量2	需要材料3	数量3	需要材料4	数量4	旧装备名字	新装备名字
35606	35630	40	25688	1	25661	120	25666	60	0	0	烈火·光辉剑	涌泉·魔魂剑
35607	35631	40	25689	1	25661	40	0	0	0	0	烈火·光辉头盔	涌泉·魔魂头盔
35608	35632	40	25690	1	25661	40	0	0	0	0	烈火·光辉铠甲	涌泉·魔魂铠甲
35609	35633	40	25691	1	25661	40	0	0	0	0	烈火·光辉战靴	涌泉·魔魂战靴
35610	35634	40	25692	1	25661	60	25666	30	0	0	烈火·光辉戒指	涌泉·魔魂戒指
35611	35635	40	25693	1	25661	60	25666	30	0	0	烈火·光辉手镯	涌泉·魔魂手镯
35612	35630	40	25688	1	25661	120	25666	60	0	0	圣·光辉剑	涌泉·魔魂剑
35613	35631	40	25689	1	25661	40	0	0	0	0	圣·光辉头盔	涌泉·魔魂头盔
35614	35632	40	25690	1	25661	40	0	0	0	0	圣·光辉铠甲	涌泉·魔魂铠甲
35615	35633	40	25691	1	25661	40	0	0	0	0	圣·光辉战靴	涌泉·魔魂战靴
35616	35634	40	25692	1	25661	60	25666	30	0	0	圣·光辉戒指	涌泉·魔魂戒指
35617	35635	40	25693	1	25661	60	25666	30	0	0	圣·光辉手镯	涌泉·魔魂手镯
35618	35666	80	25700	1	25663	960	25668	480	0	0	混沌·炼狱剑	末日·幻影剑
35619	35667	80	25701	1	25663	320	0	0	0	0	混沌·炼狱头盔	末日·幻影头盔
35620	35668	80	25702	1	25663	320	0	0	0	0	混沌·炼狱铠甲	末日·幻影铠甲
35621	35669	80	25703	1	25663	320	0	0	0	0	混沌·炼狱战靴	末日·幻影战靴
35622	35670	80	25704	1	25663	480	25668	240	0	0	混沌·炼狱戒指	末日·幻影戒指
35623	35671	80	25705	1	25663	480	25668	240	0	0	混沌·炼狱手镯	末日·幻影手镯
35624	35672	80	25700	1	25673	960	25663	1920	25668	960	圣·炼狱剑	圣·幻影剑
35625	35673	80	25701	1	25673	320	25663	640	25668	320	圣·炼狱头盔	圣·幻影头盔
