srcType	srcTypename	desType	desTypename	needLevel	itemType1	cnt1	itemType2	cnt2	itemType3	cnt3	itemType4	cnt4
旧装备类型	旧装备名字	新装备类型	新装备名字	需要角色等级	需要材料1	数量1	需要材料2	数量2	需要材料3	数量3	需要材料4	数量4
35700	流星长弓	35706	新月长弓	60	25971	25	25972	1	0	0	0	0
35701	流星战斧	35707	新月战斧	60	25971	25	25973	1	0	0	0	0
35702	流星战锤	35708	新月战锤	60	25971	25	25974	1	0	0	0	0
35703	流星匕首	35709	新月匕首	60	25971	25	25975	1	0	0	0	0
35704	流星圣枪	35710	新月圣枪	60	25971	25	25976	1	0	0	0	0
35705	流星弯刀	35711	新月弯刀	60	25971	25	25977	1	0	0	0	0
35706	新月长弓	35712	残月长弓	60	25971	50	25978	1	0	0	0	0
35707	新月战斧	35713	残月战斧	60	25971	50	25979	1	0	0	0	0
35708	新月战锤	35714	残月战锤	60	25971	50	25980	1	0	0	0	0
35709	新月匕首	35715	残月匕首	60	25971	50	25981	1	0	0	0	0
35710	新月圣枪	35716	残月圣枪	60	25971	50	25982	1	0	0	0	0
35711	新月弯刀	35717	残月弯刀	60	25971	50	25983	1	0	0	0	0
35712	残月长弓	35724	烈阳长弓	60	25971	100	26519	1	0	0	0	0
35713	残月战斧	35725	烈阳战斧	60	25971	100	26520	1	0	0	0	0
35714	残月战锤	35726	烈阳战锤	60	25971	100	26521	1	0	0	0	0
35715	残月匕首	35727	烈阳匕首	60	25971	100	26522	1	0	0	0	0
35716	残月圣枪	35728	烈阳圣枪	60	25971	100	26523	1	0	0	0	0
35717	残月弯刀	35729	烈阳弯刀	60	25971	100	26524	1	0	0	0	0
35724	烈阳长弓	35730	140长弓	60	25971	150	27051	1	0	0	0	0
35725	烈阳战斧	35731	140战斧	60	25971	150	27052	1	0	0	0	0
35726	烈阳战锤	35732	140战锤	60	25971	150	27053	1	0	0	0	0
35727	烈阳匕首	35733	140匕首	60	25971	150	27054	1	0	0	0	0
35728	烈阳圣枪	35734	140圣枪	60	25971	150	27055	1	0	0	0	0
35729	烈阳弯刀	35735	140弯刀	60	25971	150	27056	1	0	0	0	0
35718	血阳长弓	35730	140长弓	60	25971	150	27051	1	0	0	0	0
35719	血阳战斧	35731	140战斧	60	25971	150	27052	1	0	0	0	0
35720	血阳战锤	35732	140战锤	60	25971	150	27053	1	0	0	0	0
35721	血阳匕首	35733	140匕首	60	25971	150	27054	1	0	0	0	0
35722	血阳圣枪	35734	140圣枪	60	25971	150	27055	1	0	0	0	0
35723	血阳弯刀	35735	140弯刀	60	25971	150	27056	1	0	0	0	0
35730	光耀长弓	35736	暗影长弓	60	25971	200	27914	1	0	0	0	0
35731	光耀战斧	35737	暗影战斧	60	25971	200	27915	1	0	0	0	0
35732	光耀战锤	35738	暗影战锤	60	25971	200	27916	1	0	0	0	0
35733	光耀匕首	35739	暗影匕首	60	25971	200	27917	1	0	0	0	0
35734	光耀圣枪	35740	暗影圣枪	60	25971	200	27918	1	0	0	0	0
35735	光耀弯刀	35741	暗影弯刀	60	25971	200	27919	1	0	0	0	0
