SealingLevel	needItem	NextLevel	addExp	needExp	add6	add7	add8	add9	add10
封印等级	封印消耗的道具	是否有下一级	每次封印增加的经验	升级需要的经验	6级符文加成(百分比)	7级符文加成(百分比)	8级符文加成(百分比)	9级符文加成(百分比)	10级符文加成(百分比)
0	25970	1	1	5	0	0	0	0	0
1	25970	1	1	10	20	25	30	35	40
2	25970	1	1	15	25	30	35	40	45
3	25970	1	1	70	30	35	40	45	50
4	25970	1	1	200	35	40	45	50	55
5	25970	1	1	200	40	45	50	55	60
6	25970	1	1	500	45	50	55	60	65
7	25970	1	1	1000	50	55	60	65	70
8	25970	1	1	3000	55	60	65	70	75
9	25970	1	1	5000	60	65	70	75	80
10	25970	1	1	10000	65	70	75	80	85
11	25970	1	1	20000	72	77	82	87	92
12	25970	0	1	0	80	85	90	95	100
