itemCoding	libaoType	what	money	bindrmb	unbindrmb	tili	tarothp	items	tarots	items_60	tarots_60	ratemoney	ratebindrmb	rateunbindrmb	ratetili	ratetarothp	rateitems	ratetarots	rateitems_60	ratetarots_60
物品编码	礼包类型(具体可见Sheet2）	礼包说明	必出金币	必出魔晶	必出神石	必出体力	必出命力	60级之前必出物品	必出命魂	60级以后必出物品	60级以后必出命魂	随机金币	随机魔晶	随机神石	随机体力	随机命力	60级之前随机物品	随机命魂	60级以后随机物品	60级以后随机命魂
25834	6	超值宝石礼盒						[(25739,6),(25740,6)]		[(25739,6),(25740,6)]										
25838	8	10级礼包	50000					[(25839,1)]		[(25839,1)]										
25839	8	20级礼包	100000					[(25840,1),(35601,1),(35602,1),(35603,1)]		[(25840,1),(35601,1),(35602,1),(35603,1)]										
25840	8	30级礼包	150000					[(25841,1),(35600,1),(35604,1),(35605,1)]		[(25841,1),(35600,1),(35604,1),(35605,1)]										
25841	8	40级礼包	200000					[(25842,1),(25639,5),(25661,50)]		[(25842,1),(25639,5),(25661,50)]										
25842	8	50级礼包	300000					[(25843,1),(25640,5),(25666,25)]		[(25843,1),(25640,5),(25666,25)]										
25843	8	60级礼包		20				[(25844,1),(25662,50),(25683,20)]		[(25844,1),(25662,50),(25683,20)]										
25844	8	70级礼包		30				[(25845,1),(25667,50),(25683,30)]		[(25845,1),(25667,50),(25683,30)]										
25845	8	80级礼包		20				[(25846,1),(25663,100),(25684,20)]		[(25846,1),(25663,100),(25684,20)]										
25846	8	90级礼包		30				[(25847,1),(25668,50),(25684,30)]		[(25847,1),(25668,50),(25684,30)]										
25847	8	100级礼包	1000000	50																
25848	2	10魔晶袋		10																
25849	1	10000金币袋	10000																	
25997	6	宝石礼包（生命）						[(25747,4)]		[(25747,4)]										
25998	6	宝石礼包（物攻）						[(25748,4)]		[(25748,4)]										
25999	6	宝石礼包（法攻）						[(25749,4)]		[(25749,4)]										
26000	6	宝石礼包（物防）						[(25750,4)]		[(25750,4)]										
26001	6	宝石礼包（法防）						[(25751,4)]		[(25751,4)]										
26002	6	宝石礼包（暴击）						[(25752,4)]		[(25752,4)]										
26003	6	宝石礼包（免爆）						[(25753,4)]		[(25753,4)]										
26004	6	宝石礼包（破挡）						[(25754,4)]		[(25754,4)]										
26005	6	宝石礼包（格挡）						[(25755,4)]		[(25755,4)]										
26006	8	10神石礼包	200000					[(25682,10)]		[(25682,10)]										
26007	8	10神石礼包（二）	200000					[(25683,20)]		[(25683,20)]										
26008	8	10神石礼包（三）	300000					[(25684,40)]		[(25684,40)]										
26009	8	10神石礼包（四）	450000					[(25685,60)]		[(25685,60)]										
26010	8	20神石礼包	400000					[(25682,20)]		[(25682,20)]										
26011	8	20神石礼包（二）	400000					[(25683,40)]		[(25683,40)]										
26012	8	20神石礼包（三）	600000					[(25684,80)]		[(25684,80)]										
26013	8	20神石礼包（四）	900000					[(25685,120)]		[(25685,120)]										
26014	8	100神石礼包	500000					[(25661,40),(25666,20),(25671,10)]		[(25661,40),(25666,20),(25671,10)]										
26015	8	100神石礼包（二）	500000					[(25662,80),(25667,40),(25672,20)]		[(25662,80),(25667,40),(25672,20)]										
26016	8	100神石礼包（三）	700000					[(25663,120),(25668,60),(25673,30)]		[(25663,120),(25668,60),(25673,30)]										
26017	8	100神石礼包（四）	1050000					[(25664,180),(25669,90),(25674,45)]		[(25664,180),(25669,90),(25674,45)]										
26018	8	英雄礼包	1000000				30	[(25683,100),(26026,4)]		[(25683,100),(26026,4)]										
26019	8	英雄礼包（二）						[(25684,200),(25837,50)]		[(25684,200),(25837,50)]										
26021	8	英雄礼包（四）						[(25684,200),(25837,50)]		[(25684,200),(25837,50)]										
26022	8	传奇英雄礼包						[(25662,200),(25667,100),(25672,50),(26026,8)]		[(25662,200),(25667,100),(25672,50),(26026,8)]										
26023	8	传奇英雄礼包（二）						[(25663,300),(25668,150),(25673,75),(25837,100)]		[(25663,300),(25668,150),(25673,75),(25837,100)]										
26025	8	传奇英雄礼包（四）						[(25664,450),(25669,225),(25674,112),(25837,100)]		[(25664,450),(25669,225),(25674,112),(25837,100)]										
26026	9	四级宝石礼盒（随机）															[(1000, 25747, 1), (1000, 25748, 1), (1000, 25749, 1),(1000, 25750, 1), (1000, 25751, 1)]		[(1000, 25747, 1), (1000, 25748, 1), (1000, 25749, 1),(1000, 25750, 1), (1000, 25751, 1), (1000, 25752, 1),(1000, 25753, 1), (1000, 25754, 1), (1000, 25755, 1)]	
26029	6	圣·光辉饰品礼包						[(35616,1),(35617,1)]		[(35616,1),(35617,1)]										
26030	6	圣·光辉装备礼包						[(35612,1),(35613,1),(35614,1),(35615,1)]		[(35612,1),(35613,1),(35614,1),(35615,1)]										
26032	9	一级宝石礼盒（随机）															[(1000, 25720, 1), (1000, 25721, 1), (1000, 25722, 1),(1000, 25723, 1), (1000, 25724, 1)]		[(1000, 25720, 1), (1000, 25721, 1), (1000, 25722, 1),(1000, 25723, 1), (1000, 25724, 1)]	
26033	9	二级宝石礼盒（随机）															[(1000, 25729, 1), (1000, 25730, 1), (1000, 25731, 1),(1000, 25732, 1), (1000, 25733, 1)]		[(1000, 25729, 1), (1000, 25730, 1), (1000, 25731, 1),(1000, 25732, 1), (1000, 25733, 1)]	
26038	6	坐骑培养石优惠礼盒						[(25600,120)]		[(25600,120)]										
26039	6	宝石优惠礼盒						[(25747,3),(25748,3),(25749,3),(25750,2),(25751,2),(25738,1)]		[(25747,3),(25748,3),(25749,3),(25750,2),(25751,2),(25738,1)]										
