boxCoding	boxName	needLevel	maxOpenCnt	needRMBList	rewardItems	timeOutSeconds
宝箱Coding	宝箱名字	等级限制	最大开启次数	开启神石消耗列表	奖励物品[(idx,coding, cnt,rateValue, isPrecious),]	超时时间秒数
28605	装备洗炼神秘宝箱	100	4	[0,20,40,80]	[(1,26316,5,40,1),(2,27587,20,160,0),(3,27587,5,8000,0),(4,27588,20,155,0),(5,26334,5,5,1),(6,27587,50,40,0),(7,27587,10,800,0),(8,27588,10,800,0)]	86400
28607	宠物培养神秘宝箱	70	4	[0,40,60,80]	[(1,26334,5,5,1),(2,27167,1,800,0),(3,26144,5,8000,0),(4,26144,20,160,0),(5,26316,5,40,1),(6,27167,2,155,0),(7,26144,50,40,0),(8,26144,10,800,0)]	86400
28678	羽翼培养神秘宝箱	65	4	[0,40,60,80]	[(1,27167,1,800,0),(2,25837,5,8000,0),(3,25837,20,160,0),(4,26316,5,40,1),(5,25837,10,800,0),(6,27167,2,155,0),(7,25837,50,40,0),(8,26334,5,5,1)]	86400
28709	坐骑培养神秘宝箱	9	4	[0,20,40,80]	[(1,25600,5,8000,0),(2,26316,5,40,1),(3,25600,25,160,0),(4,27566,2,800,0),(5,25600,12,800,0),(6,26334,5,5,1),(7,27566,5,155,0),(8,25600,60,40,0)]	86400
28711	坐骑进化神秘宝箱	40	4	[0,40,60,80]	[(1,25600,20,800,0),(2,26316,5,40,1),(3,27566,2,800,0),(4,25600,40,155,0),(5,27566,1,8000,0),(6,27566,10,40,0),(7,26334,5,5,1),(8,27566,3,160,0)]	86400
28713	宠物修行神秘宝箱	70	4	[0,40,60,80]	[(1,26334,5,5,1),(2,26144,18,160,0),(3,26447,5,800,0),(4,26446,5,8000,0),(5,26449,5,40,0),(6,26316,5,40,1),(7,26144,12,800,0),(8,26448,5,155,0)]	86400
28715	星灵升星神秘宝箱	60	4	[0,40,60,80]	[(1,26933,3,8000,0),(2,26934,25,40,0),(3,26933,10,800,0),(4,26334,5,5,1),(5,26934,5,800,0),(6,26934,10,155,0),(7,26934,8,160,0),(8,26316,5,40,1)]	86400
28717	神龙进化神秘宝箱	45	4	[0,40,60,80]	[(1,26924,5,800,0),(2,26925,5,800,0),(3,26925,3,8000,0),(4,26334,5,5,1),(5,26925,20,40,0),(6,26925,10,275,0),(7,26316,5,40,1),(8,26924,20,40,0)]	86400
29441	圣器洗练神秘宝箱	80	4	[0,40,60,80]	[(1,26272,5,8000,0),(2,26302,10,800,0),(3,26272,10,800,0),(4,26316,5,40,1),(5,26272,20,160,0),(6,26272,40,40,0),(7,26334,5,5,1),(8,26302,20,90,0)]	86400
