posType	level	needMoney	pt1	pv1	pt2	pv2
装备部位	等级	需要金币	属性类型1	属性值1	属性类型2	属性值1
1	1	1440	4	8	6	8
1	2	1548	4	16	6	16
1	3	1664	4	24	6	24
1	4	1786	4	32	6	32
1	5	1916	4	40	6	40
1	6	2052	4	48	6	48
1	7	2196	4	56	6	56
1	8	2348	4	64	6	64
1	9	2506	4	72	6	72
1	10	2672	4	80	6	80
1	11	2844	4	88	6	88
1	12	3024	4	96	6	96
1	13	3212	4	104	6	104
1	14	3406	4	112	6	112
1	15	3608	4	120	6	120
1	16	3816	4	128	6	128
1	17	4032	4	136	6	136
1	18	4256	4	144	6	144
1	19	4486	4	152	6	152
1	20	5112	4	160	6	160
1	21	5256	4	168	6	168
1	22	5408	4	176	6	176
1	23	5566	4	184	6	184
1	24	5732	4	192	6	192
1	25	5904	4	200	6	200
1	26	6084	4	208	6	208
1	27	6272	4	216	6	216
1	28	6466	4	224	6	224
1	29	6668	4	232	6	232
1	30	7092	4	240	6	240
1	31	7416	4	248	6	248
1	32	7758	4	256	6	256
1	33	8118	4	264	6	264
1	34	8496	4	272	6	272
1	35	8892	4	280	6	280
1	36	9306	4	288	6	288
1	37	10224	4	296	6	296
1	38	10764	4	304	6	304
1	39	11340	4	312	6	312
1	40	11988	4	320	6	320
1	41	21000	4	328	6	328
1	42	22140	4	336	6	336
1	43	23640	4	344	6	344
1	44	25230	4	352	6	352
1	45	26910	4	360	6	360
1	46	28680	4	368	6	368
1	47	31080	4	376	6	376
1	48	33600	4	384	6	384
1	49	41040	4	392	6	392
1	50	51900	4	400	6	400
1	51	57900	4	408	6	408
1	52	64200	4	416	6	416
1	53	70800	4	424	6	424
1	54	77700	4	432	6	432
1	55	84900	4	440	6	440
1	56	92400	4	448	6	448
1	57	100200	4	456	6	456
1	58	108300	4	464	6	464
1	59	116700	4	472	6	472
1	60	150000	4	480	6	480
1	61	182400	4	488	6	488
1	62	217440	4	496	6	496
1	63	253980	4	504	6	504
1	64	292080	4	512	6	512
1	65	331800	4	520	6	520
1	66	373200	4	528	6	528
1	67	416340	4	536	6	536
1	68	461280	4	544	6	544
1	69	508080	4	552	6	552
1	70	556800	4	560	6	560
1	71	607500	4	568	6	568
1	72	660240	4	576	6	576
1	73	715080	4	584	6	584
1	74	772080	4	592	6	592
1	75	831300	4	600	6	600
1	76	892800	4	608	6	608
1	77	956640	4	616	6	616
1	78	1022880	4	624	6	624
1	79	1091580	4	632	6	632
1	80	1162800	4	640	6	640
1	81	1282800	4	648	6	648
1	82	1405440	4	656	6	656
1	83	1534080	4	664	6	664
1	84	1669920	4	672	6	672
1	85	1814160	4	680	6	680
1	86	1968000	4	688	6	688
1	87	2132640	4	696	6	696
1	88	2309280	4	704	6	704
1	89	2499120	4	712	6	712
1	90	2703360	4	720	6	720
1	91	2923200	4	728	6	728
1	92	3159840	4	736	6	736
1	93	3414480	4	744	6	744
1	94	3688320	4	752	6	752
1	95	3982560	4	760	6	760
1	96	4298400	4	768	6	768
1	97	4637040	4	776	6	776
1	98	4999680	4	784	6	784
1	99	5387520	4	792	6	792
1	100	5393520	4	800	6	800
1	101	5399520	4	808	6	808
1	102	5405520	4	816	6	816
1	103	5411520	4	824	6	824
1	104	5417520	4	832	6	832
1	105	5423520	4	840	6	840
1	106	5429520	4	848	6	848
1	107	5435520	4	856	6	856
1	108	5441520	4	864	6	864
1	109	5447520	4	872	6	872
1	110	5453520	4	880	6	880
1	111	5459520	4	888	6	888
1	112	5465520	4	896	6	896
1	113	5471520	4	904	6	904
1	114	5477520	4	912	6	912
1	115	5483520	4	920	6	920
1	116	5489520	4	928	6	928
1	117	5495520	4	936	6	936
1	118	5501520	4	944	6	944
1	119	5507520	4	952	6	952
1	120	5765520	4	960	6	960
1	121	6023520	4	968	6	968
1	122	6281520	4	976	6	976
1	123	6539520	4	984	6	984
1	124	6797520	4	992	6	992
1	125	7055520	4	1000	6	1000
1	126	7313520	4	1008	6	1008
1	127	7571520	4	1016	6	1016
1	128	7829520	4	1024	6	1024
1	129	8087520	4	1032	6	1032
1	130	8345520	4	1040	6	1040
1	131	8603520	4	1048	6	1048
1	132	8861520	4	1056	6	1056
1	133	9119520	4	1064	6	1064
1	134	9377520	4	1072	6	1072
1	135	9635520	4	1080	6	1080
1	136	9893520	4	1088	6	1088
1	137	10151520	4	1096	6	1096
1	138	10409520	4	1104	6	1104
1	139	10667520	4	1112	6	1112
1	140	10925520	4	1120	6	1120
1	141	11183520	4	1128	6	1128
1	142	11441520	4	1136	6	1136
1	143	11699520	4	1144	6	1144
1	144	11957520	4	1152	6	1152
1	145	12215520	4	1160	6	1160
1	146	12473520	4	1168	6	1168
1	147	12731520	4	1176	6	1176
1	148	12989520	4	1184	6	1184
1	149	13247520	4	1192	6	1192
1	150	13505520	4	1200	6	1200
1	151	13763520	4	1208	6	1208
1	152	14021520	4	1216	6	1216
1	153	14279520	4	1224	6	1224
1	154	14537520	4	1232	6	1232
1	155	14795520	4	1240	6	1240
1	156	15053520	4	1248	6	1248
1	157	15311520	4	1256	6	1256
1	158	15569520	4	1264	6	1264
1	159	15827520	4	1272	6	1272
1	160	16085520	4	1280	6	1280
1	161	16343520	4	1288	6	1288
1	162	16601520	4	1296	6	1296
1	163	16859520	4	1304	6	1304
1	164	17117520	4	1312	6	1312
1	165	17375520	4	1320	6	1320
1	166	17633520	4	1328	6	1328
1	167	17891520	4	1336	6	1336
1	168	18149520	4	1344	6	1344
1	169	18407520	4	1352	6	1352
1	170	18665520	4	1360	6	1360
1	171	18923520	4	1368	6	1368
1	172	19181520	4	1376	6	1376
1	173	19439520	4	1384	6	1384
1	174	19697520	4	1392	6	1392
1	175	19955520	4	1400	6	1400
1	176	20213520	4	1408	6	1408
1	177	20471520	4	1416	6	1416
1	178	20729520	4	1424	6	1424
1	179	20987520	4	1432	6	1432
2	1	960	1	3	5	10
2	2	1032	1	6	5	20
2	3	1109	1	9	5	30
2	4	1191	1	12	5	40
2	5	1277	1	15	5	50
2	6	1368	1	18	5	60
2	7	1464	1	21	5	70
2	8	1565	1	24	5	80
2	9	1671	1	27	5	90
2	10	1781	1	30	5	100
2	11	1896	1	33	5	110
2	12	2016	1	36	5	120
2	13	2141	1	39	5	130
2	14	2271	1	42	5	140
2	15	2405	1	45	5	150
2	16	2544	1	48	5	160
2	17	2688	1	51	5	170
2	18	2837	1	54	5	180
2	19	2991	1	57	5	190
2	20	3408	1	60	5	200
2	21	3504	1	63	5	210
2	22	3605	1	66	5	220
2	23	3711	1	69	5	230
2	24	3821	1	72	5	240
2	25	3936	1	75	5	250
2	26	4056	1	78	5	260
2	27	4181	1	81	5	270
2	28	4311	1	84	5	280
2	29	4445	1	87	5	290
2	30	4728	1	90	5	300
2	31	4944	1	93	5	310
2	32	5172	1	96	5	320
2	33	5412	1	99	5	330
2	34	5664	1	102	5	340
2	35	5928	1	105	5	350
2	36	6204	1	108	5	360
2	37	6816	1	111	5	370
2	38	7176	1	114	5	380
2	39	7560	1	117	5	390
2	40	7992	1	120	5	400
2	41	14000	1	123	5	410
2	42	14760	1	126	5	420
2	43	15760	1	129	5	430
2	44	16820	1	132	5	440
2	45	17940	1	135	5	450
2	46	19120	1	138	5	460
2	47	20720	1	141	5	470
2	48	22400	1	144	5	480
2	49	27360	1	147	5	490
2	50	34600	1	150	5	500
2	51	38600	1	153	5	510
2	52	42800	1	156	5	520
2	53	47200	1	159	5	530
2	54	51800	1	162	5	540
2	55	56600	1	165	5	550
2	56	61600	1	168	5	560
2	57	66800	1	171	5	570
2	58	72200	1	174	5	580
2	59	77800	1	177	5	590
2	60	100000	1	180	5	600
2	61	121600	1	183	5	610
2	62	144960	1	186	5	620
2	63	169320	1	189	5	630
2	64	194720	1	192	5	640
2	65	221200	1	195	5	650
2	66	248800	1	198	5	660
2	67	277560	1	201	5	670
2	68	307520	1	204	5	680
2	69	338720	1	207	5	690
2	70	371200	1	210	5	700
2	71	405000	1	213	5	710
2	72	440160	1	216	5	720
2	73	476720	1	219	5	730
2	74	514720	1	222	5	740
2	75	554200	1	225	5	750
2	76	595200	1	228	5	760
2	77	637760	1	231	5	770
2	78	681920	1	234	5	780
2	79	727720	1	237	5	790
2	80	775200	1	240	5	800
2	81	855200	1	243	5	810
2	82	936960	1	246	5	820
2	83	1022720	1	249	5	830
2	84	1113280	1	252	5	840
2	85	1209440	1	255	5	850
2	86	1312000	1	258	5	860
2	87	1421760	1	261	5	870
2	88	1539520	1	264	5	880
2	89	1666080	1	267	5	890
2	90	1802240	1	270	5	900
2	91	1948800	1	273	5	910
2	92	2106560	1	276	5	920
2	93	2276320	1	279	5	930
2	94	2458880	1	282	5	940
2	95	2655040	1	285	5	950
2	96	2865600	1	288	5	960
2	97	3091360	1	291	5	970
2	98	3333120	1	294	5	980
2	99	3591680	1	297	5	990
2	100	3595680	1	300	5	1000
2	101	3599680	1	303	5	1010
2	102	3603680	1	306	5	1020
2	103	3607680	1	309	5	1030
2	104	3611680	1	312	5	1040
2	105	3615680	1	315	5	1050
2	106	3619680	1	318	5	1060
2	107	3623680	1	321	5	1070
2	108	3627680	1	324	5	1080
2	109	3631680	1	327	5	1090
2	110	3635680	1	330	5	1100
2	111	3639680	1	333	5	1110
2	112	3643680	1	336	5	1120
2	113	3647680	1	339	5	1130
2	114	3651680	1	342	5	1140
2	115	3655680	1	345	5	1150
2	116	3659680	1	348	5	1160
2	117	3663680	1	351	5	1170
2	118	3667680	1	354	5	1180
2	119	3671680	1	357	5	1190
2	120	3843680	1	360	5	1200
2	121	4015680	1	363	5	1210
2	122	4187680	1	366	5	1220
2	123	4359680	1	369	5	1230
2	124	4531680	1	372	5	1240
2	125	4703680	1	375	5	1250
2	126	4875680	1	378	5	1260
2	127	5047680	1	381	5	1270
2	128	5219680	1	384	5	1280
2	129	5391680	1	387	5	1290
2	130	5563680	1	390	5	1300
2	131	5735680	1	393	5	1310
2	132	5907680	1	396	5	1320
2	133	6079680	1	399	5	1330
2	134	6251680	1	402	5	1340
2	135	6423680	1	405	5	1350
2	136	6595680	1	408	5	1360
2	137	6767680	1	411	5	1370
2	138	6939680	1	414	5	1380
2	139	7111680	1	417	5	1390
2	140	7283680	1	420	5	1400
2	141	7455680	1	423	5	1410
2	142	7627680	1	426	5	1420
2	143	7799680	1	429	5	1430
2	144	7971680	1	432	5	1440
2	145	8143680	1	435	5	1450
2	146	8315680	1	438	5	1460
2	147	8487680	1	441	5	1470
2	148	8659680	1	444	5	1480
2	149	8831680	1	447	5	1490
2	150	9003680	1	450	5	1500
2	151	9175680	1	453	5	1510
2	152	9347680	1	456	5	1520
2	153	9519680	1	459	5	1530
2	154	9691680	1	462	5	1540
2	155	9863680	1	465	5	1550
2	156	10035680	1	468	5	1560
2	157	10207680	1	471	5	1570
2	158	10379680	1	474	5	1580
2	159	10551680	1	477	5	1590
2	160	10723680	1	480	5	1600
2	161	10895680	1	483	5	1610
2	162	11067680	1	486	5	1620
2	163	11239680	1	489	5	1630
2	164	11411680	1	492	5	1640
2	165	11583680	1	495	5	1650
2	166	11755680	1	498	5	1660
2	167	11927680	1	501	5	1670
2	168	12099680	1	504	5	1680
2	169	12271680	1	507	5	1690
2	170	12443680	1	510	5	1700
2	171	12615680	1	513	5	1710
2	172	12787680	1	516	5	1720
2	173	12959680	1	519	5	1730
2	174	13131680	1	522	5	1740
2	175	13303680	1	525	5	1750
2	176	13475680	1	528	5	1760
2	177	13647680	1	531	5	1770
2	178	13819680	1	534	5	1780
