ptList	washStar	listStar
洗练度范围，闭区间	可以洗练到的星级值	显示星级
[0,149]	[1,2,3]	3
[150,449]	[1,2,3,4,5,6]	6
[450,1229]	[1,2,3,4,5,6,7,8]	8
[1230,2479]	[1,2,3,4,5,6,7,8,9,10]	10
[2480,4039]	[1,2,3,4,5,6,7,8,9,10,11,12]	12
[4040,7169]	[1,2,3,4,5,6,7,8,9,10,11,12,13,14]	14
[7170,14979]	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]	16
[14980,27479]	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17]	17
[27480,46229]	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]	18
[46230,77479]	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]	19
[77480,999999999]	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20]	20
