coding	name	needlevel	hole	maxShenzaoLevel	grade	canSell	salePrice	nameColor	iconBackgroundColor	inipropcnt	posType	shenzaoProperty	sortLevel	proprate	ptmax	ptbase	needLog	kinds	propsType	icon	jiaMi
物品编码	物品名字	装配需要等级	镶嵌孔数	神造最大等级	圣器品阶	是否可出售	基本价格 	道具名称颜色	图标背景颜色（1、绿色2、蓝色、3、紫色、4、黄色、5、橙色）	对应属性条个数	圣器部位	神造的属性类型	排序优先级，越大越靠前	随机属性概率1,4,6,8,9,10,11,12,13,'buf_1','buf_2','buf_3'	属性最大值字典	取值对象	是否记录日志(0：不记录   1：记录)	物品类型：（圣器==10）	道具类型(13=圣器）	道具图标	是否需要加密
35800	寒霜光盾·亵渎	80	2	5	2	1	(26272,1)	蓝色	2	2	1	[4,6,9]	600	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11)]	{4:2917,6:2917,5:2917,7:2917,1:2917,8:2917,9:2917,12:2917,13:2917,10:2917,11:2917}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360}	1	10	13	10shengqixiedu	0
35801	寒霜光盾·毁灭	80	2	5	2	1	(26272,1)	蓝色	2	2	2	[1,8]	601	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11)]	{4:2917,6:2917,5:2917,7:2917,1:2917,8:2917,9:2917,12:2917,13:2917,10:2917,11:2917}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360}	1	10	13	10shengqihuimie	0
35802	寒霜光盾·救赎	80	2	5	2	1	(26272,1)	蓝色	2	2	3	[4,6,13]	602	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11)]	{4:2917,6:2917,5:2917,7:2917,1:2917,8:2917,9:2917,12:2917,13:2917,10:2917,11:2917}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360}	1	10	13	10shengqijiushu	0
35803	寒霜光盾·涅槃	80	2	5	2	1	(26272,1)	蓝色	2	2	4	[1,12]	603	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11)]	{4:2917,6:2917,5:2917,7:2917,1:2917,8:2917,9:2917,12:2917,13:2917,10:2917,11:2917}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360}	1	10	13	10shengqiniepan	0
35804	寒霜光盾·重生	80	2	5	2	1	(26272,1)	蓝色	2	2	5	[4,6,11]	604	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11)]	{4:2917,6:2917,5:2917,7:2917,1:2917,8:2917,9:2917,12:2917,13:2917,10:2917,11:2917}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360}	1	10	13	10shengqichongsheng	0
35805	寒霜光盾·神化	80	2	5	2	1	(26272,1)	蓝色	2	2	6	[1,10]	605	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11)]	{4:2917,6:2917,5:2917,7:2917,1:2917,8:2917,9:2917,12:2917,13:2917,10:2917,11:2917}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360}	1	10	13	10shengqishenhua	0
35806	天雷战斧·亵渎	80	4	10	3	1	(26272,4)	紫色	3	4	1	[4,6,9]	606	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11)]	{4:5556,6:5556,5:5556,7:5556,1:5556,8:5556,9:5556,12:5556,13:5556,10:5556,11:5556}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360}	1	10	13	20shengqixiedu	1
35807	天雷战斧·毁灭	80	4	10	3	1	(26272,4)	紫色	3	4	2	[1,8]	607	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11)]	{4:5556,6:5556,5:5556,7:5556,1:5556,8:5556,9:5556,12:5556,13:5556,10:5556,11:5556}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360}	1	10	13	20shengqihuimie	1
35808	天雷战斧·救赎	80	4	10	3	1	(26272,4)	紫色	3	4	3	[4,6,13]	608	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11)]	{4:5556,6:5556,5:5556,7:5556,1:5556,8:5556,9:5556,12:5556,13:5556,10:5556,11:5556}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360}	1	10	13	20shengqijiushu	1
35809	天雷战斧·涅槃	80	4	10	3	1	(26272,4)	紫色	3	4	4	[1,12]	609	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11)]	{4:5556,6:5556,5:5556,7:5556,1:5556,8:5556,9:5556,12:5556,13:5556,10:5556,11:5556}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360}	1	10	13	20shengqiniepan	1
35810	天雷战斧·重生	80	4	10	3	1	(26272,4)	紫色	3	4	5	[4,6,11]	610	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11)]	{4:5556,6:5556,5:5556,7:5556,1:5556,8:5556,9:5556,12:5556,13:5556,10:5556,11:5556}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360}	1	10	13	20shengqichongsheng	1
35811	天雷战斧·神化	80	4	10	3	1	(26272,4)	紫色	3	4	6	[1,10]	611	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11)]	{4:5556,6:5556,5:5556,7:5556,1:5556,8:5556,9:5556,12:5556,13:5556,10:5556,11:5556}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360}	1	10	13	20shengqishenhua	1
35812	龙裔法典·亵渎	80	6	15	4	1	(26272,10)	黄色	4	6	1	[4,6,9]	612	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11),(100,"buf_1"),(100,"buf_4"),(100,"buf_6")]	{4:10000,6:10000,5:10000,7:10000,1:10000,8:10000,9:10000,12:10000,13:10000,10:10000,11:10000,"buf_1":10000,"buf_4":10000,"buf_6":10000}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360,"buf_1":170,"buf_4":170,"buf_6":170}	1	10	13	30shengqixiedu	1
