cuiLianIndex	pt1	pv1	pt2	pv2
装备部位,神器淬炼等级	属性类型1	属性值1	属性类型2	属性值2
(1,0)	4	0	6	0
(1,1)	4	1000	6	1000
(1,2)	4	2000	6	2000
(1,3)	4	3000	6	3000
(1,4)	4	4000	6	4000
(1,5)	4	5000	6	5000
(1,6)	4	6000	6	6000
(1,7)	4	7000	6	7000
(1,8)	4	8000	6	8000
(1,9)	4	9000	6	9000
(1,10)	4	10000	6	10000
(2,0)	9	0	0	0
(2,1)	9	1000	0	0
(2,2)	9	2000	0	0
(2,3)	9	3000	0	0
(2,4)	9	4000	0	0
(2,5)	9	5000	0	0
(2,6)	9	6000	0	0
(2,7)	9	7000	0	0
(2,8)	9	8000	0	0
(2,9)	9	9000	0	0
(2,10)	9	10000	0	0
(3,0)	1	0	0	0
(3,1)	1	3000	0	0
(3,2)	1	6000	0	0
(3,3)	1	9000	0	0
(3,4)	1	12000	0	0
(3,5)	1	15000	0	0
(3,6)	1	18000	0	0
(3,7)	1	21000	0	0
(3,8)	1	24000	0	0
(3,9)	1	27000	0	0
(3,10)	1	30000	0	0
(4,0)	12	0	0	0
(4,1)	12	1000	0	0
(4,2)	12	2000	0	0
(4,3)	12	3000	0	0
(4,4)	12	4000	0	0
(4,5)	12	5000	0	0
(4,6)	12	6000	0	0
(4,7)	12	7000	0	0
(4,8)	12	8000	0	0
(4,9)	12	9000	0	0
(4,10)	12	10000	0	0
(5,0)	8	0	0	0
(5,1)	8	1000	0	0
(5,2)	8	2000	0	0
(5,3)	8	3000	0	0
(5,4)	8	4000	0	0
(5,5)	8	5000	0	0
(5,6)	8	6000	0	0
(5,7)	8	7000	0	0
(5,8)	8	8000	0	0
(5,9)	8	9000	0	0
(5,10)	8	10000	0	0
(6,0)	13	0	0	0
(6,1)	13	1000	0	0
(6,2)	13	2000	0	0
(6,3)	13	3000	0	0
(6,4)	13	4000	0	0
(6,5)	13	5000	0	0
(6,6)	13	6000	0	0
(6,7)	13	7000	0	0
(6,8)	13	8000	0	0
(6,9)	13	9000	0	0
(6,10)	13	10000	0	0
