srcType	desType	needLevel	itemType1	cnt1	itemType2	cnt2	itemType3	cnt3	itemType4	cnt4	srcTypename	desTypename
旧装备类型	新装备类型	需要角色等级	需要材料1	数量1	需要材料2	数量2	需要材料3	数量3	需要材料4	数量4	旧装备名字	新装备名字
36030	36042	179	28763	1	28752	2880	28747	1440	0	0	银魂·耀光剑	一转·魔殒剑
36031	36043	179	28764	1	28752	960	0	0	0	0	银魂·耀光头盔	一转·魔殒头盔
36032	36044	179	28765	1	28752	960	0	0	0	0	银魂·耀光铠甲	一转·魔殒铠甲
36033	36045	179	28766	1	28752	960	0	0	0	0	银魂·耀光战靴	一转·魔殒战靴
36034	36046	179	28767	1	28752	1440	28747	720	0	0	银魂·耀光戒指	一转·魔殒戒指
36035	36047	179	28768	1	28752	1440	28747	720	0	0	银魂·耀光手镯	一转·魔殒手镯
36036	36042	179	28763	1	28752	2880	28747	1440	0	0	圣·耀光剑	一转·魔殒剑
36037	36043	179	28764	1	28752	960	0	0	0	0	圣·耀光头盔	一转·魔殒头盔
36038	36044	179	28765	1	28752	960	0	0	0	0	圣·耀光铠甲	一转·魔殒铠甲
36039	36045	179	28766	1	28752	960	0	0	0	0	圣·耀光战靴	一转·魔殒战靴
36040	36046	179	28767	1	28752	1440	28747	720	0	0	圣·耀光戒指	一转·魔殒戒指
36041	36047	179	28768	1	28752	1440	28747	720	0	0	圣·耀光手镯	一转·魔殒手镯
36012	36054	179	28769	1	28752	8640	28747	4320	28757	2880	幻·灭神剑	幻·诛魔剑
36013	36055	179	28770	1	28752	2880	28747	960	28757	960	幻·灭神头盔	幻·诛魔头盔
36014	36056	179	28771	1	28752	2880	28747	960	28757	960	幻·灭神铠甲	幻·诛魔铠甲
36015	36057	179	28772	1	28752	2880	28747	960	28757	960	幻·灭神战靴	幻·诛魔战靴
36016	36058	179	28773	1	28752	4320	28747	2160	28757	1440	幻·灭神戒指	幻·诛魔戒指
36017	36059	179	28774	1	28752	4320	28747	2160	28757	1440	幻·灭神手镯	幻·诛魔手镯
36042	36060	179	29377	1	28753	2880	28748	1440	0	0	一转·魔殒剑	二转·圣魂剑
36043	36061	179	29378	1	28753	960	0	0	0	0	一转·魔殒头盔	二转·圣魂头盔
36044	36062	179	29379	1	28753	960	0	0	0	0	一转·魔殒铠甲	二转·圣魂铠甲
36045	36063	179	29380	1	28753	960	0	0	0	0	一转·魔殒战靴	二转·圣魂战靴
36046	36064	179	29381	1	28753	1440	28748	720	0	0	一转·魔殒戒指	二转·圣魂戒指
36047	36065	179	29382	1	28753	1440	28748	720	0	0	一转·魔殒手镯	二转·圣魂手镯
36048	36060	179	29377	1	28753	2880	28748	1440	0	0	神·魔殒剑	二转·圣魂剑
36049	36061	179	29378	1	28753	960	0	0	0	0	神·魔殒头盔	二转·圣魂头盔
36050	36062	179	29379	1	28753	960	0	0	0	0	神·魔殒铠甲	二转·圣魂铠甲
36051	36063	179	29380	1	28753	960	0	0	0	0	神·魔殒战靴	二转·圣魂战靴
36052	36064	179	29381	1	28753	1440	28748	720	0	0	神·魔殒戒指	二转·圣魂戒指
36053	36065	179	29382	1	28753	1440	28748	720	0	0	神·魔殒手镯	二转·圣魂手镯
36054	36072	179	29383	1	28753	8640	28748	4320	28758	2880	幻·诛魔剑	幻·弑天剑
36055	36073	179	29384	1	28753	2880	28748	960	28758	960	幻·诛魔头盔	幻·弑天头盔
36056	36074	179	29385	1	28753	2880	28748	960	28758	960	幻·诛魔铠甲	幻·弑天铠甲
36057	36075	179	29386	1	28753	2880	28748	960	28758	960	幻·诛魔战靴	幻·弑天战靴
36058	36076	179	29387	1	28753	4320	28748	2160	28758	1440	幻·诛魔戒指	幻·弑天戒指
36059	36077	179	29388	1	28753	4320	28748	2160	28758	1440	幻·诛魔手镯	幻·弑天手镯
