coding	name	icon	bigIcon	needlevel	grade	posType	suitId	sortLevel	maxSrength	canSell	salePrice	Strength	UpGrade	pt1	pv1	pt2	pv2	needLog	kinds	propsType	use	nameColor	showGoods	holeNum	Mosaic	jiaMi	maxCuiLian
物品编码	物品名字	道具图标	道具大图	佩戴需要等级	装备品阶	装备部位	拥有的套装属性ID	排序优先级，越大越靠前	最高可强化到多少级	是否可出售	单价	是否可强化（1、可，0、否）	是否可进阶（1.可以，0.不可以）	属性类型1	属性值1	属性类型2	属性值2	是否记录日志(0：不记录   1：记录)	物品类型：（勋章==6）	道具类型(1=消耗品，2=武器，3=防具，4=饰品)	物品详细用途描述	物品名称颜色	是否可以展示	装备孔数	是否可镶嵌	是否需要加密	最高淬炼等级
35700	流星长弓	60zichanggong	60zichanggongda	60	3	1	1	506	20	1	1000	1	1	4	250	6	250	1	6	6	流星滑落之际，所残留的灵力注入其中，铸就震世长弓	紫色	1	4	1	1	10
35701	流星战斧	60zizhanfu	60zizhanfuda	60	3	3	1	507	20	1	1000	1	1	4	250	6	250	1	6	8	流星滑落之际，所残留的灵力注入其中，铸就震世战斧	紫色	1	4	1	1	10
35702	流星战锤	60zizhanchui	60zizhanchuida	60	3	5	1	508	20	1	1000	1	1	4	250	6	250	1	6	10	流星滑落之际，所残留的灵力注入其中，铸就震世战锤	紫色	1	4	1	1	10
35703	流星匕首	60zibishou	60zibishouda	60	3	2	2	509	20	1	1000	1	1	1	750	0	0	1	6	7	流星滑落之际，所残留的灵力注入其中，铸就震世匕首	紫色	1	4	1	1	10
35704	流星圣枪	60zishengqiang	60zishengqiangda	60	3	4	2	510	20	1	1000	1	1	1	750	0	0	1	6	9	流星滑落之际，所残留的灵力注入其中，铸就震世圣枪	紫色	1	4	1	1	10
35705	流星弯刀	60ziwandao	60ziwandaoda	60	3	6	2	511	20	1	1000	1	1	1	750	0	0	1	6	11	流星滑落之际，所残留的灵力注入其中，铸就震世弯刀	紫色	1	4	1	1	10
35706	新月长弓	80zichanggong	80zichanggongda	80	3	1	3	512	40	1	1000	1	1	4	500	6	500	1	6	6	每当新月之时，受月光抑制之力就会涌动，增强其魔力	紫色	1	6	1	1	10
35707	新月战斧	80zizhanfu	80zizhanfuda	80	3	3	3	513	40	1	1000	1	1	4	500	6	500	1	6	8	每当新月之时，受月光抑制之力就会涌动，增强其魔力	紫色	1	6	1	1	10
35708	新月战锤	80zizhanchui	80zizhanchuida	80	3	5	3	514	40	1	1000	1	1	4	500	6	500	1	6	10	每当新月之时，受月光抑制之力就会涌动，增强其魔力	紫色	1	6	1	1	10
35709	新月匕首	80zibishou	80zibishouda	80	3	2	4	515	40	1	1000	1	1	1	1500	0	0	1	6	7	每当新月之时，受月光抑制之力就会涌动，增强其魔力	紫色	1	6	1	1	10
35710	新月圣枪	80zishengqiang	80zishengqiangda	80	3	4	4	516	40	1	1000	1	1	1	1500	0	0	1	6	9	每当新月之时，受月光抑制之力就会涌动，增强其魔力	紫色	1	6	1	1	10
35711	新月弯刀	80ziwandao	80ziwandaoda	80	3	6	4	517	40	1	1000	1	1	1	1500	0	0	1	6	11	每当新月之时，受月光抑制之力就会涌动，增强其魔力	紫色	1	6	1	1	10
