crystalID	crystalLevel	crystalType	netxLevel	lowerList	equalLowest	pt	pv
晶石id	晶石等级	晶石类型(同时对应插槽的位置 )	下一级晶石的id	同类型的低级晶石(晶石等级降序排列)	等价于最低该类宝石的个数	属性索引	属性值
27720	1	1	27728	[]	1	1	300
27721	1	2	27729	[]	1	5	100
27722	1	3	27730	[]	1	7	100
27723	1	4	27731	[]	1	4	100
27724	1	5	27732	[]	1	12	100
27725	1	6	27733	[]	1	13	100
27726	1	7	27734	[]	1	9	100
27727	1	8	27735	[]	1	8	100
27728	2	1	27736	[27720]	2	1	750
27729	2	2	27737	[27721]	2	5	250
27730	2	3	27738	[27722]	2	7	250
27731	2	4	27739	[27723]	2	4	250
27732	2	5	27740	[27724]	2	12	250
27733	2	6	27741	[27725]	2	13	250
27734	2	7	27742	[27726]	2	9	250
27735	2	8	27743	[27727]	2	8	250
27736	3	1	27744	[27728,27720]	4	1	1350
27737	3	2	27745	[27729,27721]	4	5	450
27738	3	3	27746	[27730,27722]	4	7	450
27739	3	4	27747	[27731,27723]	4	4	450
27740	3	5	27748	[27732,27724]	4	12	450
27741	3	6	27749	[27733,27725]	4	13	450
27742	3	7	27750	[27734,27726]	4	9	450
27743	3	8	27751	[27735,27727]	4	8	450
27744	4	1	27752	[27736,27728,27720]	8	1	1950
27745	4	2	27753	[27737,27729,27721]	8	5	650
27746	4	3	27754	[27738,27730,27722]	8	7	650
27747	4	4	27755	[27739,27731,27723]	8	4	650
27748	4	5	27756	[27740,27732,27724]	8	12	650
27749	4	6	27757	[27741,27733,27725]	8	13	650
27750	4	7	27758	[27742,27734,27726]	8	9	650
27751	4	8	27759	[27743,27735,27727]	8	8	650
27752	5	1	27760	[27744,27736,27728,27720]	16	1	2700
27753	5	2	27761	[27745,27737,27729,27721]	16	5	900
27754	5	3	27762	[27746,27738,27730,27722]	16	7	900
27755	5	4	27763	[27747,27739,27731,27723]	16	4	900
27756	5	5	27764	[27748,27740,27732,27724]	16	12	900
27757	5	6	27765	[27749,27741,27733,27725]	16	13	900
27758	5	7	27766	[27750,27742,27734,27726]	16	9	900
27759	5	8	27767	[27751,27743,27735,27727]	16	8	900
27760	6	1	27768	[27752,27744,27736,27728,27720]	32	1	3450
27761	6	2	27769	[27753,27745,27737,27729,27721]	32	5	1150
27762	6	3	27770	[27754,27746,27738,27730,27722]	32	7	1150
27763	6	4	27771	[27755,27747,27739,27731,27723]	32	4	1150
27764	6	5	27772	[27756,27748,27740,27732,27724]	32	12	1150
27765	6	6	27773	[27757,27749,27741,27733,27725]	32	13	1150
27766	6	7	27774	[27758,27750,27742,27734,27726]	32	9	1150
27767	6	8	27775	[27759,27751,27743,27735,27727]	32	8	1150
27768	7	1	27776	[27760,27752,27744,27736,27728,27720]	64	1	4200
27769	7	2	27777	[27761,27753,27745,27737,27729,27721]	64	5	1400
27770	7	3	27778	[27762,27754,27746,27738,27730,27722]	64	7	1400
27771	7	4	27779	[27763,27755,27747,27739,27731,27723]	64	4	1400
27772	7	5	27780	[27764,27756,27748,27740,27732,27724]	64	12	1400
27773	7	6	27781	[27765,27757,27749,27741,27733,27725]	64	13	1400
27774	7	7	27782	[27766,27758,27750,27742,27734,27726]	64	9	1400
27775	7	8	27783	[27767,27759,27751,27743,27735,27727]	64	8	1400
27776	8	1	27784	[27768,27760,27752,27744,27736,27728,27720]	128	1	5100
27777	8	2	27785	[27769,27761,27753,27745,27737,27729,27721]	128	5	1700
27778	8	3	27786	[27770,27762,27754,27746,27738,27730,27722]	128	7	1700
27779	8	4	27787	[27771,27763,27755,27747,27739,27731,27723]	128	4	1700
27780	8	5	27788	[27772,27764,27756,27748,27740,27732,27724]	128	12	1700
27781	8	6	27789	[27773,27765,27757,27749,27741,27733,27725]	128	13	1700
27782	8	7	27790	[27774,27766,27758,27750,27742,27734,27726]	128	9	1700
27783	8	8	27791	[27775,27767,27759,27751,27743,27735,27727]	128	8	1700
27784	9	1	27792	[27776,27768,27760,27752,27744,27736,27728,27720]	256	1	6000
27785	9	2	27793	[27777,27769,27761,27753,27745,27737,27729,27721]	256	5	2000
27786	9	3	27794	[27778,27770,27762,27754,27746,27738,27730,27722]	256	7	2000
27787	9	4	27795	[27779,27771,27763,27755,27747,27739,27731,27723]	256	4	2000
27788	9	5	27796	[27780,27772,27764,27756,27748,27740,27732,27724]	256	12	2000
27789	9	6	27797	[27781,27773,27765,27757,27749,27741,27733,27725]	256	13	2000
