artifact	level	coding	cnt	pt1	pv1	pt2	pv2
神器ID	等级	强化消耗的道具ID	消耗道具个数	属性类型1	属性值1	属性类型2	属性值1
95600	1	25644	1	4	8	6	8
95600	2	25644	2	4	16	6	16
95600	3	25644	3	4	24	6	24
95600	4	25644	4	4	32	6	32
95600	5	25644	5	4	40	6	40
95600	6	25644	6	4	48	6	48
95600	7	25644	7	4	56	6	56
35700	1	25971	1	4	10	6	10
35700	2	25971	2	4	22	6	22
35700	3	25971	3	4	35	6	35
35700	4	25971	4	4	50	6	50
35700	5	25971	5	4	66	6	66
35700	6	25971	6	4	84	6	84
35700	7	25971	8	4	103	6	103
35700	8	25971	9	4	124	6	124
35700	9	25971	13	4	146	6	146
35700	10	25971	14	4	170	6	170
35700	11	25971	16	4	195	6	195
35700	12	25971	22	4	222	6	222
35700	13	25971	28	4	250	6	250
35700	14	25971	34	4	280	6	280
35700	15	25971	40	4	311	6	311
35700	16	25971	48	4	344	6	344
35700	17	25971	56	4	378	6	378
35700	18	25971	64	4	414	6	414
35700	19	25971	72	4	451	6	451
35700	20	25971	80	4	490	6	490
35701	1	25971	1	4	10	6	10
35701	2	25971	2	4	22	6	22
35701	3	25971	3	4	35	6	35
35701	4	25971	4	4	50	6	50
35701	5	25971	5	4	66	6	66
35701	6	25971	6	4	84	6	84
35701	7	25971	8	4	103	6	103
35701	8	25971	9	4	124	6	124
35701	9	25971	13	4	146	6	146
35701	10	25971	14	4	170	6	170
35701	11	25971	16	4	195	6	195
35701	12	25971	22	4	222	6	222
35701	13	25971	28	4	250	6	250
35701	14	25971	34	4	280	6	280
35701	15	25971	40	4	311	6	311
35701	16	25971	48	4	344	6	344
35701	17	25971	56	4	378	6	378
35701	18	25971	64	4	414	6	414
35701	19	25971	72	4	451	6	451
35701	20	25971	80	4	490	6	490
35702	1	25971	1	4	10	6	10
35702	2	25971	2	4	22	6	22
35702	3	25971	3	4	35	6	35
35702	4	25971	4	4	50	6	50
35702	5	25971	5	4	66	6	66
