GemID	GemLevel	GemType	CanMix	MixMoney	MixNum	NextGemID	lowerlist	decompositionNum	pt1	pv1
雕纹ID	雕纹等级	雕纹类型	是否能合成下一级雕纹	合成费用	合成下一级需要的个数	合成下一级雕纹ID	同类型的低级雕纹(高级雕纹在前)	分解个数	属性1	属性1的值
27940	1	1	1	0	2	27949	0	1	1	450
27941	1	2	1	0	2	27950	0	1	4	150
27942	1	3	1	0	2	27951	0	1	6	150
27943	1	4	1	0	2	27952	0	1	8	150
27944	1	5	1	0	2	27953	0	1	9	150
27945	1	6	1	0	2	27954	0	1	13	150
27946	1	7	1	0	2	27955	0	1	12	150
27947	1	8	1	0	2	27956	0	1	10	150
27948	1	9	1	0	2	27957	0	1	11	150
27949	2	1	1	0	2	27958	[27940]	2	1	900
27950	2	2	1	0	2	27959	[27941]	2	4	300
27951	2	3	1	0	2	27960	[27942]	2	6	300
27952	2	4	1	0	2	27961	[27943]	2	8	300
27953	2	5	1	0	2	27962	[27944]	2	9	300
27954	2	6	1	0	2	27963	[27945]	2	13	300
27955	2	7	1	0	2	27964	[27946]	2	12	300
27956	2	8	1	0	2	27965	[27947]	2	10	300
27957	2	9	1	0	2	27966	[27948]	2	11	300
27958	3	1	1	0	2	27967	[27949,27940]	4	1	1800
27959	3	2	1	0	2	27968	[27950,27941]	4	4	600
27960	3	3	1	0	2	27969	[27951,27942]	4	6	600
27961	3	4	1	0	2	27970	[27952,27943]	4	8	600
27962	3	5	1	0	2	27971	[27953,27944]	4	9	600
27963	3	6	1	0	2	27972	[27954,27945]	4	13	600
27964	3	7	1	0	2	27973	[27955,27946]	4	12	600
27965	3	8	1	0	2	27974	[27956,27947]	4	10	600
27966	3	9	1	0	2	27975	[27957,27948]	4	11	600
27967	4	1	1	0	2	27976	[27958,27949,27940]	8	1	2700
27968	4	2	1	0	2	27977	[27959,27950,27941]	8	4	900
27969	4	3	1	0	2	27978	[27960,27951,27942]	8	6	900
27970	4	4	1	0	2	27979	[27961,27952,27943]	8	8	900
27971	4	5	1	0	2	27980	[27962,27953,27944]	8	9	900
27972	4	6	1	0	2	27981	[27963,27954,27945]	8	13	900
27973	4	7	1	0	2	27982	[27964,27955,27946]	8	12	900
27974	4	8	1	0	2	27983	[27965,27956,27947]	8	10	900
27975	4	9	1	0	2	27984	[27966,27957,27948]	8	11	900
27976	5	1	1	0	2	27985	[27967,27958,27949,27940]	16	1	3600
27977	5	2	1	0	2	27986	[27968,27959,27950,27941]	16	4	1200
27978	5	3	1	0	2	27987	[27969,27960,27951,27942]	16	6	1200
27979	5	4	1	0	2	27988	[27970,27961,27952,27943]	16	8	1200
27980	5	5	1	0	2	27989	[27971,27962,27953,27944]	16	9	1200
27981	5	6	1	0	2	27990	[27972,27963,27954,27945]	16	13	1200
27982	5	7	1	0	2	27991	[27973,27964,27955,27946]	16	12	1200
27983	5	8	1	0	2	27992	[27974,27965,27956,27947]	16	10	1200
27984	5	9	1	0	2	27993	[27975,27966,27957,27948]	16	11	1200
27985	6	1	1	0	2	27994	[27976,27967,27958,27949,27940]	32	1	4500
27986	6	2	1	0	2	27995	[27977,27968,27959,27950,27941]	32	4	1500
27987	6	3	1	0	2	27996	[27978,27969,27960,27951,27942]	32	6	1500
27988	6	4	1	0	2	27997	[27979,27970,27961,27952,27943]	32	8	1500
27989	6	5	1	0	2	27998	[27980,27971,27962,27953,27944]	32	9	1500
27990	6	6	1	0	2	27999	[27981,27972,27963,27954,27945]	32	13	1500
27991	6	7	1	0	2	28000	[27982,27973,27964,27955,27946]	32	12	1500
27992	6	8	1	0	2	28001	[27983,27974,27965,27956,27947]	32	10	1500
27993	6	9	1	0	2	28002	[27984,27975,27966,27957,27948]	32	11	1500
27994	7	1	1	0	2	28003	[27985,27976,27967,27958,27949,27940]	64	1	5400
27995	7	2	1	0	2	28004	[27986,27977,27968,27959,27950,27941]	64	4	1800
27996	7	3	1	0	2	28005	[27987,27978,27969,27960,27951,27942]	64	6	1800
27997	7	4	1	0	2	28006	[27988,27979,27970,27961,27952,27943]	64	8	1800
27998	7	5	1	0	2	28007	[27989,27980,27971,27962,27953,27944]	64	9	1800
27999	7	6	1	0	2	28008	[27990,27981,27972,27963,27954,27945]	64	13	1800
28000	7	7	1	0	2	28009	[27991,27982,27973,27964,27955,27946]	64	12	1800
28001	7	8	1	0	2	28010	[27992,27983,27974,27965,27956,27947]	64	10	1800
28002	7	9	1	0	2	28011	[27993,27984,27975,27966,27957,27948]	64	11	1800
28003	8	1	1	0	2	28012	[27994,27985,27976,27967,27958,27949,27940]	128	1	6300
28004	8	2	1	0	2	28013	[27995,27986,27977,27968,27959,27950,27941]	128	4	2100
28005	8	3	1	0	2	28014	[27996,27987,27978,27969,27960,27951,27942]	128	6	2100
28006	8	4	1	0	2	28015	[27997,27988,27979,27970,27961,27952,27943]	128	8	2100
28007	8	5	1	0	2	28016	[27998,27989,27980,27971,27962,27953,27944]	128	9	2100
28008	8	6	1	0	2	28017	[27999,27990,27981,27972,27963,27954,27945]	128	13	2100
