forgeId	gemCodingA	gemCodingB	needItemA	needItemB	returnItem	remarks
锻造ID	A宝石coding	B宝石coding	材料1	材料2	锻造获得物品	备注
1	25802	25806	(25804,1)	(28881,10)	(28845,1)	十级物攻+实际暴击=10级暴击+物攻
2	25802	25807	(25804,1)	(28881,10)	(28846,1)	十级物攻+实际暴击=10级暴击+物攻
3	25802	25809	(25804,1)	(28881,10)	(28847,1)	十级物攻+实际暴击=10级暴击+物攻
4	25802	25808	(25804,1)	(28881,10)	(28848,1)	十级物攻+实际暴击=10级暴击+物攻
5	25803	25806	(25804,1)	(28882,10)	(28849,1)	十级物攻+实际暴击=10级暴击+物攻
6	25803	25807	(25804,1)	(28882,10)	(28850,1)	十级物攻+实际暴击=10级暴击+物攻
7	25803	25809	(25804,1)	(28882,10)	(28851,1)	十级物攻+实际暴击=10级暴击+物攻
8	25803	25808	(25804,1)	(28882,10)	(28852,1)	十级物攻+实际暴击=10级暴击+物攻
9	25801	25806	(25805,1)	(28883,10)	(28853,1)	十级物攻+实际暴击=10级暴击+物攻
10	25801	25807	(25805,1)	(28883,10)	(28854,1)	
11	25801	25809	(25805,1)	(28883,10)	(28855,1)	
12	25801	25808	(25805,1)	(28883,10)	(28856,1)	
13	25811	25815	(25813,1)	(28881,20)	(28857,1)	
14	25811	25816	(25813,1)	(28881,20)	(28858,1)	
15	25811	25818	(25813,1)	(28881,20)	(28859,1)	
16	25811	25817	(25813,1)	(28881,20)	(28860,1)	
17	25812	25815	(25813,1)	(28882,20)	(28861,1)	
18	25812	25816	(25813,1)	(28882,20)	(28862,1)	
19	25812	25818	(25813,1)	(28882,20)	(28863,1)	
20	25812	25817	(25813,1)	(28882,20)	(28864,1)	
21	25810	25815	(25814,1)	(28883,20)	(28865,1)	
22	25810	25816	(25814,1)	(28883,20)	(28866,1)	
23	25810	25818	(25814,1)	(28883,20)	(28867,1)	
24	25810	25817	(25814,1)	(28883,20)	(28868,1)	
25	25820	25824	(25822,1)	(28881,40)	(28869,1)	
26	25820	25825	(25822,1)	(28881,40)	(28870,1)	
27	25820	25827	(25822,1)	(28881,40)	(28871,1)	
28	25820	25826	(25822,1)	(28881,40)	(28872,1)	
29	25821	25824	(25822,1)	(28882,40)	(28873,1)	
30	25821	25825	(25822,1)	(28882,40)	(28874,1)	
31	25821	25827	(25822,1)	(28882,40)	(28875,1)	
32	25821	25826	(25822,1)	(28882,40)	(28876,1)	
33	25819	25824	(25823,1)	(28883,40)	(28877,1)	
34	25819	25825	(25823,1)	(28883,40)	(28878,1)	
35	25819	25827	(25823,1)	(28883,40)	(28879,1)	
36	25819	25826	(25823,1)	(28883,40)	(28880,1)	
