ePos	strengthLv	sumcost
装备部位	强化等级	总消耗金币
1	0	0
1	1	1296
1	2	2689
1	3	4186
1	4	5794
1	5	7518
1	6	9365
1	7	11341
1	8	13455
1	9	15710
1	10	18115
1	11	20674
1	12	23396
1	13	26287
1	14	29352
1	15	32599
1	16	36034
1	17	39663
1	18	43493
1	19	47530
1	20	52131
1	21	56862
1	22	61729
1	23	66738
1	24	71897
1	25	77211
1	26	82686
1	27	88331
1	28	94150
1	29	100152
1	30	106534
1	31	113209
1	32	120191
1	33	127497
1	34	135144
1	35	143146
1	36	151522
1	37	160723
1	38	170411
1	39	180617
1	40	191406
1	41	210306
1	42	230232
1	43	251508
1	44	274215
1	45	298434
1	46	324246
1	47	352218
1	48	382458
1	49	419394
1	50	466104
1	51	518214
1	52	575994
1	53	639714
1	54	709644
1	55	786054
1	56	869214
1	57	959394
1	58	1056864
1	59	1161894
1	60	1296894
1	61	1461054
1	62	1656750
1	63	1885332
1	64	2148204
1	65	2446824
1	66	2782704
1	67	3157410
1	68	3572562
1	69	4029834
1	70	4530954
1	71	5077704
1	72	5671920
1	73	6315492
1	74	7010364
1	75	7758534
1	76	8562054
1	77	9423030
1	78	10343622
1	79	11326044
1	80	12372564
1	81	13527084
1	82	14791980
1	83	16172652
1	84	17675580
1	85	19308324
1	86	21079524
1	87	22998900
1	88	25077252
1	89	27326460
1	90	29759484
1	91	32390364
1	92	35234220
1	93	38307252
1	94	41626740
1	95	45211044
1	96	49079604
1	97	53252940
1	98	57752652
1	99	62601420
1	100	67455588
1	101	72315156
1	102	77180124
1	103	82050492
1	104	86926260
1	105	91807428
1	106	96693996
1	107	101585964
1	108	106483332
1	109	111386100
1	110	116294268
1	111	121207836
1	112	126126804
1	113	131051172
1	114	135980940
1	115	140916108
1	116	145856676
1	117	150802644
1	118	155754012
1	119	160710780
1	120	165899748
1	121	171320916
1	122	176974284
1	123	182859852
1	124	188977620
1	125	195327588
1	126	201909756
1	127	208724124
1	128	215770692
1	129	223049460
1	130	230560428
1	131	238303596
1	132	246278964
1	133	254486532
1	134	262926300
1	135	271598268
1	136	280502436
1	137	289638804
1	138	299007372
1	139	308608140
1	140	318441108
1	141	328506276
1	142	338803644
1	143	349333212
1	144	360094980
1	145	371088948
1	146	382315116
1	147	393773484
1	148	405464052
1	149	417386820
1	150	429541788
1	151	441928956
1	152	454548324
1	153	467399892
1	154	480483660
1	155	493799628
1	156	507347796
1	157	521128164
1	158	535140732
1	159	549385500
1	160	563862468
1	161	578571636
1	162	593513004
1	163	608686572
1	164	624092340
1	165	639730308
1	166	655600476
1	167	671702844
1	168	688037412
1	169	704604180
1	170	721403148
1	171	738434316
1	172	755697684
1	173	773193252
1	174	790921020
1	175	808880988
1	176	827073156
1	177	845497524
1	178	864154092
1	179	883042860
2	0	0
2	1	864
2	2	1792
2	3	2790
2	4	3862
2	5	5012
2	6	6243
2	7	7560
2	8	8969
2	9	10473
2	10	12076
2	11	13782
2	12	15597
2	13	17523
2	14	19567
2	15	21732
2	16	24021
2	17	26441
2	18	28994
2	19	31686
2	20	34753
2	21	37907
2	22	41151
2	23	44491
2	24	47930
2	25	51472
2	26	55123
2	27	58886
2	28	62766
2	29	66766
2	30	71021
2	31	75471
2	32	80126
2	33	84996
2	34	90094
2	35	95429
2	36	101013
2	37	107147
2	38	113606
2	39	120410
2	40	127602
2	41	140202
2	42	153486
2	43	167670
2	44	182808
2	45	198954
2	46	216162
2	47	234810
2	48	254970
2	49	279594
2	50	310734
2	51	345474
2	52	383994
2	53	426474
2	54	473094
2	55	524034
2	56	579474
2	57	639594
2	58	704574
2	59	774594
2	60	864594
2	61	974034
2	62	1104498
2	63	1256886
2	64	1432134
2	65	1631214
2	66	1855134
2	67	2104938
2	68	2381706
2	69	2686554
2	70	3020634
2	71	3385134
2	72	3781278
2	73	4210326
2	74	4673574
2	75	5172354
2	76	5708034
2	77	6282018
2	78	6895746
2	79	7550694
2	80	8248374
2	81	9018054
2	82	9861318
2	83	10781766
2	84	11783718
2	85	12872214
2	86	14053014
2	87	15332598
2	88	16718166
2	89	18217638
2	90	19839654
2	91	21593574
2	92	23489478
2	93	25538166
2	94	27751158
2	95	30140694
2	96	32719734
2	97	35501958
2	98	38501766
2	99	41734278
2	100	44970390
2	101	48210102
2	102	51453414
2	103	54700326
2	104	57950838
2	105	61204950
2	106	64462662
2	107	67723974
2	108	70988886
2	109	74257398
2	110	77529510
2	111	80805222
2	112	84084534
2	113	87367446
2	114	90653958
2	115	93944070
2	116	97237782
2	117	100535094
2	118	103836006
2	119	107140518
2	120	110599830
2	121	114213942
2	122	117982854
2	123	121906566
2	124	125985078
2	125	130218390
2	126	134606502
2	127	139149414
2	128	143847126
2	129	148699638
2	130	153706950
2	131	158869062
2	132	164185974
2	133	169657686
2	134	175284198
2	135	181065510
2	136	187001622
2	137	193092534
2	138	199338246
2	139	205738758
2	140	212294070
2	141	219004182
2	142	225869094
2	143	232888806
2	144	240063318
2	145	247392630
2	146	254876742
2	147	262515654
2	148	270309366
2	149	278257878
2	150	286361190
2	151	294619302
2	152	303032214
2	153	311599926
2	154	320322438
2	155	329199750
2	156	338231862
2	157	347418774
2	158	356760486
2	159	366256998
2	160	375908310
2	161	385714422
2	162	395675334
2	163	405791046
2	164	416061558
2	165	426486870
2	166	437066982
2	167	447801894
2	168	458691606
2	169	469736118
2	170	480935430
2	171	492289542
2	172	503798454
2	173	515462166
2	174	527280678
2	175	539253990
2	176	551382102
2	177	563665014
2	178	576102726
2	179	588695238
3	0	0
3	1	1080
3	2	2241
3	3	3488
3	4	4827
3	5	6264
3	6	7803
3	7	9450
3	8	11210
3	9	13089
3	10	15093
3	11	17226
3	12	19494
3	13	21902
3	14	24456
3	15	27162
3	16	30024
3	17	33048
3	18	36239
3	19	39603
3	20	43437
3	21	47379
3	22	51435
3	23	55609
3	24	59907
3	25	64335
3	26	68898
3	27	73602
3	28	78451
3	29	83451
3	30	88770
3	31	94332
3	32	100151
3	33	106239
3	34	112611
3	35	119280
3	36	126260
3	37	133928
3	38	142001
3	39	150506
3	40	159497
3	41	175247
3	42	191852
3	43	209582
