srcType	desType	needLevel	itemType1	cnt1	itemType2	cnt2	itemType3	cnt3	itemType4	cnt4	srcTypename	desTypename
旧装备类型	新装备类型	需要角色等级	需要材料1	数量1	需要材料2	数量2	需要材料3	数量3	需要材料4	数量4	旧装备名字	新装备名字
36042	36048	179	28752	5760	28747	2880	28757	2880	0	0	一转·魔殒剑	神·魔殒剑
36043	36049	179	28752	1920	28747	960	28757	960	0	0	一转·魔殒头盔	神·魔殒头盔
36044	36050	179	28752	1920	28747	960	28757	960	0	0	一转·魔殒铠甲	神·魔殒铠甲
36045	36051	179	28752	1920	28747	960	28757	960	0	0	一转·魔殒战靴	神·魔殒战靴
36046	36052	179	28752	2880	28747	1440	28757	1440	0	0	一转·魔殒戒指	神·魔殒戒指
36047	36053	179	28752	2880	28747	1440	28757	1440	0	0	一转·魔殒手镯	神·魔殒手镯
36060	36066	179	28753	5760	28748	2880	28758	2880	0	0	二转·圣魂剑	神·圣魂剑
36061	36067	179	28753	1920	28748	960	28758	960	0	0	二转·圣魂头盔	神·圣魂头盔
36062	36068	179	28753	1920	28748	960	28758	960	0	0	二转·圣魂铠甲	神·圣魂铠甲
36063	36069	179	28753	1920	28748	960	28758	960	0	0	二转·圣魂战靴	神·圣魂战靴
36064	36070	179	28753	2880	28748	1440	28758	1440	0	0	二转·圣魂戒指	神·圣魂戒指
36065	36071	179	28753	2880	28748	1440	28758	1440	0	0	二转·圣魂手镯	神·圣魂手镯
