suitId	cnt	equipId	pt1	pv1	pt2	pv2	colour
套装Id	需求装备数	满足的装备ID	属性类型1	属性值1	属性类型2	属性值2	文字的颜色
1	2	[35610,35611,35616,35617]	14	100	0	0	00ff0f
2	2	[35606,35607,35608,35609,35612,35613,35614,35615]	1	1000	0	0	7b87ff
3	4	[35606,35607,35608,35609,35612,35613,35614,35615]	3	5	0	0	a300ef
4	2	[35622,35623,35628,35629]	14	600	0	0	fefb00
5	2	[35618,35619,35620,35621,35624,35625,35626,35627]	1	6000	0	0	ff8614
6	4	[35618,35619,35620,35621,35624,35625,35626,35627]	3	10	0	0	9f35ff
7	2	[35634,35635,35640,35641]	14	300	0	0	ff00ff
8	2	[35630,35631,35632,35633,35636,35637,35638,35639]	1	3000	0	0	ff359a
9	4	[35630,35631,35632,35633,35636,35637,35638,35639]	3	8	0	0	ea0000
10	2	[35646,35647,35652,35653]	14	500	0	0	a8ff24
11	2	[35642,35643,35644,35645,35648,35649,35650,35651]	1	5000	0	0	f9f900
12	4	[35642,35643,35644,35645,35648,35649,35650,35651]	3	10	0	0	ffd306
13	2	[35658,35659,35664,35665]	14	900	0	0	ffa042
14	2	[35654,35655,35656,35657,35660,35661,35662,35663]	1	10000	0	0	ff8040
15	4	[35654,35655,35656,35657,35660,35661,35662,35663]	3	10	0	0	ffff00
16	2	[35670,35671,35676,35677]	14	700	0	0	ffff00
17	2	[35666,35667,35668,35669,35672,35673,35674,35675]	1	7000	0	0	ffff00
18	4	[35666,35667,35668,35669,35672,35673,35674,35675]	3	10	0	0	ffff00
19	2	[35682,35683,35688,35689]	14	800	0	0	ffff00
20	2	[35678,35679,35680,35681,35684,35685,35686,35687]	1	9000	0	0	ffff00
21	4	[35678,35679,35680,35681,35684,35685,35686,35687]	3	10	0	0	ffff00
22	2	[36004,36005,36010,36011]	14	900	0	0	ffff00
23	2	[36000,36001,36002,36003,36006,36007,36008,36009]	1	11000	0	0	ffff00
24	4	[36000,36001,36002,36003,36006,36007,36008,36009]	3	10	0	0	ffff00
25	2	[36016,36017,36058,36059,36076,36077]	14	1200	0	0	ffff00
26	2	[36016,36017,36058,36059,36076,36077]	3	5	0	0	ffff00
27	2	[36012,36013,36014,36015,36054,36055,36056,36057,36072,36073,36074,36075]	1	17000	0	0	ffff00
28	4	[36012,36013,36014,36015,36054,36055,36056,36057,36072,36073,36074,36075]	3	15	0	0	ffff00
29	2	[36022,36023,36028,36029]	14	1000	0	0	ffff00
30	2	[36018,36019,36020,36021,36024,36025,36026,36027]	1	13000	0	0	ffff00
31	4	[36018,36019,36020,36021,36024,36025,36026,36027]	3	10	0	0	ffff00
32	2	[36034,36035,36040,36041,36046,36047,36052,36053,36064,36065,36070,36071]	14	1100	0	0	ffff00
33	2	[36030,36031,36032,36033,36036,36037,36038,36039,36042,36043,36044,36045,36048,36049,36050,36051,36060,36061,36062,36063,36066,36067,36068,36069]	1	15000	0	0	ffff00
34	4	[36030,36031,36032,36033,36036,36037,36038,36039,36042,36043,36044,36045,36048,36049,36050,36051,36060,36061,36062,36063,36066,36067,36068,36069]	3	10	0	0	ffff00
35	2	[36046,36047,36052,36053]	14	1100	0	0	ffff00
36	2	[36042,36043,36044,36045,36048,36049,36050,36051]	1	15000	0	0	ffff00
37	4	[36042,36043,36044,36045,36048,36049,36050,36051]	3	10	0	0	ffff00
38	2	[36058,36059]	14	1200	0	0	ffff00
39	2	[36058,36059]	3	5	0	0	ffff00
40	2	[36054,36055,36056,36057]	1	17000	0	0	ffff00
41	4	[36054,36055,36056,36057]	3	15	0	0	ffff00
