haloLevel	needExp	needAllExp	addPercent_4	addPercent_5	addPercent_6	addPercent_7	addPercent_8	addPercent_9	addPercent_10
光环等级	每级需要经验值	需要的总经验值	4级万分比加成	5级万分比加成	6级万分比加成	7级万分比加成	8级万分比加成	9级万分比加成	10级万分比加成
0	5	5	0	0	0	0	0	0	0
1	25	30	50	80	120	170	200	220	240
2	70	100	110	200	280	410	460	500	560
3	180	280	180	340	480	700	780	860	960
4	360	640	270	500	720	1040	1170	1300	1440
5	720	1360	380	700	1000	1450	1630	1800	2000
6	1440	2800	500	920	1320	1910	2150	2380	2640
7	3360	6160	630	1180	1680	2440	2730	3020	3360
8	6600	12760	780	1460	2080	3020	3380	3740	4160
9	12000	24760	960	1790	2560	3710	4160	4610	5120
10	0	99999	1200	2240	3200	4640	5200	5760	6400
