shenzaoLevel	needExp	sellReturn	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
神造等级	升至下一级所需要的经验值	出售返还	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
0	5	(27939,0)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	10	(27939,5)	166	0	0	166	0	166	0	400	400	400	400	400	400	0	0
2	20	(27939,15)	333	0	0	333	0	333	0	800	800	800	800	800	800	0	0
3	45	(27939,35)	500	0	0	500	0	500	0	1200	1200	1200	1200	1200	1200	0	0
4	80	(27939,80)	666	0	0	666	0	666	0	1600	1600	1600	1600	1600	1600	0	0
5	115	(27939,160)	833	0	0	833	0	833	0	2000	2000	2000	2000	2000	2000	0	0
6	140	(27939,275)	1000	0	0	1000	0	1000	0	2400	2400	2400	2400	2400	2400	0	0
7	180	(27939,415)	1166	0	0	1166	0	1166	0	2800	2800	2800	2800	2800	2800	0	0
8	220	(27939,595)	1333	0	0	1333	0	1333	0	3200	3200	3200	3200	3200	3200	0	0
9	260	(27939,815)	1500	0	0	1500	0	1500	0	3600	3600	3600	3600	3600	3600	0	0
10	310	(27939,1075)	1666	0	0	1666	0	1666	0	4000	4000	4000	4000	4000	4000	0	0
11	350	(27939,1385)	1833	0	0	1833	0	1833	0	4400	4400	4400	4400	4400	4400	0	0
12	420	(27939,1735)	2000	0	0	2000	0	2000	0	4800	4800	4800	4800	4800	4800	0	0
13	500	(27939,2155)	2166	0	0	2166	0	2166	0	5200	5200	5200	5200	5200	5200	0	0
14	560	(27939,2655)	2333	0	0	2333	0	2333	0	5600	5600	5600	5600	5600	5600	0	0
15	650	(27939,3215)	2500	0	0	2500	0	2500	0	6000	6000	6000	6000	6000	6000	0	0
16	780	(27939,3685)	2666	0	0	2666	0	2666	0	6400	6400	6400	6400	6400	6400	0	0
17	950	(27939,4645)	2833	0	0	2833	0	2833	0	6800	6800	6800	6800	6800	6800	0	0
18	1200	(27939,5595)	3000	0	0	3000	0	3000	0	7200	7200	7200	7200	7200	7200	0	0
19	1400	(27939,6795)	3166	0	0	3166	0	3166	0	7600	7600	7600	7600	7600	7600	0	0
20	0	(27939,8195)	3333	0	0	3333	0	3333	0	8000	8000	8000	8000	8000	8000	0	0
