index	ID	btnName	beizhu	btenName	Name	paixu	ch_cn	ch_yy	ch_tw	en_us	ru_russia	tk_turkish	pl_poland	fr_French	esp_Espana	en_101xp	btnAName	jianJie	shuoMing	openString
类型	id	主界面UI名字	备注	ui名字	界面中的名字	图标排序(只对活动大厅排)，数字小在前	国内版本(开放等级)	国内联运版本(开放等级)	台湾繁体	北美1	俄罗斯	土耳其	波兰	法语版本(开放等级)	西班牙语版本(开放等级)	英文101xp	界面名字艺术字	简介	奖励说明	打开界面字符串
tzwfBtn	fbBtn	tzwfBtn	挑战活动	UpIcon_FB	副本	0	80	999	80	80	80	80	80	80	80	80	TZWF_TextTZWF	#C(#FF8000)简介#n#C(#00EC00):  每日打副本，海量奖励等你拿。#n	#C(#FF8000)掉落#n#C(#00EC00)：金币，龙晶，装备升阶图纸#n	SHOW_DUNGEON
tzwfBtn	xmlyBtn	tzwfBtn	挑战活动	UpIcon_XMLY	心魔炼狱	0	80	999	80	80	80	80	80	80	80	80	TZWF_TextTZWF	#C(#FF8000)简介#n#C(#00EC00):  心魔炼狱战斗中还可以免费复活再战哟！#n	#C(#FF8000)掉落#n#C(#00EC00)：古龙血，天灵石，玄铁，龙晶，金币#n	OPEN_LIANYU
tzwfBtn	yxslcBtn	tzwfBtn	挑战活动	UpIcon_YXSLC	勇者试炼场	0	80	999	80	80	80	999	80	80	80	80	TZWF_TextTZWF	#C(#FF8000)简介#n#C(#00EC00):  这是勇者试炼的地方，快来吧。#n	#C(#FF8000)掉落#n#C(#00EC00)：经验，龙晶#n	OPEN_YONGZHESLC_PANEL
tzwfBtn	myxgbtn	tzwfBtn	挑战活动	UpIcon_MYXG	魔域星宫	0	80	999	80	80	80	80	80	80	80	80	TZWF_TextTZWF	#C(#FF8000)简介#n#C(#00EC00):  你能达到第几层？我们拭目以待。#n	#C(#FF8000)掉落#n#C(#00EC00)：圣器，圣器洗练石，金币，经验酒#n	MYXG
tzwfBtn	xycmBtn	tzwfBtn	挑战活动	UpIcon_YLSD	英灵神殿	0	80	999	80	80	80	80	80	80	80	80	TZWF_TextTZWF	#C(#FF8000)简介#n#C(#00EC00):  战力的极致追求，挑战自己的极限。#n	#C(#FF8000)掉落#n#C(#00EC00)：金币，经验酒，英雄兑换以及升阶道具#n	OPEN_YLSD
tzwfBtn	lqslBtn	tzwfBtn	挑战活动	UpIcon_LQSL	龙骑试炼	0	120	999	120	120	100	120	120	120	100	120	TZWF_TextTZWF	#C(#FF8000)简介#n#C(#00EC00):  谁才能最终战胜恶龙？#n	#C(#FF8000)掉落#n#C(#00EC00)：称号#n	openLQSL
tzwfBtn	yxsdBtn	tzwfBtn	挑战活动	UpIcon_YXSD	英雄圣殿	0	160	999	160	160	160	999	160	160	160	160	TZWF_TextTZWF	#C(#FF8000)简介#n#C(#00EC00):  想要英雄觉醒吗？想要无上的荣耀吗？来闯关吧！#n	#C(#FF8000)掉落#n#C(#00EC00)：英雄觉醒以及升阶道具#n	OPEN_YXSD
tzwfBtn	yxjjBtn	tzwfBtn	挑战活动	UpIcon_YXJJ	英雄竞技	0	80	999	80	999	999	999	999	999	999	999	TZWF_TextTZWF	#C(#FF8000)简介#n#C(#00EC00):  全服第一的无上荣耀，谁来争夺？#n	#C(#FF8000)掉落#n#C(#00EC00)：声望#n	OPEN_ARENA
tzwfBtn	ydlzbtn	tzwfBtn	挑战活动	UpIcon_YDLZ	勇斗领主	0	80	999	80	999	999	999	999	999	999	999	TZWF_TextTZWF	#C(#FF8000)简介#n#C(#00EC00):  勇斗领主拿经验，主仆互动乐无穷！#n	#C(#FF8000)掉落#n#C(#00EC00)：经验#n	NON
zdzcBtn	ygbhBtn	zdzcBtn	组队战场	UpIcon_GHFB	公会副本	0	80	999	80	80	80	80	80	80	80	80	TZWF_TextZDZC	#C(#FF8000)简介#n#C(#00EC00):  公会组队刷boss。得神器升阶材料！#n	#C(#FF8000)掉落#n#C(#00EC00)：神器，神器进阶图纸，魂石#n	GHFB
zdzcBtn	zdptBtn	zdzcBtn	组队战场	UpIcon_ZDPT	组队爬塔	0	80	999	80	80	80	80	80	80	80	80	TZWF_TextZDZC	#C(#FF8000)简介#n#C(#00EC00):  组队战胜一切困难，战胜真正的龙！#n	#C(#FF8000)掉落#n#C(#00EC00)：龙骸，龙灵，化石等道具#n	OPEN_ZDPT_DT
