btnName	beizhu	closeLevel_cn	closeLevel_yy	closeLevel_tw	closeLevel_us	closeLevel_russia	closeLevel_tk	closeLevel_pl	closeLevel_fr	closeLevel_esp	closeLevel_en	closeLevel_sa	ch_cn	ch_yy	ch_tw	en_us	ru_russia	tk_turkish	pl_poland	fr_french	esp_Espana	en_xp	ru_tournament	sa_sasia	centerServerShow	paixu
按钮UI名字	备注	关闭等级(国内版本)	关闭等级(国内联运版本)	台湾繁体	北美	俄罗斯	土耳其	波兰	关闭等级(法语版本)	关闭等级(西班牙语版本)	关闭等级(英语xp版本)	东南亚	国内版本(开放等级)	国内l联运版本(开放等级	台湾繁体	北美1	俄罗斯	土耳其	波兰	法语版本(开放等级)	西班牙版(开放等级)	英文101xp	俄罗斯比赛	东南亚	跨服是否显示(0/1)	排序
DownIcon_SC	商城	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	30
DownIcon_YX	英雄	0	0	0	0	0	0	0	0	0	0	0	15	15	15	15	15	15	15	15	15	15	15	15	0	29
DownIcon_ZB	装备	0	0	0	0	0	0	0	0	0	0	0	20	20	20	20	20	20	20	20	20	20	20	20	1	28
DownIcon_JN	技能	0	0	0	0	0	0	0	0	0	0	0	11	11	11	11	11	11	11	11	11	11	11	11	1	27
DownIcon_ZX	阵型	0	0	0	0	0	0	0	0	0	0	0	15	15	15	15	15	15	15	15	15	15	15	15	1	26
DownIcon_BB	背包	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	25
DownIcon_YY	羽翼	0	0	0	0	0	0	0	0	0	0	0	65	65	65	65	65	65	65	65	65	65	65	65	1	18
DownIcon_ZBXT	占卜	0	0	0	0	0	0	0	0	0	0	0	50	50	50	50	50	50	50	50	50	50	50	50	0	13
DownIcon_BS	宝石	0	0	0	0	0	0	0	0	0	0	0	35	35	35	40	35	35	40	35	35	35	35	40	1	12
DownIcon_SQ	神器	0	0	0	0	0	0	0	0	0	0	0	60	60	60	60	60	60	60	60	60	60	60	60	1	11
DownIcon_FW	符文	0	0	0	0	0	0	0	0	0	0	0	60	60	60	60	60	60	60	60	60	60	60	60	1	10
DownIcon_ZQ	坐骑	0	0	0	0	0	0	0	0	0	0	0	9	9	9	9	9	9	9	9	9	9	9	9	1	6
