level	items
角色等级	物品列表
1	[(25681,10),(25666,5),(25600,2)]
2	[(25681,10),(25666,5),(25600,2)]
3	[(25681,10),(25666,5),(25600,2)]
4	[(25681,10),(25666,5),(25600,2)]
5	[(25681,10),(25666,5),(25600,2)]
6	[(25681,10),(25666,5),(25600,2)]
7	[(25681,10),(25666,5),(25600,2)]
8	[(25681,10),(25666,5),(25600,2)]
9	[(25681,10),(25666,5),(25600,2)]
10	[(25681,10),(25666,5),(25600,2)]
11	[(25681,10),(25666,5),(25600,2)]
12	[(25681,10),(25666,5),(25600,2)]
13	[(25681,10),(25666,5),(25600,2)]
14	[(25681,10),(25666,5),(25600,2)]
15	[(25681,10),(25666,5),(25600,2)]
16	[(25681,10),(25666,5),(25600,2)]
17	[(25681,10),(25666,5),(25600,2)]
18	[(25681,10),(25666,5),(25600,2)]
19	[(25681,10),(25666,5),(25600,2)]
20	[(25681,10),(25666,5),(25600,2)]
21	[(25681,10),(25666,5),(25600,2)]
22	[(25681,10),(25666,5),(25600,2)]
23	[(25681,10),(25666,5),(25600,2)]
24	[(25681,10),(25666,5),(25600,2)]
25	[(25681,10),(25666,5),(25600,2)]
26	[(25681,10),(25666,5),(25600,2)]
27	[(25681,10),(25666,5),(25600,2)]
28	[(25681,10),(25666,5),(25600,2)]
29	[(25681,10),(25666,5),(25600,2)]
30	[(25681,10),(25666,5),(25600,2)]
31	[(25681,10),(25666,5),(25600,2)]
32	[(25681,10),(25666,5),(25600,2)]
33	[(25681,10),(25666,5),(25600,2)]
34	[(25681,10),(25666,5),(25600,2)]
35	[(25681,10),(25666,5),(25600,2)]
36	[(25681,10),(25666,5),(25600,2)]
37	[(25681,10),(25666,5),(25600,2)]
38	[(25681,10),(25666,5),(25600,2)]
39	[(25681,10),(25666,5),(25600,2)]
40	[(25682,10),(25666,5),(25600,2)]
41	[(25682,10),(25666,5),(25600,2)]
42	[(25682,10),(25666,5),(25600,2)]
43	[(25682,10),(25666,5),(25600,2)]
44	[(25682,10),(25666,5),(25600,2)]
45	[(25682,10),(25666,5),(25600,2)]
46	[(25682,10),(25666,5),(25600,2)]
47	[(25682,10),(25666,5),(25600,2)]
48	[(25682,10),(25666,5),(25600,2)]
49	[(25682,10),(25666,5),(25600,2)]
50	[(25682,10),(25666,5),(25600,2)]
51	[(25682,10),(25666,5),(25600,2)]
52	[(25682,10),(25666,5),(25600,2)]
53	[(25682,10),(25666,5),(25600,2)]
54	[(25682,10),(25666,5),(25600,2)]
55	[(25682,10),(25666,5),(25600,2)]
56	[(25682,10),(25666,5),(25600,2)]
57	[(25682,10),(25666,5),(25600,2)]
58	[(25682,10),(25666,5),(25600,2)]
59	[(25682,10),(25666,5),(25600,2)]
60	[(25683,10),(25667,5),(25600,2)]
61	[(25683,10),(25667,5),(25600,2)]
62	[(25683,10),(25667,5),(25600,2)]
63	[(25683,10),(25667,5),(25600,2)]
64	[(25683,10),(25667,5),(25600,2)]
65	[(25683,10),(25667,5),(25600,2)]
66	[(25683,10),(25667,5),(25600,2)]
67	[(25683,10),(25667,5),(25600,2)]
68	[(25683,10),(25667,5),(25600,2)]
69	[(25683,10),(25667,5),(25600,2)]
70	[(25683,10),(25667,5),(25600,2)]
71	[(25683,10),(25667,5),(25600,2)]
72	[(25683,10),(25667,5),(25600,2)]
73	[(25683,10),(25667,5),(25600,2)]
74	[(25683,10),(25667,5),(25600,2)]
75	[(25683,10),(25667,5),(25600,2)]
76	[(25683,10),(25667,5),(25600,2)]
77	[(25683,10),(25667,5),(25600,2)]
78	[(25683,10),(25667,5),(25600,2)]
79	[(25683,10),(25667,5),(25600,2)]
80	[(25684,10),(25668,5),(25600,2)]
81	[(25684,10),(25668,5),(25600,2)]
82	[(25684,10),(25668,5),(25600,2)]
83	[(25684,10),(25668,5),(25600,2)]
84	[(25684,10),(25668,5),(25600,2)]
85	[(25684,10),(25668,5),(25600,2)]
86	[(25684,10),(25668,5),(25600,2)]
87	[(25684,10),(25668,5),(25600,2)]
88	[(25684,10),(25668,5),(25600,2)]
89	[(25684,10),(25668,5),(25600,2)]
90	[(25684,10),(25668,5),(25600,2)]
91	[(25684,10),(25668,5),(25600,2)]
92	[(25684,10),(25668,5),(25600,2)]
93	[(25684,10),(25668,5),(25600,2)]
94	[(25684,10),(25668,5),(25600,2)]
95	[(25684,10),(25668,5),(25600,2)]
96	[(25684,10),(25668,5),(25600,2)]
97	[(25684,10),(25668,5),(25600,2)]
98	[(25684,10),(25668,5),(25600,2)]
99	[(25684,10),(25668,5),(25600,2)]
100	[(25685,10),(25669,5),(25600,2)]
101	[(25685,10),(25669,5),(25600,2)]
102	[(25685,10),(25669,5),(25600,2)]
103	[(25685,10),(25669,5),(25600,2)]
104	[(25685,10),(25669,5),(25600,2)]
105	[(25685,10),(25669,5),(25600,2)]
106	[(25685,10),(25669,5),(25600,2)]
107	[(25685,10),(25669,5),(25600,2)]
108	[(25685,10),(25669,5),(25600,2)]
109	[(25685,10),(25669,5),(25600,2)]
110	[(25685,10),(25669,5),(25600,2)]
111	[(25685,10),(25669,5),(25600,2)]
112	[(25685,10),(25669,5),(25600,2)]
113	[(25685,10),(25669,5),(25600,2)]
114	[(25685,10),(25669,5),(25600,2)]
115	[(25685,10),(25669,5),(25600,2)]
116	[(25685,10),(25669,5),(25600,2)]
117	[(25685,10),(25669,5),(25600,2)]
118	[(25685,10),(25669,5),(25600,2)]
119	[(25685,10),(25669,5),(25600,2)]
120	[(25686,10),(25670,5),(25600,2)]
121	[(25686,10),(25670,5),(25600,2)]
122	[(25686,10),(25670,5),(25600,2)]
123	[(25686,10),(25670,5),(25600,2)]
124	[(25686,10),(25670,5),(25600,2)]
125	[(25686,10),(25670,5),(25600,2)]
126	[(25686,10),(25670,5),(25600,2)]
127	[(25686,10),(25670,5),(25600,2)]
128	[(25686,10),(25670,5),(25600,2)]
129	[(25686,10),(25670,5),(25600,2)]
130	[(25686,10),(25670,5),(25600,2)]
131	[(25686,10),(25670,5),(25600,2)]
132	[(25686,10),(25670,5),(25600,2)]
133	[(25686,10),(25670,5),(25600,2)]
134	[(25686,10),(25670,5),(25600,2)]
135	[(25686,10),(25670,5),(25600,2)]
136	[(25686,10),(25670,5),(25600,2)]
137	[(25686,10),(25670,5),(25600,2)]
138	[(25686,10),(25670,5),(25600,2)]
139	[(25686,10),(25670,5),(25600,2)]
140	[(26607,10),(27049,5),(25600,2)]
141	[(26607,10),(27049,5),(25600,2)]
142	[(26607,10),(27049,5),(25600,2)]
143	[(26607,10),(27049,5),(25600,2)]
