AFIndex	FightType	MonsterId	MoneyToReward	MoneyToReward_fcm	ItemsToReward	ItemsToReward_fcm	RandomReward	RandomRewardRate	Sample	Sample_fcm
魔域星宫索引	战斗类型	怪物阵营ID	关卡必奖金币	关卡必奖金币	关卡必奖物品	关卡必奖物品	关卡随机奖励itemcode	关卡随机奖励概率(概率，数量)	奖励预览	奖励预览
1	37	10300	45000	22500	[(25643,3)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,45000),(25643,3),(26272,1)]	[(25828,22500),(25643,2),(26272,1)]
2	37	10301	46000	23000	[(25643,3)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,46000),(25643,3),(26272,1)]	[(25828,23000),(25643,2),(26272,1)]
3	37	10302	47000	23500	[(25643,3)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,47000),(25643,3),(26272,1)]	[(25828,23500),(25643,2),(26272,1)]
4	37	10303	48000	24000	[(25643,3)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,48000),(25643,3),(26272,1)]	[(25828,24000),(25643,2),(26272,1)]
5	37	10304	49000	24500	[(25643,3)]	[(25643,2)]	35800	[(750,0),(250,1)]	[(25828,49000),(25643,3),(35800,1)]	[(25828,24500),(25643,2),(35800,1)]
6	37	10305	50000	25000	[(25643,3)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,50000),(25643,3),(26272,1)]	[(25828,25000),(25643,2),(26272,1)]
7	37	10306	51000	25500	[(25643,4)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,51000),(25643,4),(26272,1)]	[(25828,25500),(25643,2),(26272,1)]
8	37	10307	52000	26000	[(25643,4)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,52000),(25643,4),(26272,1)]	[(25828,26000),(25643,2),(26272,1)]
9	37	10308	53000	26500	[(25643,4)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,53000),(25643,4),(26272,1)]	[(25828,26500),(25643,2),(26272,1)]
10	37	10309	54000	27000	[(25643,4)]	[(25643,2)]	35800	[(750,0),(250,1)]	[(25828,54000),(25643,4),(35800,1)]	[(25828,27000),(25643,2),(35800,1)]
11	37	10310	55000	27500	[(25643,4)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,55000),(25643,4),(26272,1)]	[(25828,27500),(25643,2),(26272,1)]
12	37	10311	56000	28000	[(25643,4)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,56000),(25643,4),(26272,1)]	[(25828,28000),(25643,2),(26272,1)]
13	37	10312	57000	28500	[(25643,4)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,57000),(25643,4),(26272,1)]	[(25828,28500),(25643,2),(26272,1)]
14	37	10313	58000	29000	[(25643,4)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,58000),(25643,4),(26272,1)]	[(25828,29000),(25643,2),(26272,1)]
15	37	10314	59000	29500	[(25643,4)]	[(25643,2)]	35800	[(750,0),(250,1)]	[(25828,59000),(25643,4),(35800,1)]	[(25828,29500),(25643,2),(35800,1)]
16	37	10315	60000	30000	[(25643,4)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,60000),(25643,4),(26272,1)]	[(25828,30000),(25643,2),(26272,1)]
17	37	10316	61000	30500	[(25643,4)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,61000),(25643,4),(26272,1)]	[(25828,30500),(25643,2),(26272,1)]
18	37	10317	62000	31000	[(25643,4)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,62000),(25643,4),(26272,1)]	[(25828,31000),(25643,2),(26272,1)]
19	37	10318	63000	31500	[(25643,4)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,63000),(25643,4),(26272,1)]	[(25828,31500),(25643,2),(26272,1)]
20	37	10319	64000	32000	[(25643,4)]	[(25643,2)]	35800	[(750,0),(250,1)]	[(25828,64000),(25643,4),(35800,1)]	[(25828,32000),(25643,2),(35800,1)]
21	37	10320	65000	32500	[(25643,4)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,65000),(25643,4),(26272,1)]	[(25828,32500),(25643,2),(26272,1)]
22	37	10321	66000	33000	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,66000),(25643,5),(26272,1)]	[(25828,33000),(25643,3),(26272,1)]
23	37	10322	67000	33500	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,67000),(25643,5),(26272,1)]	[(25828,33500),(25643,3),(26272,1)]
24	37	10323	68000	34000	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,68000),(25643,5),(26272,1)]	[(25828,34000),(25643,3),(26272,1)]
25	37	10324	69000	34500	[(25643,5)]	[(25643,3)]	35800	[(750,0),(250,1)]	[(25828,69000),(25643,5),(35800,1)]	[(25828,34500),(25643,3),(35800,1)]
26	37	10325	70000	35000	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,70000),(25643,5),(26272,1)]	[(25828,35000),(25643,3),(26272,1)]
27	37	10326	71000	35500	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,71000),(25643,5),(26272,1)]	[(25828,35500),(25643,3),(26272,1)]
28	37	10327	72000	36000	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,72000),(25643,5),(26272,1)]	[(25828,36000),(25643,3),(26272,1)]
29	37	10328	73000	36500	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,73000),(25643,5),(26272,1)]	[(25828,36500),(25643,3),(26272,1)]
30	37	10329	74000	37000	[(25643,5)]	[(25643,3)]	35806	[(750,0),(250,1)]	[(25828,74000),(25643,5),(35806,1)]	[(25828,37000),(25643,3),(35806,1)]
31	37	10330	75000	37500	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,75000),(25643,5),(26272,1)]	[(25828,37500),(25643,3),(26272,1)]
32	37	10331	76000	38000	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,76000),(25643,5),(26272,1)]	[(25828,38000),(25643,3),(26272,1)]
