rank	needScore	rankPreview	rankImg	rewardItems	money	bindRMB	rewardItemsPreview
排名	需要积分	排名预览	是否显示	奖励	金币奖励	魔晶	奖励道具预览（客户端用）
1	120000	1	SDJNH_TextDYM	[(27568,500),(26450,200),(26344,200),(25808,1),(27492,1),(26899,1)]	0	0	[(27568,500),(26450,200),(26344,200),(25808,1),(27492,1),(26899,1)]
2	100000	2	SDJNH_TextDRM	[(27568,400),(26450,150),(26344,150),(25799,1),(27492,1),(26899,1)]	0	0	[(27568,400),(26450,150),(26344,150),(25799,1),(27492,1),(26899,1)]
3	80000	3	SDJNH_TextDSM	[(27568,350),(26450,120),(26344,120),(25790,1),(27492,1),(26899,1)]	0	0	[(27568,350),(26450,120),(26344,120),(25790,1),(27492,1),(26899,1)]
4	80000	4	SDJNH_TextD4M	[(27568,200),(26450,100),(26344,100),(25781,1),(27492,1)]	0	0	[(27568,200),(26450,100),(26344,100),(25781,1),(27492,1)]
5	80000	5	SDJNH_TextD5M	[(27568,150),(26450,80),(26344,80),(25781,1),(27492,1)]	0	0	[(27568,150),(26450,80),(26344,80),(25781,1),(27492,1)]
6	50000	6	SDJNH_Text6	[(27568,125),(26450,60),(26344,60),(25772,1)]	0	0	[(27568,125),(26450,60),(26344,60),(25772,1)]
7	50000	0	0	[(27568,125),(26450,60),(26344,60),(25772,1)]	0	0	[(27568,125),(26450,60),(26344,60),(25772,1)]
8	50000	0	0	[(27568,125),(26450,60),(26344,60),(25772,1)]	0	0	[(27568,125),(26450,60),(26344,60),(25772,1)]
9	50000	0	0	[(27568,125),(26450,60),(26344,60),(25772,1)]	0	0	[(27568,125),(26450,60),(26344,60),(25772,1)]
10	50000	0	0	[(27568,125),(26450,60),(26344,60),(25772,1)]	0	0	[(27568,125),(26450,60),(26344,60),(25772,1)]
11	30000	7	SDJNH_Text11	[(27568,100),(26450,40),(26344,40),(25772,1)]	0	0	[(27568,100),(26450,40),(26344,40),(25772,1)]
12	30000	0	0	[(27568,100),(26450,40),(26344,40),(25772,1)]	0	0	[(27568,100),(26450,40),(26344,40),(25772,1)]
13	30000	0	0	[(27568,100),(26450,40),(26344,40),(25772,1)]	0	0	[(27568,100),(26450,40),(26344,40),(25772,1)]
14	30000	0	0	[(27568,100),(26450,40),(26344,40),(25772,1)]	0	0	[(27568,100),(26450,40),(26344,40),(25772,1)]
15	30000	0	0	[(27568,100),(26450,40),(26344,40),(25772,1)]	0	0	[(27568,100),(26450,40),(26344,40),(25772,1)]
16	30000	0	0	[(27568,100),(26450,40),(26344,40),(25772,1)]	0	0	[(27568,100),(26450,40),(26344,40),(25772,1)]
17	30000	0	0	[(27568,100),(26450,40),(26344,40),(25772,1)]	0	0	[(27568,100),(26450,40),(26344,40),(25772,1)]
18	30000	0	0	[(27568,100),(26450,40),(26344,40),(25772,1)]	0	0	[(27568,100),(26450,40),(26344,40),(25772,1)]
19	30000	0	0	[(27568,100),(26450,40),(26344,40),(25772,1)]	0	0	[(27568,100),(26450,40),(26344,40),(25772,1)]
20	30000	0	0	[(27568,100),(26450,40),(26344,40),(25772,1)]	0	0	[(27568,100),(26450,40),(26344,40),(25772,1)]
21	15000	8	SDJNH_Text21	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
22	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
23	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
24	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
25	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
26	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
27	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
28	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
29	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
30	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
31	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
32	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
33	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
