id	item	des	minDiscount	maxDiscount
预览id	物品(coding,cnt)	备注	最低折扣	最高折扣
1	(26459,1)	射手座女神（橙）	3	3
2	(26458,1)	射手座女神（紫）	3	3
3	(37007,1)	恶魔之翼	5	5
4	(37018,1)	幽影	4	6
5	(37019,1)	幽灵	4	6
6	(37020,1)	幽鬼	4	6
7	(37011,1)	青衣之恋	3	6
8	(37013,1)	紫陌倾城	3	6
9	(25794,1)	九级法攻宝石	4	7
10	(25797,1)	九级暴击宝石	4	7
11	(25793,1)	九级物攻宝石	4	7
12	(25798,5)	九级免暴宝石	4	7
13	(25950,4)	九级信仰符文	5	8
14	(25948,1)	九级英勇符文	5	8
15	(26226,1)	七级宝石礼盒	3	5
16	(26230,1)	七级符文礼盒	4	6
17	(26298,5)	圣器附魔石	4	8
18	(27648,1)	新年大礼包	4	4
19	(26042,5)	占卜令	3	5
20	(26676,1)	时装之魄	4	8
