cardId	level	starNum	cardNum
天赋卡ID	等级	需要的星魂数量	需要同类型的天赋卡[(cardType, Num)]
1	2	(26341,100)	
1	3	(26341,200)	
1	4	(26341,400)	[(1,1)]
1	5	(26341,800)	[(1,1)]
2	2	(26341,100)	
2	3	(26341,200)	
2	4	(26341,400)	[(2,1)]
2	5	(26341,800)	[(2,1)]
3	2	(26341,100)	
3	3	(26341,200)	
3	4	(26341,400)	[(3,1)]
3	5	(26341,800)	[(3,1)]
4	2	(26341,100)	
4	3	(26341,200)	
4	4	(26341,400)	[(4,1)]
4	5	(26341,800)	[(4,1)]
5	2	(26341,100)	
5	3	(26341,200)	
5	4	(26341,400)	[(5,1)]
5	5	(26341,800)	[(5,1)]
6	2	(26341,100)	
6	3	(26341,200)	
6	4	(26341,400)	[(6,1)]
6	5	(26341,800)	[(6,1)]
7	2	(26341,100)	
7	3	(26341,200)	
7	4	(26341,400)	[(7,1)]
7	5	(26341,800)	[(7,1)]
8	2	(26341,100)	
8	3	(26341,200)	
8	4	(26341,400)	[(8,1)]
8	5	(26341,800)	[(8,1)]
9	2	(26341,100)	
9	3	(26341,200)	
9	4	(26341,400)	[(9,1)]
9	5	(26341,800)	[(9,1)]
10	2	(26341,100)	
10	3	(26341,200)	
10	4	(26341,400)	[(10,1)]
10	5	(26341,800)	[(10,1)]
11	2	(26341,100)	
11	3	(26341,200)	
11	4	(26341,400)	[(11,1)]
11	5	(26341,800)	[(11,1)]
12	2	(26341,100)	
12	3	(26341,200)	
12	4	(26341,400)	[(12,1)]
12	5	(26341,800)	[(12,1)]
13	2	(26341,100)	
13	3	(26341,200)	
13	4	(26341,400)	[(13,1)]
13	5	(26341,800)	[(13,1)]
14	2	(26341,100)	
14	3	(26341,200)	
14	4	(26341,400)	[(14,1)]
14	5	(26341,800)	[(14,1)]
15	2	(26341,100)	
15	3	(26341,200)	
15	4	(26341,400)	[(15,1)]
15	5	(26341,800)	[(15,1)]
16	2	(26341,100)	
16	3	(26341,200)	
16	4	(26341,400)	[(16,1)]
16	5	(26341,800)	[(16,1)]
17	2	(26341,100)	
17	3	(26341,200)	
17	4	(26341,400)	[(17,1)]
17	5	(26341,800)	[(17,1)]
18	2	(26341,100)	
18	3	(26341,200)	
