cardId	cardtype	name	nameimage	nameimage_US	iconImage	iconBackgroundColor	backimage1	backimage2	effectName	effectPos	grade	maxlevel	heroput	exchangeItem	pt1	pv1	pt2	pv2	cardskill	suitId	zdlDes	skill_zdl
天赋卡ID	天赋卡类型	名字	名字图片资源	北美名字图片资源	图标资源	图标背景颜色（1、绿色2、蓝色、3、紫色、4、黄色、5、橙色、6、红色）	背景资源名1	背景资源名2	特效资源名	特效资源位置 X,Y	品阶（1紫，2橙，3红）	最大等级	英雄是否可装备	兑换需要的物品数	属性类型	属性值	属性类型	属性值	卡片自带技能	拥有的套装ID	客户端读取战斗力	技能战斗力(不包括属性战斗力)
201	1	水瓶座女神	Tfk_spzns	Tfk_spzns	xztfk1	6	shengqi6261	Yunxiao_sole1	TFKShuiping		3	15	1	[28844,100]	1	(10500,10800,11100,12000,13500,15600,18000,21000,24600,30000,36000,42000,48000,54000,60000)	0		[(801,16),(801,17),(801,18),(801,19),(801,20),(801,21),(801,22),(801,23),(801,24),(801,25),(801,26),(801,27),(801,28),(801,29),(801,30)]	(901, 902,915)	9900,10650,11700,12900,14400,16650,18900,21900,26400,32400,38400,44400,50400,56400,62400	[7275,7950,8925,9900,11025,12750,14400,16650,20250,24900,29400,33900,38400,42900,47400]
202	2	双鱼座女神	Tfk_syzns	Tfk_syzns	xztfk2	6	shengqi6261	Yunxiao_sole1	TFKShuangyu		3	15	1	[28844,100]	1	(10500,10800,11100,12000,13500,15600,18000,21000,24600,30000,36000,42000,48000,54000,60000)	0		[(802,16),(802,17),(802,18),(802,19),(802,20),(802,21),(802,22),(802,23),(802,24),(802,25),(802,26),(802,27),(802,28),(802,29),(802,30)]	(901, 903)	9900,10650,11700,12900,14400,16650,18900,21900,26400,32400,38400,44400,50400,56400,62400	[7275,7950,8925,9900,11025,12750,14400,16650,20250,24900,29400,33900,38400,42900,47400]
203	3	双子座女神	Tfk_suzzns	Tfk_suzzns	xztfk3	6	shengqi6261	Yunxiao_sole1	TFKShuangzi		3	15	1	[28844,100]	4	(3500,3600,3700,4000,4500,5200,6000,7000,8200,10000,12000,14000,16000,18000,20000)	6	(3500,3600,3700,4000,4500,5200,6000,7000,8200,10000,12000,14000,16000,18000,20000)	[(803,16),(803,17),(803,18),(803,19),(803,20),(803,21),(803,22),(803,23),(803,24),(803,25),(803,26),(803,27),(803,28),(803,29),(803,30)]	(903, 904)	9900,10650,11700,12900,14400,16650,18900,21900,26400,32400,38400,44400,50400,56400,62400	[7275,7950,8925,9900,11025,12750,14400,16650,20250,24900,29400,33900,38400,42900,47400]
205	5	狮子座女神	Tfk_sizzns	Tfk_sizzns	xztfk5	6	shengqi6261	Yunxiao_sole1	TFKShizi		3	15	1	[28844,100]	1	(10500,10800,11100,12000,13500,15600,18000,21000,24600,30000,36000,42000,48000,54000,60000)	0		[(805,16),(805,17),(805,18),(805,19),(805,20),(805,21),(805,22),(805,23),(805,24),(805,25),(805,26),(805,27),(805,28),(805,29),(805,30)]	(904, 906)	9900,10650,11700,12900,14400,16650,18900,21900,26400,32400,38400,44400,50400,56400,62400	[7275,7950,8925,9900,11025,12750,14400,16650,20250,24900,29400,33900,38400,42900,47400]
206	6	处女座女神	Tfk_cnzns	Tfk_cnzns	xztfk6	6	shengqi6261	Yunxiao_sole1	TFKChunv		3	15	0	[28844,100]	4	(3500,3600,3700,4000,4500,5200,6000,7000,8200,10000,12000,14000,16000,18000,20000)	6	(3500,3600,3700,4000,4500,5200,6000,7000,8200,10000,12000,14000,16000,18000,20000)	[(806,16),(806,17),(806,18),(806,19),(806,20),(806,21),(806,22),(806,23),(806,24),(806,25),(806,26),(806,27),(806,28),(806,29),(806,30)]	(907, 908)	9900,10650,11700,12900,14400,16650,18900,21900,26400,32400,38400,44400,50400,56400,62400	[7275,7950,8925,9900,11025,12750,14400,16650,20250,24900,29400,33900,38400,42900,47400]
213	13	飞马座女神	Tfk_fmzns	Tfk_fmzns	xztfk15	6	shengqi6261	Yunxiao_sole1	TFKFeima		3	15	1	[28844,100]	4	(3500,3600,3700,4000,4500,5200,6000,7000,8200,10000,12000,14000,16000,18000,20000)	6	(3500,3600,3700,4000,4500,5200,6000,7000,8200,10000,12000,14000,16000,18000,20000)	[(815,16),(815,17),(815,18),(815,19),(815,20),(815,21),(815,22),(815,23),(815,24),(815,25),(815,26),(815,27),(815,28),(815,29),(815,30)]	(906, 914,916)	9900,10650,11700,12900,14400,16650,18900,21900,26400,32400,38400,44400,50400,56400,62400	[7275,7950,8925,9900,11025,12750,14400,16650,20250,24900,29400,33900,38400,42900,47400]
216	16	仙女座女神	Tfk_xnzns	Tfk_xnzns	xztfk16	6	shengqi6261	Yunxiao_sole1	TFKXiannv		3	15	1	[28844,100]	4	(3500,3600,3700,4000,4500,5200,6000,7000,8200,10000,12000,14000,16000,18000,20000)	6	(3500,3600,3700,4000,4500,5200,6000,7000,8200,10000,12000,14000,16000,18000,20000)	[(810,16),(810,17),(810,18),(810,19),(810,20),(810,21),(810,22),(810,23),(810,24),(810,25),(810,26),(810,27),(810,28),(810,29),(810,30)]	(910, 911)	9900,10650,11700,12900,14400,16650,18900,21900,26400,32400,38400,44400,50400,56400,62400	[7275,7950,8925,9900,11025,12750,14400,16650,20250,24900,29400,33900,38400,42900,47400]
220	20	室女座女神	Tfk_snzns	Tfk_fhzns	xztfk20	6	shengqi6261	Yunxiao_sole1	TFKshinv		3	15	1	[28844,100]	4	(3500,3600,3700,4000,4500,5200,6000,7000,8200,10000,12000,14000,16000,18000,20000)	6	(3500,3600,3700,4000,4500,5200,6000,7000,8200,10000,12000,14000,16000,18000,20000)	[(819,16),(819,17),(819,18),(819,19),(819,20),(819,21),(819,22),(819,23),(819,24),(819,25),(819,26),(819,27),(819,28),(819,29),(819,30)]	(913, 911,915)	9900,10650,11700,12900,14400,16650,18900,21900,26400,32400,38400,44400,50400,56400,62400	[7275,7950,8925,9900,11025,12750,14400,16650,20250,24900,29400,33900,38400,42900,47400]
101	1	水瓶座女神	Tfk_spzns	Tfk_spzns	xztfk1	5	shengqi6261	Yunxiao_sole1	TFKShuiping		2	10	1	[26321,100]	1	(7500, 7800, 8100, 9000, 10500, 12600, 15000, 18000, 21600, 27000)	0		[(801,6),(801,7),(801,8),(801,9),(801,10),(801,11),(801,12),(801,13),(801,14),(801,15)]	(901, 902,915)	7500,8250,9300,10500,12000,14250,16500,19500,24000,30000	[5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
