itemId	backCoding	backCnt
碎片道具ID	返还道具ID	返还数量
26303	26341	3
26304	26341	3
26305	26341	3
26306	26341	3
26307	26341	3
26308	26341	3
26309	26341	3
26310	26341	3
26311	26341	3
26312	26341	3
26313	26341	3
26314	26341	3
26315	26341	3
26316	26341	3
26317	26341	3
26318	26341	3
26319	26341	3
26320	26341	3
26321	26341	10
26322	26341	10
26323	26341	10
26324	26341	10
26325	26341	10
26326	26341	10
26327	26341	10
26328	26341	10
26329	26341	10
26330	26341	10
26331	26341	10
26332	26341	10
26333	26341	10
26334	26341	10
26335	26341	10
26336	26341	10
26337	26341	10
26338	26341	10
26339	26341	10
28558	26341	3
28559	26341	3
28560	26341	10
28561	26341	10
28844	26341	20
