rewardId	score	rewardItem	rewardMoney	rewardItemPreview
奖励id	积分	奖励	金币奖励	奖励(客户端预览用）
1	500	[]	100000	[(25828,100000)]
2	1000	[]	200000	[(25828,200000)]
3	2000	[(25837,1)]	100000	[(25828,100000),(25837,1)]
4	3000	[(26144,1)]	200000	[(25828,200000),(26144,1)]
5	4500	[(26144,1)]	300000	[(25828,300000),(26144,1)]
6	6000	[(26266,1),(26032,1)]	500000	[(25828,500000),(26266,1),(26032,1)]
7	8000	[(26266,1),(26032,1)]	800000	[(25828,800000),(26266,1),(26032,1)]
8	10000	[(27850,1),(26144,1),(25837,1)]	0	[(27850,1),(26144,1),(25837,1)]
9	12000	[(27850,1),(26144,1),(25837,1)]	0	[(27850,1),(26144,1),(25837,1)]
10	15000	[(26119,1),(26033,1),(27850,2)]	0	[(26119,1),(26033,1),(27850,2)]
