roundId	opponentCnt	rewardItem	needReset
轮数ID	挑战对手数量	奖励物品	是否需要重置
1	5	()	0
2	4	()	0
3	3	()	0
4	2	()	0
5	1	()	1
6	5	()	0
7	4	()	0
8	3	()	0
9	2	()	0
10	1	()	1
11	5	()	0
12	4	()	0
13	3	()	0
14	2	()	0
15	1	()	1
16	5	()	0
17	4	()	0
18	3	()	0
19	2	()	0
20	1	()	1
21	5	()	0
22	4	()	0
23	3	()	0
24	2	()	0
25	1	()	1
26	5	()	0
27	4	()	0
28	3	()	0
29	2	()	0
30	1	()	1
31	5	()	0
32	4	()	0
33	3	()	0
34	2	()	0
35	1	()	1
36	5	()	0
37	4	()	0
38	3	()	0
39	2	()	0
40	1	()	1
41	5	()	0
42	4	()	0
43	3	()	0
44	2	()	0
45	1	()	1
46	5	()	0
47	4	()	0
48	3	()	0
49	2	()	0
50	1	()	1
51	5	()	0
52	4	()	0
53	3	()	0
54	2	()	0
55	1	()	1
56	5	()	0
57	4	()	0
58	3	()	0
59	2	()	0
60	1	()	1
61	5	()	0
62	4	()	0
63	3	()	0
64	2	()	0
65	1	()	1
66	5	()	0
67	4	()	0
68	3	()	0
69	2	()	0
70	1	()	1
71	5	()	0
72	4	()	0
73	3	()	0
74	2	()	0
75	1	()	1
76	5	()	0
77	4	()	0
78	3	()	0
79	2	()	0
80	1	()	1
81	5	()	0
82	4	()	0
83	3	()	0
84	2	()	0
85	1	()	1
86	5	()	0
87	4	()	0
88	3	()	0
89	2	()	0
90	1	()	1
91	5	()	0
92	4	()	0
93	3	()	0
94	2	()	0
95	1	()	1
96	5	()	0
97	4	()	0
98	3	()	0
99	2	()	0
100	1	()	1
101	5	()	0
102	4	()	0
103	3	()	0
104	2	()	0
105	1	()	1
106	5	()	0
107	4	()	0
108	3	()	0
109	2	()	0
110	1	()	1
111	5	()	0
112	4	()	0
113	3	()	0
114	2	()	0
115	1	()	1
116	5	()	0
117	4	()	0
118	3	()	0
119	2	()	0
120	1	()	1
121	5	()	0
122	4	()	0
123	3	()	0
124	2	()	0
125	1	()	1
126	5	()	0
127	4	()	0
128	3	()	0
129	2	()	0
130	1	()	1
131	5	()	0
132	4	()	0
