goodId	exchangeType	item	needCoding	needCnt	needRoleLevel	needWorldLevel	isLimit	limitCnt	isDayClear
商品ID	兑换类型(1-群英徽章 2-霸王徽章)	兑换物品(coding,cnt)	需要物品coding	需要徽章数量	兑换需要角色等级	兑换需要世界等级	是否限购(0-不限, 1-限购)	限购个数	是否每日重置 1-重置 0-不重置
1	1	(27855,1)	27816	40	60	1	1	2	1
2	1	(26042,1)	27816	35	60	1	0		0
3	1	(26044,1)	27816	6	60	1	0		0
4	1	(26267,1)	27816	6	60	1	0		0
5	1	(25837,5)	27816	10	60	1	0		0
6	1	(26144,5)	27816	20	60	1	0		0
7	1	(26303,1)	27816	3	80	1	0		0
8	1	(26315,1)	27816	3	80	1	0		0
9	2	(27100,1)	27817	12	100	1	0		0
10	2	(27097,1)	27817	12	100	1	0		0
11	2	(27098,1)	27817	10	120	1	0		0
12	2	(27099,1)	27817	10	140	1	0		0
13	2	(25831,6)	27817	9	60	1	0		0
14	2	(25970,6)	27817	9	60	1	0		0
15	2	(26321,1)	27817	5	80	1	0		0
16	2	(26333,1)	27817	5	80	1	0		0
