wingId	grade	maxGrade	needWingLevel	needItemCoding	needItemCnt	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce	resId	name	nameImg	icon
翅膀ID	翅膀品阶	翅膀最大品阶	需要翅膀等级	需要物品coding	需要物品数量	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤	 羽翼资源id	羽翼名字	名字图片	图标
1	1	5	2	27167	5	1182	0	0	430	0	430	0	68	68	0	0	68	68	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	2	5	4	27167	15	2364	0	0	860	0	860	0	136	136	0	0	136	136	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	3	5	7	27167	30	4137	0	0	1505	0	1505	0	238	238	0	0	238	238	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	4	5	10	27167	90	6500	0	0	2365	0	2365	0	374	374	0	0	374	374	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	5	5	14	27167	300	9456	0	0	3440	0	3440	0	544	544	0	0	544	544	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
2	1	5	2	27167	5	1182	0	0	430	0	430	0	68	68	0	0	68	68	0	0	92003	红粉佳人	YuYi_YY_TextHFJR	hongfenjiaren
2	2	5	4	27167	15	2364	0	0	860	0	860	0	136	136	0	0	136	136	0	0	92003	红粉佳人	YuYi_YY_TextHFJR	hongfenjiaren
2	3	5	7	27167	30	4137	0	0	1505	0	1505	0	238	238	0	0	238	238	0	0	92003	红粉佳人	YuYi_YY_TextHFJR	hongfenjiaren
2	4	5	10	27167	90	6500	0	0	2365	0	2365	0	374	374	0	0	374	374	0	0	92003	红粉佳人	YuYi_YY_TextHFJR	hongfenjiaren
2	5	5	14	27167	300	9456	0	0	3440	0	3440	0	544	544	0	0	544	544	0	0	92003	红粉佳人	YuYi_YY_TextHFJR	hongfenjiaren
3	1	5	2	27167	5	1182	0	0	430	0	430	0	68	68	0	0	68	68	0	0	92004	青衣之恋	YuYi_YY_TextQYZL	qingyizhilian
3	2	5	4	27167	15	2364	0	0	860	0	860	0	136	136	0	0	136	136	0	0	92004	青衣之恋	YuYi_YY_TextQYZL	qingyizhilian
3	3	5	7	27167	30	4137	0	0	1505	0	1505	0	238	238	0	0	238	238	0	0	92004	青衣之恋	YuYi_YY_TextQYZL	qingyizhilian
3	4	5	10	27167	90	6500	0	0	2365	0	2365	0	374	374	0	0	374	374	0	0	92004	青衣之恋	YuYi_YY_TextQYZL	qingyizhilian
3	5	5	14	27167	300	9456	0	0	3440	0	3440	0	544	544	0	0	544	544	0	0	92004	青衣之恋	YuYi_YY_TextQYZL	qingyizhilian
4	1	5	2	27167	5	1182	0	0	430	0	430	0	68	68	0	0	68	68	0	0	92005	蓝色妖姬	YuYi_YY_TextLSYJ	lanseyaoji
4	2	5	4	27167	15	2364	0	0	860	0	860	0	136	136	0	0	136	136	0	0	92005	蓝色妖姬	YuYi_YY_TextLSYJ	lanseyaoji
4	3	5	7	27167	30	4137	0	0	1505	0	1505	0	238	238	0	0	238	238	0	0	92005	蓝色妖姬	YuYi_YY_TextLSYJ	lanseyaoji
4	4	5	10	27167	90	6500	0	0	2365	0	2365	0	374	374	0	0	374	374	0	0	92005	蓝色妖姬	YuYi_YY_TextLSYJ	lanseyaoji
4	5	5	14	27167	300	9456	0	0	3440	0	3440	0	544	544	0	0	544	544	0	0	92005	蓝色妖姬	YuYi_YY_TextLSYJ	lanseyaoji
5	1	5	2	27167	5	1182	0	0	430	0	430	0	68	68	0	0	68	68	0	0	92006	紫陌倾城	YuYi_YY_TextZMQC	zimoqingcheng
5	2	5	4	27167	15	2364	0	0	860	0	860	0	136	136	0	0	136	136	0	0	92006	紫陌倾城	YuYi_YY_TextZMQC	zimoqingcheng
