rewardId	score	scoreMax	levelRange	rewardItems	rewardMoney	rewardItemShow
奖励ID	积分(最小积分)	积分（最大积分）	等级区间	奖励物品	奖励金币	客户端展示奖励
1	200	499	1	[(25682,20)]	200000	[(25682,20),(25828,200000)]
2	500	999	1	[(25682,40)]	235000	[(25682,40),(25828,235000)]
3	1000	1499	1	[(25682,60)]	270000	[(25682,60),(25828,270000)]
4	1500	1999	1	[(25682,80)]	305000	[(25682,80),(25828,305000)]
5	2000	2999	1	[(25682,100)]	340000	[(25682,100),(25828,340000)]
6	3000	3999	1	[(25682,120)]	375000	[(25682,120),(25828,375000)]
7	4000	4999	1	[(25682,140)]	410000	[(25682,140),(25828,410000)]
8	5000	5999	1	[(25682,160)]	445000	[(25682,160),(25828,445000)]
9	6000	7999	1	[(25682,180)]	480000	[(25682,180),(25828,480000)]
10	8000	99999999	1	[(25682,200)]	515000	[(25682,200),(25828,515000)]
11	200	499	2	[(25683,20)]	300000	[(25683,20),(25828,300000)]
12	500	999	2	[(25683,40)]	350000	[(25683,40),(25828,350000)]
13	1000	1499	2	[(25683,60)]	400000	[(25683,60),(25828,400000)]
14	1500	1999	2	[(25683,80)]	450000	[(25683,80),(25828,450000)]
15	2000	2999	2	[(25683,100)]	500000	[(25683,100),(25828,500000)]
16	3000	3999	2	[(25683,120)]	550000	[(25683,120),(25828,550000)]
17	4000	4999	2	[(25683,140)]	600000	[(25683,140),(25828,600000)]
18	5000	5999	2	[(25683,160)]	650000	[(25683,160),(25828,650000)]
19	6000	7999	2	[(25683,180)]	700000	[(25683,180),(25828,700000)]
20	8000	99999999	2	[(25683,200)]	750000	[(25683,200),(25828,750000)]
21	200	499	3	[(25684,20)]	400000	[(25684,20),(25828,400000)]
22	500	999	3	[(25684,40)]	468000	[(25684,40),(25828,468000)]
23	1000	1499	3	[(25684,60)]	536000	[(25684,60),(25828,536000)]
24	1500	1999	3	[(25684,80)]	604000	[(25684,80),(25828,604000)]
25	2000	2999	3	[(25684,100)]	672000	[(25684,100),(25828,672000)]
26	3000	3999	3	[(25684,120)]	740000	[(25684,120),(25828,740000)]
27	4000	4999	3	[(25684,140)]	808000	[(25684,140),(25828,808000)]
28	5000	5999	3	[(25684,160)]	876000	[(25684,160),(25828,876000)]
29	6000	7999	3	[(25684,180)]	944000	[(25684,180),(25828,944000)]
30	8000	99999999	3	[(25684,200)]	1012000	[(25684,200),(25828,1012000)]
31	200	499	4	[(25685,20)]	800000	[(25685,20),(25828,800000)]
32	500	999	4	[(25685,40)]	934000	[(25685,40),(25828,934000)]
33	1000	1499	4	[(25685,60)]	1068000	[(25685,60),(25828,1068000)]
34	1500	1999	4	[(25685,80)]	1202000	[(25685,80),(25828,1202000)]
35	2000	2999	4	[(25685,100)]	1336000	[(25685,100),(25828,1336000)]
36	3000	3999	4	[(25685,120)]	1470000	[(25685,120),(25828,1470000)]
37	4000	4999	4	[(25685,140)]	1604000	[(25685,140),(25828,1604000)]
38	5000	5999	4	[(25685,160)]	1738000	[(25685,160),(25828,1738000)]
39	6000	7999	4	[(25685,180)]	1872000	[(25685,180),(25828,1872000)]
40	8000	99999999	4	[(25685,200)]	2006000	[(25685,200),(25828,2006000)]
41	200	499	5	[(25686,20)]	1600000	[(25686,20),(25828,1600000)]
42	500	999	5	[(25686,40)]	1868000	[(25686,40),(25828,1868000)]
43	1000	1499	5	[(25686,60)]	2136000	[(25686,60),(25828,2136000)]
44	1500	1999	5	[(25686,80)]	2404000	[(25686,80),(25828,2404000)]
45	2000	2999	5	[(25686,100)]	2672000	[(25686,100),(25828,2672000)]
46	3000	3999	5	[(25686,120)]	2940000	[(25686,120),(25828,2940000)]
47	4000	4999	5	[(25686,140)]	3208000	[(25686,140),(25828,3208000)]
48	5000	5999	5	[(25686,160)]	3476000	[(25686,160),(25828,3476000)]
49	6000	7999	5	[(25686,180)]	3744000	[(25686,180),(25828,3744000)]
50	8000	99999999	5	[(25686,200)]	4012000	[(25686,200),(25828,4012000)]
51	200	499	6	[(26607,20)]	2400000	[(26607,20),(25828,2400000)]
52	500	999	6	[(26607,40)]	2800000	[(26607,40),(25828,2800000)]
53	1000	1499	6	[(26607,60)]	3200000	[(26607,60),(25828,3200000)]
54	1500	1999	6	[(26607,80)]	3600000	[(26607,80),(25828,3600000)]
55	2000	2999	6	[(26607,100)]	4000000	[(26607,100),(25828,4000000)]
56	3000	3999	6	[(26607,120)]	4400000	[(26607,120),(25828,4400000)]
57	4000	4999	6	[(26607,140)]	4800000	[(26607,140),(25828,4800000)]
58	5000	5999	6	[(26607,160)]	5200000	[(26607,160),(25828,5200000)]
59	6000	7999	6	[(26607,180)]	5600000	[(26607,180),(25828,5600000)]
60	8000	99999999	6	[(26607,200)]	6000000	[(26607,200),(25828,6000000)]
61	200	499	7	[(27066,20)]	3000000	[(27066,20),(25828,3000000)]
62	500	999	7	[(27066,40)]	3500000	[(27066,40),(25828,3500000)]
63	1000	1499	7	[(27066,60)]	4000000	[(27066,60),(25828,4000000)]
64	1500	1999	7	[(27066,80)]	4500000	[(27066,80),(25828,4500000)]
65	2000	2999	7	[(27066,100)]	5000000	[(27066,100),(25828,5000000)]
66	3000	3999	7	[(27066,120)]	5500000	[(27066,120),(25828,5500000)]
67	4000	4999	7	[(27066,140)]	6000000	[(27066,140),(25828,6000000)]
68	5000	5999	7	[(27066,160)]	6500000	[(27066,160),(25828,6500000)]
69	6000	7999	7	[(27066,180)]	7000000	[(27066,180),(25828,7000000)]
70	8000	99999999	7	[(27066,200)]	7500000	[(27066,200),(25828,7500000)]
