rewardId	score	scoreMax	levelRange	rewardItems	experience	rewardItemShow
奖励ID	积分(最小积分)	积分（最大积分）	等级区间	奖励物品	经验奖励	客户端展示奖励
1	1	2000	1	[(25661,40),(25666,20),(25671,10)]	64925	[(25661,40),(25666,20),(25671,10),(25712,64925)]
2	2001	4000	1	[(25661,48),(25666,24),(25671,12)]	69925	[(25661,48),(25666,24),(25671,12),(25712,69925)]
3	4001	6000	1	[(25661,60),(25666,30),(25671,15)]	74925	[(25661,60),(25666,30),(25671,15),(25712,74925)]
4	6001	9000	1	[(25661,72),(25666,36),(25671,18)]	79925	[(25661,72),(25666,36),(25671,18),(25712,79925)]
5	9001	12000	1	[(25661,84),(25666,42),(25671,21)]	84925	[(25661,84),(25666,42),(25671,21),(25712,84925)]
6	12001	16000	1	[(25661,96),(25666,48),(25671,24)]	89925	[(25661,96),(25666,48),(25671,24),(25712,89925)]
7	16001	20000	1	[(25661,108),(25666,54),(25671,27)]	94925	[(25661,108),(25666,54),(25671,27),(25712,94925)]
8	20001	25000	1	[(25661,120),(25666,60),(25671,30)]	99925	[(25661,120),(25666,60),(25671,30),(25712,99925)]
9	25001	30000	1	[(25661,132),(25666,66),(25671,33)]	104925	[(25661,132),(25666,66),(25671,33),(25712,104925)]
10	30001	40000	1	[(25661,144),(25666,72),(25671,36)]	109925	[(25661,144),(25666,72),(25671,36),(25712,109925)]
11	40001	50000	1	[(25661,160),(25666,80),(25671,40)]	114925	[(25661,160),(25666,80),(25671,40),(25712,114925)]
12	50001	60000	1	[(25661,176),(25666,88),(25671,44)]	119925	[(25661,176),(25666,88),(25671,44),(25712,119925)]
13	60001	80000	1	[(25661,192),(25666,96),(25671,48)]	124925	[(25661,192),(25666,96),(25671,48),(25712,124925)]
14	80001	100000	1	[(25661,200),(25666,100),(25671,50)]	129925	[(25661,200),(25666,100),(25671,50),(25712,129925)]
15	100001	120000	1	[(25661,200),(25666,100),(25671,50)]	134925	[(25661,200),(25666,100),(25671,50),(25712,134925)]
16	120001	150000	1	[(25661,200),(25666,100),(25671,50)]	139925	[(25661,200),(25666,100),(25671,50),(25712,139925)]
17	150001	99999999	1	[(25661,200),(25666,100),(25671,50)]	144925	[(25661,200),(25666,100),(25671,50),(25712,144925)]
18	1	2000	2	[(25662,40),(25667,20),(25672,10)]	153750	[(25662,40),(25667,20),(25672,10),(25712,153750)]
19	2001	4000	2	[(25662,48),(25667,24),(25672,12)]	161250	[(25662,48),(25667,24),(25672,12),(25712,161250)]
20	4001	6000	2	[(25662,60),(25667,30),(25672,15)]	168750	[(25662,60),(25667,30),(25672,15),(25712,168750)]
21	6001	9000	2	[(25662,72),(25667,36),(25672,18)]	176250	[(25662,72),(25667,36),(25672,18),(25712,176250)]
