xunbaoGrade	minLevel	maxLevel	activeId	normalReward	advanceReward	clientReward
寻宝等级(1-普通, 2-高级)	最小等级（≥）	最大等级(＜)	活动ID	普通寻宝奖励(类型(1-道具, 2-命魂, 3-天赋卡),物品coding, 物品数量, 概率, 是否传闻)	高级寻宝奖励(物品coding, 物品数量, 概率, 是否传闻)	客户端展示
1	60	80	52	[(1,26044,1,250,0),(1,26033,1,500,0),(1,26032,1,1000,0),(1,26267,1,200,0),(1,26119,1,400,0),(1,26266,1,800,0),(1,25837,2,500,0),(1,26144,2,500,0),(1,26479,2,500,0),(1,25837,1,1000,0),(1,26144,1,1000,0),(1,26479,1,1000,0)]	[]	[(1,26044,1),(1,26267,1),(1,26119,1),(1,26033,1),(1,26032,1),(1,26266,1),(1,25837,2),(1,26144,2),(1,26479,2)]
1	80	100	52	[(1,26044,1,250,0),(1,26033,1,500,0),(1,26032,1,1000,0),(1,26267,1,200,0),(1,26119,1,400,0),(1,26266,1,800,0),(1,25837,2,500,0),(1,26144,2,500,0),(1,26479,2,500,0),(1,26302,2,500,0),(1,25837,1,1000,0),(1,26144,1,1000,0),(1,26479,1,1000,0),(1,26302,1,100,0)]	[]	[(1,26044,1),(1,26267,1),(1,26119,1),(1,26033,1),(1,26032,1),(1,26266,1),(1,25837,2),(1,26144,2),(1,26479,2)]
1	100	180	52	[(1,26044,1,250,0),(1,26033,1,500,0),(1,26032,1,1000,0),(1,26267,1,200,0),(1,26119,1,400,0),(1,26266,1,800,0),(1,25837,2,500,0),(1,26144,2,500,0),(1,26479,2,500,0),(1,26302,2,500,0),(1,25837,1,1000,0),(1,26144,1,1000,0),(1,26479,1,1000,0),(1,26302,1,100,0),(1,27587,1,1000,0),(1,27588,1,100,0)]	[]	[(1,26044,1),(1,26267,1),(1,26119,1),(1,26033,1),(1,27587,1),(1,26266,1),(1,25837,2),(1,26144,2),(1,26479,2)]
2	60	80	52	[]	[(2,44,1,50,1),(1,26226,1,125,1),(1,26230,1,100,1),(1,26225,1,250,0),(1,26224,1,500,0),(1,26223,1,1250,0),(1,26229,1,200,0),(1,26228,1,400,0),(1,26227,1,1000,0),(1,26042,1,1000,0),(1,25837,15,1000,0),(1,26144,15,1000,0),(1,26479,8,1000,0),(1,25970,20,1000,0),(1,26043,20,1000,0),(1,25831,20,1000,0),(1,26343,15,1000,0)]	[(2,44,1),(1,26226,1),(1,26230,1),(1,26225,1),(1,26229,1),(1,25837,15),(1,26479,8),(1,25831,20),(1,26043,20)]
2	80	100	52	[]	[(2,44,1,50,1),(1,26226,1,125,1),(1,26230,1,100,1),(1,26225,1,250,0),(1,26224,1,500,0),(1,26223,1,1250,0),(1,26229,1,200,0),(1,26228,1,400,0),(1,26227,1,1000,0),(1,26042,1,1000,0),(1,25837,15,1000,0),(1,26144,15,1000,0),(1,26479,8,1000,0),(1,25970,20,1000,0),(1,26043,20,1000,0),(1,26298,5,600,0),(1,26302,12,1000,0),(1,28030,1,500,0),(1,28031,1,200,0)]	[(2,44,1),(1,26226,1),(1,26230,1),(1,26225,1),(1,26229,1),(1,26298,5),(1,26479,8),(1,28030,1),(1,28031,1)]
2	100	180	52	[]	[(2,44,1,50,1),(1,26226,1,125,1),(1,26230,1,100,1),(1,26225,1,250,0),(1,26224,1,500,0),(1,26223,1,1250,0),(1,26229,1,200,0),(1,26228,1,400,0),(1,26227,1,1000,0),(1,26042,1,1000,0),(1,25837,15,1000,0),(1,26144,15,1000,0),(1,26479,8,1000,0),(1,25970,20,1000,0),(1,26043,20,1000,0),(1,26298,5,600,0),(1,26302,12,1000,0),(1,27587,12,1000,0),(1,28030,1,500,0),(1,28031,1,200,0),(1,28032,1,60,0)]	[(2,44,1),(1,26226,1),(1,26230,1),(1,26225,1),(1,26229,1),(1,26298,5),(1,28030,1),(1,28031,1),(1,28032,1)]
1	60	80	10052	[(1,26044,1,250,0),(1,26033,1,500,0),(1,26032,1,1000,0),(1,26267,1,200,0),(1,26119,1,400,0),(1,26266,1,800,0),(1,25837,2,500,0),(1,26144,2,500,0),(1,26479,2,500,0),(1,25837,1,1000,0),(1,26144,1,1000,0),(1,26479,1,1000,0)]	[]	[(1,26044,1),(1,26267,1),(1,26119,1),(1,26033,1),(1,26032,1),(1,26266,1),(1,25837,2),(1,26144,2),(1,26479,2)]
1	80	100	10052	[(1,26044,1,250,0),(1,26033,1,500,0),(1,26032,1,1000,0),(1,26267,1,200,0),(1,26119,1,400,0),(1,26266,1,800,0),(1,25837,2,500,0),(1,26144,2,500,0),(1,26479,2,500,0),(1,26302,2,500,0),(1,25837,1,1000,0),(1,26144,1,1000,0),(1,26479,1,1000,0),(1,26302,1,100,0)]	[]	[(1,26044,1),(1,26267,1),(1,26119,1),(1,26033,1),(1,26032,1),(1,26266,1),(1,25837,2),(1,26144,2),(1,26479,2)]
1	100	180	10052	[(1,26044,1,250,0),(1,26033,1,500,0),(1,26032,1,1000,0),(1,26267,1,200,0),(1,26119,1,400,0),(1,26266,1,800,0),(1,25837,2,500,0),(1,26144,2,500,0),(1,26479,2,500,0),(1,26302,2,500,0),(1,25837,1,1000,0),(1,26144,1,1000,0),(1,26479,1,1000,0),(1,26302,1,100,0),(1,27587,1,1000,0),(1,27588,1,100,0)]	[]	[(1,26044,1),(1,26267,1),(1,26119,1),(1,26033,1),(1,27587,1),(1,26266,1),(1,25837,2),(1,26144,2),(1,26479,2)]
