fight_type	fight_name	pvp	group	fightMap	flyFight	formation	fightSoundFT	fightSound	player_control	showStar	show_wave1	show_wave2	canJumpFight	canJumpMinRound	isShowFailGuide	viewFightType	useSkillTipRound	skillIndex	useJianShiSkillDesc	useFaShiSkillDesc	roundUseJianShiSkill	roundUseFaShiSkill
战斗类型	战斗名称	是否是pvp战斗	是否是组队战斗	战斗地图	是否是gve飞行战斗	阵形id（1—pvp，2—pve）	繁体版战斗声音	战斗声音	是否为可操作战斗（0-全自动战斗 1-可操作战斗）	是否显示评分	是否显示进度1（屏幕中间小特效的）	是否显示进度2（要显示数字的评分的）	是否可以跳过战斗	可以跳过战斗的最小回合	是否显示战斗失败提示	观战对应的战斗类型	使用技能指引开始回合	技能索引	剑士使用技能描述	法师使用技能描述	战士回合数控制技能提示	法师回合数控制技能描述
0	PVP战斗	1	0	6001		1	zhanchang	PVPzhandouyinyue	1						1							
1	PVE战斗	0	0	6001		2	zhanchang	PVEzhandouyinyue	1						1							
2	恶魔深渊	0	0	8002		2	zhanchang	zhanchang	1	1	1	0			1							
3	心魔炼狱	0	0	6001		2	zhanchang	zhanchang	1	1	0	1			1							
4	地精宝库（pve）	0	0	6001		2	zhanchang	PVPzhandouyinyue	0		0	0	1	1	0							
5	地精宝库（pvp）	1	0	6001		1	zhanchang	PVEzhandouyinyue	0		0	0	1	1	0							
6	巨龙宝藏	0	0	6001		2	zhanchang	zhanchang	1						1							
7	主线	0	0	6001		2	zhanchang	zhanchang	1	1					1							
8	竞技场战斗	1	0	6006		1	zhanchang	zhanchang	1						1							
9	英雄祭坛	0	0	8002		2	zhanchang	zhanchang	1						1							
10	公会魔神	0	0	6004		2	zhanchang	zhanchang	1						1							
11	新手战斗1	0	0	8008		2	zhanchang	zhanchang	1	1					1			1	点击使用#C(#FFFF00)英勇打击#n	点击使用#C(#FFFF00)英勇打击#n		
12	新手战斗2	0	0	8008		2	zhanchang	zhanchang	1	1					1			2	#C(#FFFF00)审判，#n能随机攻击前排#C(#FFFF00)两次#n	#C(#FFFF00)审判，#n能随机攻击前排#C(#FFFF00)两次#n		
13	新手战斗3	0	0	8008		2	zhanchang	zhanchang	1	1					1			3	使用#C(#FFFF00)巨龙突袭，#n可造成#C(#FFFF00)巨量伤害#n	使用#C(#FFFF00)巨龙突袭，#n可造成#C(#FFFF00)巨量伤害#n		
14	城主轮值（PVP）	1	0	8009		1	zhanchang	PVPzhandouyinyue	0				1	2	0							
15	城主轮值（PVE）	0	0	8009		2	zhanchang	PVEzhandouyinyue	0				1	2	0							
16	魔兽入侵	0	0	8007		2	zhanchang	zhanchang	1						0							
17	副本测试	0	0	6001		2	zhanchang	zhanchang	1	1					1							
18	荣耀之战（PVP）	1	0	6005		1	zhanchang	PVPzhandouyinyue	0				1	2	0							
19	荣耀之战（PVE）	0	0	6005		2	zhanchang	PVEzhandouyinyue	1						0							
20	公会副本-1	0	0	8006		2	zhanchang	zhanchang	1		1				1							
21	副本1	0	0	6007		2	zhanchang	zhanchang	1	1					1							
22	副本2	0	0	8008		2	zhanchang	zhanchang	1	1					1							
23	副本3	0	0	8005		2	zhanchang	zhanchang	1	1					1							
24	副本4	0	0	6001		2	zhanchang	zhanchang	1	1					1							
25	副本5	0	0	6003		2	zhanchang	zhanchang	1	1					1							
26	副本6	0	0	6004		2	zhanchang	zhanchang	1	1					1							
27	副本7	0	0	6002		2	zhanchang	zhanchang	1	1					1							
28	副本8	0	0	8001		2	zhanchang	zhanchang	1	1					1							
29	副本9	0	0	6008		2	zhanchang	zhanchang	1	1					1							
30	副本10	0	0	6009		2	zhanchang	zhanchang	1	1					1							
31	英灵神殿	0	0	8004		2	zhanchang	zhanchang	1						1							
32	公会副本-2	0	0	8005		2	zhanchang	zhanchang	1		1				1							
33	公会副本-3	0	0	6003		2	zhanchang	zhanchang	1		1				1							
34	公会副本-4	0	0	8001		2	zhanchang	zhanchang	1		1				1							
35	勇斗领主主动战斗	1	0	6006		1	zhanchang	zhanchang	1						1							
