monster_id	npcType	npcRes	npcName	bossImg	isBoss	hpCount	level	AttackType	career	max_hp	speed	attack_p	attack_m	defence_p	defence_m	crit	crit_press	puncture	parry	anti_broken	not_broken	damage_upgrade	damage_reduce	normal_skill	active_skill	passive_skills
怪物ID	npc类型	npc资源（策划拉表用）	怪物名字	怪物头像	是否是boss	boss的血条数	等级	怪物普攻近战还是远程（1-近战，2-远程，策划拉表用）	职业(1-物攻 2—法攻）	最大血量	速度	物攻	法攻	物防	法防	暴击	免暴	破档	格挡	破击	免破	增伤	减伤	普通技能	主动技能	被动技能列表
1	8501	20002	灵魂守卫				10	1	1	3000	100	100	100	0	0	0	0	0	0	0	0	0	0	("HeroNormalSkill",(253,2))	("NoneSkill", 0)	[]
10	23	4023	死神投影				10	1	1	100	100	100	100	0	0	0	0	0	0	0	0	0	0	("MonsterNormalSkill",254)	("NoneSkill", 0)	[]
10001	3501	20006	精英·护卫兵	20006	1	2	80	1	1	488236	100	9800	9800	0	0	5000	5000	5000	5000	0	0	0	0	("MonsterNormalSkill",101)	("NoneSkill", 0)	[]
10002	3502	20006	护卫兵				80	1	1	69222	100	9800	9800	0	0	5000	5000	5000	5000	0	0	0	0	("MonsterNormalSkill",101)	("NoneSkill", 0)	[]
10003	3501	20006	精英·护卫兵	20006	1	2	80	1	1	630120	100	26000	26000	0	0	5000	5000	5000	5000	0	0	0	0	("MonsterNormalSkill",101)	("NoneSkill", 0)	[]
10004	3502	20006	护卫兵				80	1	1	91781	100	13200	13200	0	0	5000	5000	5000	5000	0	0	0	0	("MonsterNormalSkill",101)	("NoneSkill", 0)	[]
10005	3501	20006	精英·护卫兵	20006	1	2	80	1	1	836837	100	33229	33229	0	0	5000	5000	5000	5000	0	0	0	0	("MonsterNormalSkill",101)	("NoneSkill", 0)	[]
10006	3502	20006	护卫兵				80	1	1	122979	100	17297	17297	0	0	5000	5000	5000	5000	0	0	0	0	("MonsterNormalSkill",101)	("NoneSkill", 0)	[]
10007	3501	20006	精英·护卫兵	20006	1	2	80	1	1	1012473	100	42763	42763	0	0	5000	5000	5000	5000	0	0	0	0	("MonsterNormalSkill",101)	("NoneSkill", 0)	[]
10008	3502	20006	护卫兵				80	1	1	151435	100	20595	20595	0	0	5000	5000	5000	5000	0	0	0	0	("MonsterNormalSkill",101)	("NoneSkill", 0)	[]
10009	3500	5008	精英·众神之王	5008	1	2	80	2	1	1257546	100	50031	50031	0	0	7500	7500	7500	7500	0	0	0	0	("MonsterNormalSkill",261)	("FourStarAttackHeroA", 2)	[]
1001	4012	20015	骷髅守卫				118	1	1	460000	100	62000	62000	0	0	48000	48000	48000	48000	0	0	0	0	("MonsterNormalSkill",101)	("NoneSkill", 0)	[]
10010	3502	20006	护卫兵				80	1	1	180583	100	24790	24790	0	0	7500	7500	7500	7500	0	0	0	0	("MonsterNormalSkill",101)	("NoneSkill", 0)	[]
10011	3504	20044	精英·剑狂学徒	20044	1	2	80	1	1	1408083	100	57082	57082	0	0	8000	8000	8000	8000	0	0	0	0	("MonsterNormalSkill",101)	("NoneSkill", 0)	[]
10012	3505	20044	剑狂学徒				80	1	1	209694	100	27802	27802	0	0	8000	8000	8000	8000	0	0	0	0	("MonsterNormalSkill",101)	("NoneSkill", 0)	[]
10013	3504	20044	精英·剑狂学徒	20044	1	2	80	1	1	1611608	100	61872	61872	0	0	8500	8500	8500	8500	0	0	0	0	("MonsterNormalSkill",101)	("NoneSkill", 0)	[]
10014	3505	20044	剑狂学徒				80	1	1	237940	100	30784	30784	0	0	8500	8500	8500	8500	0	0	0	0	("MonsterNormalSkill",101)	("NoneSkill", 0)	[]
10015	3504	20044	精英·剑狂学徒	20044	1	2	80	1	1	1787066	100	65456	65456	0	0	9000	9000	9000	9000	0	0	0	0	("MonsterNormalSkill",101)	("NoneSkill", 0)	[]
10016	3505	20044	剑狂学徒				80	1	1	264216	100	33192	33192	0	0	9000	9000	9000	9000	0	0	0	0	("MonsterNormalSkill",101)	("NoneSkill", 0)	[]
10017	3504	20044	精英·剑狂学徒	20044	1	2	80	1	1	1961052	100	74382	74382	0	0	9500	9500	9500	9500	0	0	0	0	("MonsterNormalSkill",101)	("NoneSkill", 0)	[]
