ResID	des	AttackDis	attack	hurt	defence	Magic
资源ID	备注	攻击距离	攻击音效	受击音效	格挡音效	施法音效
20001	枪兵	150		renleinanshouji		
20002	枪兵进阶	150		renleinanshouji		
20003	弩兵	104		renleinanshouji		
20004	弩兵进阶	120		renleinanshouji		
20005	剑士	100		renleinanshouji		
20006	剑士进阶	100		renleinanshouji		
20007	狮鹫	180		shijiushouji		
20008	狮鹫进阶	180		shijiushouji		
20009	祭司	150		renleinvshouji		
20010	祭司进阶	160		renleinvshouji		
20011	骑士	180		renleinanshouji		
20012	骑士进阶	180		renleinanshouji		
20013	天使	120		renleinvshouji		
20014	天使进阶	120		renleinvshouji		
20015	骷髅	120		wanglingshouji		
20016	骷髅进阶	120		wanglingshouji		
20017	僵尸	70		wanglingshouji		
20018	僵尸进阶	70		wanglingshouji		
20019	幽灵	120		youlingshouji		
20020	幽灵进阶	120		youlingshouji		
20021	吸血鬼	170		wanglingshouji		
20022	吸血鬼进阶	170		wanglingshouji		
20023	尸巫	150		wanglingshouji1		
20024	尸巫进阶	150		wanglingshouji1		
20025	死亡骑士	90		siwangqishishouji		
20026	死亡骑士进阶	90		siwangqishishouji		
20027	死神侍从	135		wanglingshouji1		
20028	死神侍从进阶	135		wanglingshouji1		
20029	地精	150		dijingshouji		
20030	地精进阶	150		dijingshouji		
20031	鹰身女妖	125		yingshennvyaoshouji		
20032	鹰身女妖进阶	125		yingshennvyaoshouji		
20033	狼骑士	120		shourenshouji		
20034	狼骑士进阶	120		shourenshouji		
20035	食人魔	110		shirenmoshouji		
20036	食人魔进阶	110		shirenmoshouji		
20037	大鹏	150		shijiushouji		
20038	大鹏进阶	150		shijiushouji		
20039	独眼巨人	210		duyanjuren		
20040	独眼巨人进阶	210		duyanjuren		
20041	比蒙巨兽	80		bimengjushou		
20042	比蒙巨兽进阶	80		bimengjushou		
20043	剑舞者	65		renleinanshouji		
20044	剑舞者进阶	65		renleinanshouji		
20045	精灵弓箭手	150		renleinvshouji		
20046	精灵弓箭手进阶	150		renleinvshouji		
20047	德鲁伊	150		renleinvshouji		
20048	德鲁伊进阶	150		renleinvshouji		
20049	独角兽	92		lushouji		
20050	独角兽进阶	92		lushouji		
20051	飞马骑士	110		renleinvshouji		
20052	飞马骑士进阶	110		renleinvshouji		
20053	树精	166		shurenshouji		
20054	树精进阶	166		shurenshouji		
20055	凤凰	30		fenghuangshouji		
20056	凤凰进阶	30		fenghuangshouji		
20057	盾卫士	80		airenshouji		
20058	盾卫士进阶	80		airenshouji		
20059	掷矛手	150		airenshouji1		
20060	掷矛手进阶	150		airenshouji1		
20061	熊骑兵	35		airenshouji2		
20062	熊骑兵进阶	35		airenshouji2		
20063	狂战士	75		airenshouji		
20064	狂战士进阶	75		airenshouji		
20065	矮人祭司	150		airenshouji1		
20066	矮人祭司进阶	150		airenshouji1		
20067	矮人领主	85		airenshouji		
20068	矮人领主进阶	85		airenshouji		
20069	熔岩兽	110		xiyishouji		
20070	熔岩兽进阶	110		xiyishouji		
20071	小恶魔	40		xiaoemo		
20072	小恶魔进阶	40		xiaoemo		
20073	地狱犬	60		diyuquan		
20074	地狱犬进阶	60		diyuquan		
20075	魅魔	130		meimoshouji		
20076	魅魔进阶	130		meimoshouji		
20077	刺魔	60		xiaoemo		
20078	刺魔进阶	60		xiaoemo		
20079	梦魇	30		mapishouji		
20080	梦魇进阶	30		mapishouji		
20081	狂战魔	125		emoshouji		
20082	狂战魔进阶	125		emoshouji		
20083	深渊恶魔	140		emoshouji1		
20084	深渊恶魔进阶	140		emoshouji1		
20085	风元素	90		fengyuanshushouji		
20086	风元素进阶	90		fengyuanshushouji		
20087	水元素	143		shuiyuansshouji		
